id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112ebc85ba1,18,Female,32,no,objTwoColors,#FFFF00,57,54,93,1,Green    ,Green    ,0.42,0.02,0.2,0.03,0.01,0.03
57112fc882a10,18,Male,3,no,objTwoColors,#FFFF00,40,0,307,3,Yellow   ,Red      ,0.6,0.22,0.14,0.11,0.19,0.14
5711348e42f02,19,Female,32,no,objTwoColors,#FFFF00,46,0,504,3,Green    ,Red      ,0.63,0.2,0.16,0.09,0.18,0.12
571137cd27765,18,Female,8,no,objTwoColors,#FFFF00,245,116,567,4,Blue     ,Green    ,0.58,0.27,0.37,0.21,0.28,0.26
57113d4d93c81,18,Female,32,no,objTwoColors,#FFFF00,50,0,35,4,Green    ,Red      ,0.65,0.19,0.18,0.08,0.16,0.11
5711405eb4abb,18,Male,5,no,objTwoColors,#FFFF00,53,0,66,5,Green    ,Red      ,0.66,0.18,0.19,0.07,0.15,0.1
5711703bd85fc,18,Female,32,no,objTwoColors,#FFFF00,7,96,165,2,Red      ,Green    ,0.02,0.03,0.13,0.03,0.02,0.01
5711e54c50f6b,19,Male,4,no,objTwoColors,#FFFF00,52,0,314,4,Green    ,Red      ,0.66,0.18,0.18,0.07,0.16,0.1
57121540dbb98,18,Male,7,no,objTwoColors,#FFFF00,56,57,1068,5,Green    ,Green    ,0.41,0.01,0.2,0.03,0.01,0.03
57127cb3ab1fe,1,Male,12,no,objTwoColors,#FFFF00,61,0,220,5,Green    ,Red      ,0.7,0.15,0.22,0.06,0.13,0.07
5727f6d19e901,19,Female,5,no,objTwoColors,#FFFF00,0,38,301,3,Red      ,Yellow   ,0.24,0.22,0.14,0.12,0.2,0.15
5734d89183dab,19,Female,29,no,objTwoColors,#FFFF00,58,55,88,4,Green    ,Green    ,0.42,0.01,0.21,0.03,0.01,0.03
5736048bb110b,19,Male,32,no,objTwoColors,#FFFF00,59,52,133,5,Green    ,Green    ,0.44,0.02,0.21,0.03,0.01,0.03
573634984323e,19,Male,32,no,objTwoColors,#FFFF00,59,59,699,5,Green    ,Green    ,0.41,0,0.21,0.03,0.02,0.04
57366c199283c,19,Male,32,no,objTwoColors,#FFFF00,115,233,126,5,Green    ,Blue     ,0.98,0.24,0.35,0.21,0.26,0.26
57427cf6bad0c,19,Female,32,no,objTwoColors,#FFFF00,62,0,188,2,Green    ,Red      ,0.7,0.15,0.22,0.06,0.13,0.07
574511e99b6d9,19,Female,32,no,objTwoColors,#FFFF00,29,0,49,3,Orange   ,Red      ,0.53,0.24,0.11,0.15,0.22,0.18
5745350dc1e22,19,Female,31,no,objTwoColors,#FFFF00,57,56,316,5,Green    ,Green    ,0.42,0.01,0.2,0.03,0.01,0.03
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FFFF00,56,59,106,5,Green    ,Green    ,0.4,0.01,0.2,0.03,0.01,0.03
5745f6f039dc9,15,Male,33,no,objTwoColors,#FFFF00,69,350,40,1,Yellow   ,Red      ,0.72,0.16,0.24,0.06,0.11,0.06
