id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5710d28fec2d1,30,Male,32,no,objTwoColors,#0080FF,0,200,328,1,Red      ,Navy-Blue,0.58,0.09,0.06,0.04,0.08,0.07,0.71,0.68,0.52,0.71,0.68,0.55
5710d87585247,31,Male,3,no,objTwoColors,#0080FF,48,98,251,2,Green    ,Green    ,0.59,0.4,0.23,0.12,0.19,0.16,0.74,0.7,0.74,0.74,0.7,0.71
5711106ab212a,33,Male,32,no,objTwoColors,#0080FF,234,0,174,5,Blue     ,Red      ,0.88,0.12,0.38,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
5711148c11035,35,Male,22,no,objTwoColors,#0080FF,181,321,188,3,Blue     ,Pink     ,0.37,0.12,0.3,0.06,0.15,0.12,0.51,0.48,0.38,0.51,0.48,0.57
571153ca15566,32,Male,32,no,objTwoColors,#0080FF,233,182,142,3,Blue     ,Blue     ,0.75,0.02,0.28,0.15,0.22,0.26,0.06,0.1,0.16,0.06,0.1,0.8
571252e6d2e70,31,Female,32,no,objTwoColors,#0080FF,232,0,64,5,Blue     ,Red      ,0.87,0.12,0.37,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
57153eb9b4bed,35,Female,31,no,objTwoColors,#0080FF,0,264,52,4,Red      ,Blue     ,0.61,0.19,0.08,0.1,0.17,0.18,0.85,0.81,0.65,0.85,0.81,0.43
57190633f233f,30,Male,32,no,objTwoColors,#0080FF,261,0,396,1,Blue     ,Red      ,0.86,0.18,0.38,0.1,0.17,0.18,0.41,0.41,0.52,0.41,0.41,1.05
5727635041e99,38,Male,5,no,objTwoColors,#0080FF,340,141,167,4,Red      ,Green    ,0.77,0.4,0.08,0.04,0.05,0.07,0.66,0.62,0.67,0.66,0.62,0.87
573607add000c,38,Male,5,no,objTwoColors,#0080FF,222,200,498,3,Blue     ,Navy-Blue,0.68,0.04,0.31,0.17,0.24,0.3,0.19,0.2,0.14,0.19,0.2,0.66
573a059da0efd,31,Female,32,yes,objTwoColors,#0000FF,76,53,296,4,Yellow   ,Green    ,0.4,0.4,0.33,0.12,0.17,0.14,0.75,0.71,0.74,0.75,0.71,0.54
573c783748e8b,37,Female,32,yes,objTwoColors,#0000FF,238,225,123,3,Blue     ,Blue     ,0.77,0.12,0.4,0.21,0.34,0.38,0.31,0.35,0.31,0.31,0.35,0.59
5740a8b59d448,31,Female,32,yes,objTwoColors,#0000FF,249,0,209,3,Blue     ,Red      ,0.88,0.15,0.4,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
5740b686127bb,32,Male,32,yes,objTwoColors,#0000FF,215,254,875,3,Blue     ,Blue     ,0.7,0.12,0.28,0.2,0.32,0.35,0.37,0.36,0.26,0.37,0.36,0.52
5745b5cbe3caa,34,Female,32,no,objTwoColors,#0080FF,211,0,80,4,Blue     ,Red      ,0.79,0.09,0.24,0.07,0.13,0.11,0.47,0.46,0.47,0.47,0.46,0.98
574859b8f3379,30,Male,32,yes,objTwoColors,#0000FF,230,0,60,1,Blue     ,Red      ,0.87,0.11,0.36,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
