id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
57112ebc85ba1,18,Female,32,no,objTwoColors,#0080FF,207,202,119,1,Navy-Blue,Navy-Blue,0.61,0.01,0.22,0.16,0.2,0.27,0.29,0.27,0.1,0.29,0.27,0.57
5711348e42f02,19,Female,32,no,objTwoColors,#0080FF,238,0,59,4,Blue     ,Red      ,0.88,0.13,0.39,0.09,0.19,0.18,0.4,0.44,0.55,0.4,0.44,1.07
57113d4d93c81,18,Female,32,no,objTwoColors,#0080FF,234,0,67,5,Blue     ,Red      ,0.88,0.12,0.38,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
5711703bd85fc,18,Female,32,no,objTwoColors,#0080FF,351,233,260,1,Red      ,Blue     ,0.63,0.11,0.06,0.09,0.21,0.18,0.85,0.81,0.65,0.85,0.81,0.45
5712787a337a9,18,Female,7,no,objTwoColors,#0080FF,58,107,176,4,Green    ,Green    ,0.56,0.41,0.27,0.12,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
5734d89183dab,19,Female,29,no,objTwoColors,#0080FF,196,222,72,4,LI-Blue  ,Blue     ,0.58,0.03,0.26,0.17,0.23,0.29,0.47,0.44,0.26,0.47,0.44,0.41
5736048bb110b,19,Male,32,no,objTwoColors,#0080FF,208,205,133,5,NA       ,Navy-Blue,0.61,0.01,0.21,0.16,0.21,0.28,0.29,0.28,0.12,0.29,0.28,0.55
573634984323e,19,Male,32,no,objTwoColors,#0080FF,220,198,452,3,Blue     ,Navy-Blue,0.68,0.03,0.21,0.17,0.23,0.29,0.19,0.18,0.11,0.19,0.18,0.66
57366c199283c,19,Male,32,no,objTwoColors,#0080FF,56,96,131,4,Green    ,Green    ,0.56,0.4,0.26,0.12,0.19,0.16,0.74,0.71,0.73,0.74,0.71,0.66
57427cf6bad0c,19,Female,32,no,objTwoColors,#0080FF,232,191,107,2,Blue     ,Sky-Blue ,0.71,0.04,0.36,0.17,0.25,0.29,0.11,0.15,0.12,0.11,0.15,0.74
574511e99b6d9,19,Female,32,no,objTwoColors,#0080FF,16,316,442,1,Red      ,Pink     ,0.43,0.43,0.08,0.17,0.21,0.18,0.77,0.72,0.64,0.77,0.72,0.61
5745350dc1e22,19,Female,31,no,objTwoColors,#0080FF,226,0,115,5,Blue     ,Red      ,0.86,0.11,0.33,0.09,0.17,0.16,0.41,0.42,0.52,0.41,0.42,1.05
5745f6f039dc9,15,Male,33,no,objTwoColors,#0080FF,0,0,0,4,Red      ,Red      ,0.74,0.47,0.05,0.24,0.3,0.27,0.94,0.9,0.89,0.94,0.9,0.93
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#0080FF,217,180,469,4,Blue     ,Blue     ,0.69,0.04,0.22,0.13,0.16,0.23,0.1,0.09,0.13,0.1,0.09,0.75
5710cbe10cade,21,Male,15,no,objTwoColors,#0080FF,226,210,133,4,Blue     ,Blue     ,0.71,0.07,0.33,0.19,0.28,0.33,0.25,0.26,0.21,0.25,0.26,0.61
5710cc5a7829c,27,Male,32,no,objTwoColors,#0080FF,209,0,85,4,NA       ,Red      ,0.78,0.09,0.24,0.07,0.12,0.1,0.49,0.47,0.46,0.49,0.47,0.97
5710cca334d60,25,Female,1,no,objTwoColors,#0080FF,59,98,992,4,Green    ,Green    ,0.54,0.41,0.27,0.11,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
5710cd99df604,23,Female,32,no,objTwoColors,#0080FF,203,209,260,2,Navy-Blue,NA       ,0.59,0.01,0.23,0.16,0.21,0.28,0.35,0.33,0.15,0.35,0.33,0.5
5710ce6c1308c,23,Female,32,no,objTwoColors,#0080FF,232,0,106,4,Blue     ,Red      ,0.87,0.12,0.37,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
5710cf445718e,25,Male,32,no,objTwoColors,#0080FF,0,235,41,5,Red      ,Blue     ,0.64,0.12,0.08,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
5710d140b7c5a,26,Male,32,no,objTwoColors,#0080FF,228,0,54,3,Blue     ,Red      ,0.86,0.11,0.35,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5710d71ff24c3,20,Female,32,no,objTwoColors,#0080FF,125,53,416,5,Green    ,Green    ,0.35,0.41,0.39,0.12,0.2,0.17,0.78,0.74,0.76,0.78,0.74,0.49
5710dc97aac05,20,Male,6,no,objTwoColors,#0080FF,0,173,152,3,Red      ,Green    ,0.64,0.41,0.03,0.05,0.02,0.03,0.56,0.53,0.56,0.56,0.53,0.71
5710e60f69205,24,Female,31,no,objTwoColors,#0080FF,52,132,259,4,Green    ,Green    ,0.57,0.42,0.25,0.12,0.19,0.16,0.73,0.69,0.73,0.73,0.69,0.68
5710ea84d4c6f,25,Male,5,no,objTwoColors,#0080FF,226,0,87,5,Blue     ,Red      ,0.86,0.11,0.33,0.09,0.17,0.16,0.41,0.42,0.52,0.41,0.42,1.05
5710ee9e58646,25,Female,32,yes,objTwoColors,#0080FF,10,242,620,2,Red      ,Blue     ,0.62,0.16,0.09,0.08,0.18,0.18,0.86,0.83,0.66,0.86,0.83,0.45
571103343658b,20,Female,32,no,objTwoColors,#0080FF,1,211,617,5,Red      ,Blue     ,0.59,0.09,0.07,0.07,0.12,0.11,0.78,0.74,0.58,0.78,0.74,0.49
57111f6c42412,22,Male,34,no,objTwoColors,#0080FF,203,0,90,5,Navy-Blue,Red      ,0.74,0.09,0.23,0.05,0.1,0.08,0.52,0.5,0.47,0.52,0.5,0.93
5711231e370f2,24,Male,32,yes,objTwoColors,#0080FF,0,194,88,4,Red      ,Sky-Blue ,0.58,0.09,0.05,0.03,0.06,0.05,0.68,0.64,0.48,0.68,0.64,0.59
57112cec29456,26,Male,11,no,objTwoColors,#0080FF,209,208,260,5,NA       ,NA       ,0.63,0.02,0.21,0.17,0.22,0.29,0.31,0.29,0.14,0.31,0.29,0.54
57112d73dfafe,25,Male,5,no,objTwoColors,#0080FF,312,178,292,2,Pink     ,Blue     ,0.61,0.13,0.14,0.06,0.18,0.14,0.29,0.26,0.25,0.29,0.26,0.68
57112da850667,22,Female,47,no,objTwoColors,#0080FF,248,184,108,5,Blue     ,Blue     ,0.74,0.06,0.38,0.16,0.25,0.27,0.07,0.11,0.15,0.07,0.11,0.78
57112da850667,22,Female,47,no,objTwoColors,#0080FF,0,173,47,4,Red      ,Green    ,0.64,0.41,0.03,0.05,0.02,0.03,0.56,0.53,0.56,0.56,0.53,0.71
57112edad4a17,23,Male,10,no,objTwoColors,#0080FF,204,0,67,4,Navy-Blue,Red      ,0.75,0.09,0.23,0.05,0.1,0.08,0.52,0.49,0.47,0.52,0.49,0.94
57112f57403ee,25,Female,14,no,objTwoColors,#0080FF,224,0,178,2,Blue     ,Red      ,0.85,0.11,0.32,0.09,0.17,0.15,0.41,0.42,0.52,0.41,0.42,1.04
571130c5cd6e9,24,Female,32,no,objTwoColors,#0080FF,166,214,128,4,Green    ,Blue     ,0.38,0.09,0.35,0.11,0.14,0.19,0.6,0.58,0.39,0.6,0.58,0.25
571130d934bda,22,Female,32,no,objTwoColors,#0080FF,227,0,31,5,Blue     ,Red      ,0.86,0.11,0.34,0.09,0.18,0.16,0.4,0.43,0.53,0.4,0.43,1.05
571137a34931a,27,Female,25,no,objTwoColors,#0080FF,233,0,136,2,Blue     ,Red      ,0.88,0.12,0.38,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
57113a5534205,22,Male,31,no,objTwoColors,#0080FF,236,0,135,5,Blue     ,Red      ,0.88,0.12,0.39,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
57113b7f16c4b,22,Male,31,no,objTwoColors,#0080FF,226,149,189,2,Blue     ,Teal     ,0.88,0.11,0.31,0.11,0.14,0.17,0.16,0.17,0.34,0.16,0.17,0.97
57113b9642c48,21,Female,9,no,objTwoColors,#0080FF,245,0,149,5,Blue     ,Red      ,0.88,0.14,0.4,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
57113de4aed1a,21,Male,31,no,objTwoColors,#0080FF,107,46,149,3,Green    ,Green    ,0.32,0.4,0.39,0.12,0.2,0.16,0.79,0.76,0.77,0.79,0.76,0.48
