id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5710cca334d60,25,Female,1,no,objTwoColors,#0080FF,59,98,992,4,Green    ,Green    ,0.54,0.41,0.27,0.11,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
5710cd99df604,23,Female,32,no,objTwoColors,#0080FF,203,209,260,2,Navy-Blue,NA       ,0.59,0.01,0.23,0.16,0.21,0.28,0.35,0.33,0.15,0.35,0.33,0.5
5710ce6c1308c,23,Female,32,no,objTwoColors,#0080FF,232,0,106,4,Blue     ,Red      ,0.87,0.12,0.37,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
5710d71ff24c3,20,Female,32,no,objTwoColors,#0080FF,125,53,416,5,Green    ,Green    ,0.35,0.41,0.39,0.12,0.2,0.17,0.78,0.74,0.76,0.78,0.74,0.49
5710e540a9514,52,Female,32,no,objTwoColors,#0080FF,218,0,81,4,Blue     ,Red      ,0.83,0.1,0.28,0.08,0.15,0.13,0.44,0.43,0.49,0.44,0.43,1.02
5710e60f69205,24,Female,31,no,objTwoColors,#0080FF,52,132,259,4,Green    ,Green    ,0.57,0.42,0.25,0.12,0.19,0.16,0.73,0.69,0.73,0.73,0.69,0.68
5710ee9e58646,25,Female,32,yes,objTwoColors,#0080FF,10,242,620,2,Red      ,Blue     ,0.62,0.16,0.09,0.08,0.18,0.18,0.86,0.83,0.66,0.86,0.83,0.45
57110028bc74b,48,Female,32,no,objTwoColors,#0080FF,0,182,164,5,Red      ,Blue     ,0.61,0.09,0.04,0.05,0.02,0.02,0.61,0.57,0.51,0.61,0.57,0.66
571103343658b,20,Female,32,no,objTwoColors,#0080FF,1,211,617,5,Red      ,Blue     ,0.59,0.09,0.07,0.07,0.12,0.11,0.78,0.74,0.58,0.78,0.74,0.49
57112b9e10661,64,Female,34,no,objTwoColors,#0080FF,52,0,233,2,Green    ,Red      ,0.49,0.43,0.25,0.15,0.21,0.16,0.9,0.86,0.83,0.9,0.86,0.68
57112d8509632,45,Female,32,no,objTwoColors,#0080FF,236,184,123,3,Blue     ,Blue     ,0.74,0.03,0.37,0.16,0.25,0.27,0.08,0.12,0.15,0.08,0.12,0.78
57112da850667,22,Female,47,no,objTwoColors,#0080FF,248,184,108,5,Blue     ,Blue     ,0.74,0.06,0.38,0.16,0.25,0.27,0.07,0.11,0.15,0.07,0.11,0.78
57112da850667,22,Female,47,no,objTwoColors,#0080FF,0,173,47,4,Red      ,Green    ,0.64,0.41,0.03,0.05,0.02,0.03,0.56,0.53,0.56,0.56,0.53,0.71
57112ebc85ba1,18,Female,32,no,objTwoColors,#0080FF,207,202,119,1,Navy-Blue,Navy-Blue,0.61,0.01,0.22,0.16,0.2,0.27,0.29,0.27,0.1,0.29,0.27,0.57
57112f57403ee,25,Female,14,no,objTwoColors,#0080FF,224,0,178,2,Blue     ,Red      ,0.85,0.11,0.32,0.09,0.17,0.15,0.41,0.42,0.52,0.41,0.42,1.04
571130c5cd6e9,24,Female,32,no,objTwoColors,#0080FF,166,214,128,4,Green    ,Blue     ,0.38,0.09,0.35,0.11,0.14,0.19,0.6,0.58,0.39,0.6,0.58,0.25
571130d934bda,22,Female,32,no,objTwoColors,#0080FF,227,0,31,5,Blue     ,Red      ,0.86,0.11,0.34,0.09,0.18,0.16,0.4,0.43,0.53,0.4,0.43,1.05
5711348e42f02,19,Female,32,no,objTwoColors,#0080FF,238,0,59,4,Blue     ,Red      ,0.88,0.13,0.39,0.09,0.19,0.18,0.4,0.44,0.55,0.4,0.44,1.07
571137a34931a,27,Female,25,no,objTwoColors,#0080FF,233,0,136,2,Blue     ,Red      ,0.88,0.12,0.38,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
57113b9642c48,21,Female,9,no,objTwoColors,#0080FF,245,0,149,5,Blue     ,Red      ,0.88,0.14,0.4,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
57113d4d93c81,18,Female,32,no,objTwoColors,#0080FF,234,0,67,5,Blue     ,Red      ,0.88,0.12,0.38,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
57113e6176346,23,Female,30,no,objTwoColors,#0080FF,57,92,393,5,Green    ,Green    ,0.54,0.4,0.26,0.12,0.19,0.16,0.73,0.7,0.73,0.73,0.7,0.66
571154184c9bd,47,Female,32,no,objTwoColors,#0080FF,232,0,8,5,Blue     ,Red      ,0.87,0.12,0.37,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
571163013744e,53,Female,13,no,objTwoColors,#0080FF,197,307,17,2,LI-Blue  ,Pink     ,0.37,0.12,0.25,0.1,0.24,0.2,0.39,0.37,0.23,0.39,0.37,0.57
5711641931da5,20,Female,32,no,objTwoColors,#0080FF,241,184,579,2,Blue     ,Blue     ,0.74,0.05,0.39,0.16,0.25,0.27,0.08,0.12,0.16,0.08,0.12,0.78
571165992a5c1,67,Female,32,no,objTwoColors,#0080FF,193,225,132,3,Sky-Blue ,Blue     ,0.57,0.03,0.27,0.17,0.23,0.28,0.5,0.47,0.29,0.5,0.47,0.39
5711703bd85fc,18,Female,32,no,objTwoColors,#0080FF,351,233,260,1,Red      ,Blue     ,0.63,0.11,0.06,0.09,0.21,0.18,0.85,0.81,0.65,0.85,0.81,0.45
57117fe7495aa,48,Female,5,no,objTwoColors,#0080FF,0,178,386,5,Red      ,Blue     ,0.62,0.41,0.04,0.05,0.02,0.02,0.59,0.55,0.54,0.59,0.55,0.68
5711800f2c5f3,59,Female,31,no,objTwoColors,#0080FF,157,278,847,1,Cyan     ,Blue     ,0.28,0.07,0.37,0.08,0.18,0.16,0.67,0.64,0.47,0.67,0.64,0.19
571183866d73f,48,Female,32,no,objTwoColors,#0080FF,59,88,195,5,Green    ,Green    ,0.53,0.4,0.27,0.11,0.18,0.16,0.73,0.7,0.73,0.73,0.7,0.65
5712197fbccd5,24,Female,32,no,objTwoColors,#0080FF,0,167,34,4,Red      ,Green    ,0.66,0.41,0.03,0.06,0.01,0.05,0.58,0.55,0.6,0.58,0.55,0.74
57123e4050550,20,Female,40,no,objTwoColors,#0080FF,7,242,211,3,Red      ,Blue     ,0.63,0.15,0.09,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
571245dfd5f63,24,Female,8,no,objTwoColors,#0080FF,247,0,279,4,Blue     ,Red      ,0.88,0.15,0.4,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
571252e6d2e70,31,Female,32,no,objTwoColors,#0080FF,232,0,64,5,Blue     ,Red      ,0.87,0.12,0.37,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
5712787a337a9,18,Female,7,no,objTwoColors,#0080FF,58,107,176,4,Green    ,Green    ,0.56,0.41,0.27,0.12,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
57127bcfaafb0,22,Female,32,no,objTwoColors,#0080FF,51,122,664,4,Green    ,Green    ,0.6,0.41,0.24,0.13,0.2,0.17,0.75,0.71,0.74,0.75,0.71,0.7
571289ef76e18,55,Female,31,no,objTwoColors,#0080FF,113,48,183,4,Green    ,Green    ,0.34,0.41,0.39,0.12,0.2,0.16,0.79,0.76,0.77,0.79,0.76,0.49
5712bd55a8a13,27,Female,32,no,objTwoColors,#0080FF,211,0,109,3,Blue     ,Red      ,0.79,0.09,0.24,0.07,0.13,0.11,0.47,0.46,0.47,0.47,0.46,0.98
5712c2b021f58,22,Female,32,no,objTwoColors,#0080FF,237,181,161,5,Blue     ,Blue     ,0.75,0.03,0.29,0.15,0.24,0.26,0.06,0.1,0.17,0.06,0.1,0.8
5712c57f97f25,25,Female,31,no,objTwoColors,#0080FF,230,0,66,4,Blue     ,Red      ,0.87,0.11,0.36,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5713923c1bbc7,24,Female,27,no,objTwoColors,#0080FF,57,120,335,3,Green    ,Green    ,0.57,0.41,0.26,0.12,0.2,0.17,0.75,0.72,0.75,0.75,0.72,0.68
5713a02a13044,24,Female,32,yes,objTwoColors,#0080FF,228,0,83,3,Blue     ,Red      ,0.86,0.11,0.35,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5713dd915ca28,24,Female,20,no,objTwoColors,#0080FF,0,207,67,2,Red      ,Navy-Blue,0.58,0.09,0.07,0.06,0.11,0.09,0.76,0.72,0.56,0.76,0.72,0.51
5713fc80c942a,23,Female,32,no,objTwoColors,#0080FF,252,199,234,5,Blue     ,Navy-Blue,0.72,0.1,0.39,0.18,0.29,0.31,0.16,0.2,0.16,0.16,0.2,0.7
571410751e7b0,22,Female,12,no,objTwoColors,#0080FF,213,0,51,2,Blue     ,Red      ,0.8,0.09,0.25,0.07,0.13,0.12,0.46,0.45,0.47,0.46,0.45,0.99
57149713464b1,51,Female,32,no,objTwoColors,#0080FF,0,0,0,1,Red      ,Red      ,0.74,0.47,0.05,0.24,0.3,0.27,0.94,0.9,0.89,0.94,0.9,0.93
57153eb9b4bed,35,Female,31,no,objTwoColors,#0080FF,0,264,52,4,Red      ,Blue     ,0.61,0.19,0.08,0.1,0.17,0.18,0.85,0.81,0.65,0.85,0.81,0.43
5716e9900f6ea,58,Female,31,no,objTwoColors,#0080FF,217,182,135,3,Blue     ,Blue     ,0.69,0.04,0.22,0.14,0.17,0.24,0.11,0.1,0.11,0.11,0.1,0.74
5734d89183dab,19,Female,29,no,objTwoColors,#0080FF,196,222,72,4,LI-Blue  ,Blue     ,0.58,0.03,0.26,0.17,0.23,0.29,0.47,0.44,0.26,0.47,0.44,0.41
5739ff85289b2,56,Female,25,yes,objTwoColors,#0000FF,55,110,101,3,Green    ,Green    ,0.58,0.41,0.26,0.12,0.2,0.17,0.75,0.71,0.74,0.75,0.71,0.67
573a059da0efd,31,Female,32,yes,objTwoColors,#0000FF,76,53,296,4,Yellow   ,Green    ,0.4,0.4,0.33,0.12,0.17,0.14,0.75,0.71,0.74,0.75,0.71,0.54
573c783748e8b,37,Female,32,yes,objTwoColors,#0000FF,238,225,123,3,Blue     ,Blue     ,0.77,0.12,0.4,0.21,0.34,0.38,0.31,0.35,0.31,0.31,0.35,0.59
573ec4275ba17,24,Female,32,yes,objTwoColors,#0000FF,198,222,81,3,Navy-Blue,Blue     ,0.59,0.03,0.25,0.17,0.24,0.29,0.45,0.43,0.25,0.45,0.43,0.42
5740a8b59d448,31,Female,32,yes,objTwoColors,#0000FF,249,0,209,3,Blue     ,Red      ,0.88,0.15,0.4,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
5740bda9be3dc,83,Female,32,yes,objTwoColors,#0000FF,222,216,84,5,Blue     ,Blue     ,0.7,0.08,0.31,0.19,0.29,0.34,0.29,0.29,0.23,0.29,0.29,0.57
5740e3f36a945,49,Female,32,yes,objTwoColors,#0000FF,217,0,79,2,Blue     ,Red      ,0.82,0.1,0.27,0.08,0.15,0.13,0.44,0.43,0.49,0.44,0.43,1.01
574121b9e952d,22,Female,5,no,objTwoColors,#0080FF,203,204,156,1,Navy-Blue,Navy-Blue,0.58,0.01,0.23,0.16,0.19,0.26,0.32,0.3,0.12,0.32,0.3,0.52
