id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5710cbe10cade,objTwoColors,#0080FF,226,210,133,4,Blue     ,Blue     ,0.71,0.07,0.33,0.19,0.28,0.33,0.25,0.26,0.21,0.25,0.26,0.61
5710cca334d60,objTwoColors,#0080FF,59,98,992,4,Green    ,Green    ,0.54,0.41,0.27,0.11,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
5710cd99df604,objTwoColors,#0080FF,203,209,260,2,Navy-Blue,NA       ,0.59,0.01,0.23,0.16,0.21,0.28,0.35,0.33,0.15,0.35,0.33,0.5
5710d71ff24c3,objTwoColors,#0080FF,125,53,416,5,Green    ,Green    ,0.35,0.41,0.39,0.12,0.2,0.17,0.78,0.74,0.76,0.78,0.74,0.49
5710d87585247,objTwoColors,#0080FF,48,98,251,2,Green    ,Green    ,0.59,0.4,0.23,0.12,0.19,0.16,0.74,0.7,0.74,0.74,0.7,0.71
5710e60f69205,objTwoColors,#0080FF,52,132,259,4,Green    ,Green    ,0.57,0.42,0.25,0.12,0.19,0.16,0.73,0.69,0.73,0.73,0.69,0.68
571103343658b,objTwoColors,#0080FF,1,211,617,5,Red      ,Blue     ,0.59,0.09,0.07,0.07,0.12,0.11,0.78,0.74,0.58,0.78,0.74,0.49
5711148c11035,objTwoColors,#0080FF,181,321,188,3,Blue     ,Pink     ,0.37,0.12,0.3,0.06,0.15,0.12,0.51,0.48,0.38,0.51,0.48,0.57
57112cec29456,objTwoColors,#0080FF,209,208,260,5,NA       ,NA       ,0.63,0.02,0.21,0.17,0.22,0.29,0.31,0.29,0.14,0.31,0.29,0.54
57112d73dfafe,objTwoColors,#0080FF,312,178,292,2,Pink     ,Blue     ,0.61,0.13,0.14,0.06,0.18,0.14,0.29,0.26,0.25,0.29,0.26,0.68
57112d8509632,objTwoColors,#0080FF,236,184,123,3,Blue     ,Blue     ,0.74,0.03,0.37,0.16,0.25,0.27,0.08,0.12,0.15,0.08,0.12,0.78
57112da850667,objTwoColors,#0080FF,248,184,108,5,Blue     ,Blue     ,0.74,0.06,0.38,0.16,0.25,0.27,0.07,0.11,0.15,0.07,0.11,0.78
57112ebc85ba1,objTwoColors,#0080FF,207,202,119,1,Navy-Blue,Navy-Blue,0.61,0.01,0.22,0.16,0.2,0.27,0.29,0.27,0.1,0.29,0.27,0.57
571130c5cd6e9,objTwoColors,#0080FF,166,214,128,4,Green    ,Blue     ,0.38,0.09,0.35,0.11,0.14,0.19,0.6,0.58,0.39,0.6,0.58,0.25
57113de4aed1a,objTwoColors,#0080FF,107,46,149,3,Green    ,Green    ,0.32,0.4,0.39,0.12,0.2,0.16,0.79,0.76,0.77,0.79,0.76,0.48
57113e6176346,objTwoColors,#0080FF,57,92,393,5,Green    ,Green    ,0.54,0.4,0.26,0.12,0.19,0.16,0.73,0.7,0.73,0.73,0.7,0.66
571153ca15566,objTwoColors,#0080FF,233,182,142,3,Blue     ,Blue     ,0.75,0.02,0.28,0.15,0.22,0.26,0.06,0.1,0.16,0.06,0.1,0.8
5711641931da5,objTwoColors,#0080FF,241,184,579,2,Blue     ,Blue     ,0.74,0.05,0.39,0.16,0.25,0.27,0.08,0.12,0.16,0.08,0.12,0.78
571165992a5c1,objTwoColors,#0080FF,193,225,132,3,Sky-Blue ,Blue     ,0.57,0.03,0.27,0.17,0.23,0.28,0.5,0.47,0.29,0.5,0.47,0.39
57116b9b879bf,objTwoColors,#0080FF,199,223,105,3,Navy-Blue,Blue     ,0.6,0.04,0.25,0.17,0.24,0.3,0.45,0.43,0.24,0.45,0.43,0.43
5711703bd85fc,objTwoColors,#0080FF,351,233,260,1,Red      ,Blue     ,0.63,0.11,0.06,0.09,0.21,0.18,0.85,0.81,0.65,0.85,0.81,0.45
5711800f2c5f3,objTwoColors,#0080FF,157,278,847,1,Cyan     ,Blue     ,0.28,0.07,0.37,0.08,0.18,0.16,0.67,0.64,0.47,0.67,0.64,0.19
571183866d73f,objTwoColors,#0080FF,59,88,195,5,Green    ,Green    ,0.53,0.4,0.27,0.11,0.18,0.16,0.73,0.7,0.73,0.73,0.7,0.65
57119224388ef,objTwoColors,#0080FF,48,128,122,5,Green    ,Green    ,0.6,0.41,0.23,0.12,0.19,0.16,0.74,0.7,0.74,0.74,0.7,0.71
57121e2a63601,objTwoColors,#0080FF,105,57,224,5,Green    ,Green    ,0.34,0.41,0.39,0.12,0.2,0.17,0.77,0.74,0.76,0.77,0.74,0.49
57122801e1da9,objTwoColors,#0080FF,205,229,201,3,Navy-Blue,Blue     ,0.64,0.07,0.22,0.19,0.28,0.32,0.43,0.41,0.23,0.43,0.41,0.48
57123bec83e8e,objTwoColors,#0080FF,250,176,390,3,Blue     ,Blue     ,0.77,0.05,0.3,0.14,0.23,0.25,0.03,0.07,0.2,0.03,0.07,0.83
57123e4050550,objTwoColors,#0080FF,7,242,211,3,Red      ,Blue     ,0.63,0.15,0.09,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
571247f66fb51,objTwoColors,#0080FF,233,181,244,3,Blue     ,Blue     ,0.75,0.01,0.28,0.15,0.22,0.26,0.05,0.09,0.17,0.05,0.09,0.8
5712787a337a9,objTwoColors,#0080FF,58,107,176,4,Green    ,Green    ,0.56,0.41,0.27,0.12,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
57127bcfaafb0,objTwoColors,#0080FF,51,122,664,4,Green    ,Green    ,0.6,0.41,0.24,0.13,0.2,0.17,0.75,0.71,0.74,0.75,0.71,0.7
5712c2b021f58,objTwoColors,#0080FF,237,181,161,5,Blue     ,Blue     ,0.75,0.03,0.29,0.15,0.24,0.26,0.06,0.1,0.17,0.06,0.1,0.8
57138ac176750,objTwoColors,#0080FF,234,84,142,3,Blue     ,DK-Green ,0.94,0.28,0.38,0.09,0.09,0.11,0.22,0.26,0.43,0.22,0.26,1.06
5713923c1bbc7,objTwoColors,#0080FF,57,120,335,3,Green    ,Green    ,0.57,0.41,0.26,0.12,0.2,0.17,0.75,0.72,0.75,0.75,0.72,0.68
5713b10383207,objTwoColors,#0080FF,152,58,130,4,Teal     ,Green    ,0.44,0.43,0.35,0.09,0.17,0.14,0.66,0.64,0.65,0.66,0.64,0.6
5713fc80c942a,objTwoColors,#0080FF,252,199,234,5,Blue     ,Navy-Blue,0.72,0.1,0.39,0.18,0.29,0.31,0.16,0.2,0.16,0.16,0.2,0.7
5716e9900f6ea,objTwoColors,#0080FF,217,182,135,3,Blue     ,Blue     ,0.69,0.04,0.22,0.14,0.17,0.24,0.11,0.1,0.11,0.11,0.1,0.74
5727635041e99,objTwoColors,#0080FF,340,141,167,4,Red      ,Green    ,0.77,0.4,0.08,0.04,0.05,0.07,0.66,0.62,0.67,0.66,0.62,0.87
57276731cfba9,objTwoColors,#0080FF,179,310,377,3,Blue     ,Pink     ,0.29,0.13,0.31,0.07,0.19,0.15,0.5,0.47,0.34,0.5,0.47,0.48
5734aa4c927a8,objTwoColors,#0080FF,173,223,763,4,Green    ,Blue     ,0.44,0.04,0.34,0.14,0.18,0.23,0.6,0.58,0.39,0.6,0.58,0.28
5734d89183dab,objTwoColors,#0080FF,196,222,72,4,LI-Blue  ,Blue     ,0.58,0.03,0.26,0.17,0.23,0.29,0.47,0.44,0.26,0.47,0.44,0.41
5735d3455a84c,objTwoColors,#0080FF,256,190,211,4,Blue     ,Sky-Blue ,0.72,0.09,0.38,0.17,0.26,0.28,0.11,0.13,0.11,0.11,0.13,0.74
5736048bb110b,objTwoColors,#0080FF,208,205,133,5,NA       ,Navy-Blue,0.61,0.01,0.21,0.16,0.21,0.28,0.29,0.28,0.12,0.29,0.28,0.55
573607add000c,objTwoColors,#0080FF,222,200,498,3,Blue     ,Navy-Blue,0.68,0.04,0.31,0.17,0.24,0.3,0.19,0.2,0.14,0.19,0.2,0.66
573634984323e,objTwoColors,#0080FF,220,198,452,3,Blue     ,Navy-Blue,0.68,0.03,0.21,0.17,0.23,0.29,0.19,0.18,0.11,0.19,0.18,0.66
573664e1a4a96,objTwoColors,#0080FF,181,276,158,2,Blue     ,Blue     ,0.43,0.11,0.31,0.12,0.22,0.23,0.54,0.51,0.32,0.54,0.51,0.32
