id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#FF8000,57,7,796,4,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.53,0.55
5710cbe10cade,21,Male,15,no,objTwoColors,#FF8000,18,48,176,4,Red      ,Green    ,0.68,0.02,0.07,0.14,0.19,0.15,0.1,0.11,0.06,0.1,0.11
5710cc2b8a642,24,Male,16,no,objTwoColors,#FF8000,18,0,395,5,Red      ,Red      ,0.69,0.11,0.08,0.22,0.28,0.24,0.33,0.34,0.29,0.32,0.34
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF8000,27,0,56,4,Orange   ,Red      ,0.64,0.09,0.12,0.2,0.27,0.22,0.38,0.39,0.34,0.37,0.39
5710cd99df604,23,Female,32,no,objTwoColors,#FF8000,29,0,131,2,Orange   ,Red      ,0.63,0.09,0.13,0.19,0.26,0.21,0.4,0.4,0.36,0.38,0.4
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF8000,13,58,111,5,Red      ,Green    ,0.72,0.03,0.06,0.14,0.18,0.14,0.04,0.04,0.05,0.05,0.04
5710cf445718e,25,Male,32,no,objTwoColors,#FF8000,128,188,204,1,Green    ,Cyan     ,0.2,0.29,0.4,0.09,0.13,0.13,0.73,0.75,0.74,0.75,0.75
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF8000,7,59,156,3,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.15,0.01,0.03,0.04,0.04,0.03
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF8000,13,65,216,5,Red      ,Yellow   ,0.73,0.06,0.06,0.12,0.17,0.14,0.05,0.06,0.07,0.08,0.06
5710d8d6aecd6,23,Female,7,no,objTwoColors,#FF8000,4,57,41,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
5710e60f69205,24,Female,31,no,objTwoColors,#FF8000,54,7,239,4,Green    ,Red      ,0.47,0,0.25,0.14,0.2,0.15,0.53,0.53,0.49,0.51,0.53
5710ee55dcd72,23,Female,6,no,objTwoColors,#FF8000,8,54,56,5,Red      ,Green    ,0.73,0.01,0.05,0.14,0.2,0.15,0.03,0.04,0.02,0.03,0.04
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF8000,55,354,175,4,Green    ,Red      ,0.47,0.03,0.26,0.14,0.2,0.15,0.54,0.54,0.5,0.53,0.54
571103343658b,20,Female,32,no,objTwoColors,#FF8000,32,30,44,5,Orange   ,Brown    ,0.58,0.01,0.15,0.15,0.2,0.16,0.3,0.29,0.26,0.28,0.29
57111f6c42412,22,Male,34,no,objTwoColors,#FF8000,31,0,104,5,Orange   ,Red      ,0.61,0.08,0.14,0.19,0.26,0.21,0.41,0.42,0.37,0.4,0.42
5711231e370f2,24,Male,32,yes,objTwoColors,#FF8000,0,33,35,4,Red      ,Orange   ,0.71,0.08,0.05,0.19,0.25,0.2,0.14,0.14,0.12,0.13,0.14
57112a657ac25,20,Female,24,no,objTwoColors,#FF8000,31,0,39,3,Orange   ,Red      ,0.61,0.08,0.14,0.19,0.26,0.21,0.41,0.42,0.37,0.4,0.42
57112d320ff16,20,Male,1,no,objTwoColors,#FF8000,336,64,1365,4,Red      ,Green    ,0.73,0.06,0.11,0.08,0.16,0.1,0.13,0.14,0.15,0.15,0.14
57112da850667,22,Female,47,no,objTwoColors,#FF8000,0,65,73,4,Red      ,Yellow   ,0.76,0.02,0.04,0.13,0.19,0.14,0.02,0.04,0.06,0.05,0.04
57112da850667,22,Female,47,no,objTwoColors,#FF8000,356,58,189,5,Red      ,Green    ,0.75,0.02,0.05,0.14,0.2,0.15,0.02,0.02,0.04,0.02,0.02
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF8000,21,49,50,5,Red      ,Green    ,0.66,0.03,0.09,0.14,0.18,0.15,0.12,0.11,0.08,0.1,0.11
571130d934bda,22,Female,32,no,objTwoColors,#FF8000,29,29,56,5,Orange   ,Orange   ,0.6,0.01,0.13,0.16,0.21,0.17,0.28,0.28,0.24,0.27,0.28
57113a5534205,22,Male,31,no,objTwoColors,#FF8000,4,55,102,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
57113b7f16c4b,22,Male,31,no,objTwoColors,#FF8000,64,10,196,5,Green    ,Red      ,0.43,0.04,0.29,0.13,0.18,0.14,0.56,0.56,0.52,0.55,0.56
57113d9cc42b5,21,Female,12,no,objTwoColors,#FF8000,31,0,82,5,Orange   ,Red      ,0.61,0.08,0.14,0.19,0.26,0.21,0.41,0.42,0.37,0.4,0.42
57113de4aed1a,21,Male,31,no,objTwoColors,#FF8000,9,41,30,4,Red      ,Yellow   ,0.71,0.03,0.05,0.16,0.22,0.18,0.11,0.1,0.07,0.09,0.1
57113e3362c9f,24,Male,6,no,objTwoColors,#FF8000,0,0,0,1,Red      ,Red      ,0.74,0.12,0.05,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
57113e6176346,23,Female,30,no,objTwoColors,#FF8000,0,42,29,5,Red      ,Yellow   ,0.72,0.06,0.05,0.16,0.23,0.18,0.08,0.09,0.06,0.08,0.09
571151812791a,20,Male,32,yes,objTwoColors,#FF8000,11,62,145,3,Red      ,Green    ,0.73,0.04,0.05,0.13,0.18,0.14,0.03,0.05,0.05,0.06,0.05
5711641931da5,20,Female,32,no,objTwoColors,#FF8000,64,12,451,5,Green    ,Red      ,0.43,0.05,0.29,0.13,0.18,0.14,0.55,0.55,0.51,0.54,0.55
57116b9b879bf,20,Male,32,no,objTwoColors,#FF8000,38,22,163,3,Yellow   ,Red      ,0.55,0,0.18,0.15,0.2,0.17,0.38,0.38,0.33,0.37,0.38
