id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#FF8000,57,7,796,4,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.53,0.55
5710cbe10cade,21,Male,15,no,objTwoColors,#FF8000,18,48,176,4,Red      ,Green    ,0.68,0.02,0.07,0.14,0.19,0.15,0.1,0.11,0.06,0.1,0.11
5710cc2b8a642,24,Male,16,no,objTwoColors,#FF8000,18,0,395,5,Red      ,Red      ,0.69,0.11,0.08,0.22,0.28,0.24,0.33,0.34,0.29,0.32,0.34
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF8000,27,0,56,4,Orange   ,Red      ,0.64,0.09,0.12,0.2,0.27,0.22,0.38,0.39,0.34,0.37,0.39
5710cf445718e,25,Male,32,no,objTwoColors,#FF8000,128,188,204,1,Green    ,Cyan     ,0.2,0.29,0.4,0.09,0.13,0.13,0.73,0.75,0.74,0.75,0.75
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF8000,7,59,156,3,Red      ,Green    ,0.74,0.02,0.05,0.14,0.19,0.15,0.01,0.03,0.04,0.04,0.03
5710d28fec2d1,30,Male,32,no,objTwoColors,#FF8000,0,5,131,1,Red      ,Red      ,0.73,0.12,0.05,0.23,0.29,0.26,0.27,0.28,0.25,0.27,0.28
5711106ab212a,33,Male,32,no,objTwoColors,#FF8000,7,57,60,4,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.02,0.03,0.03,0.03,0.03
5711148c11035,35,Male,22,no,objTwoColors,#FF8000,16,51,93,3,Red      ,Green    ,0.69,0.02,0.07,0.14,0.19,0.15,0.08,0.08,0.04,0.07,0.08
57111f6c42412,22,Male,34,no,objTwoColors,#FF8000,31,0,104,5,Orange   ,Red      ,0.61,0.08,0.14,0.19,0.26,0.21,0.41,0.42,0.37,0.4,0.42
5711231e370f2,24,Male,32,yes,objTwoColors,#FF8000,0,33,35,4,Red      ,Orange   ,0.71,0.08,0.05,0.19,0.25,0.2,0.14,0.14,0.12,0.13,0.14
57112d320ff16,20,Male,1,no,objTwoColors,#FF8000,336,64,1365,4,Red      ,Green    ,0.73,0.06,0.11,0.08,0.16,0.1,0.13,0.14,0.15,0.15,0.14
57112e1a2bbbb,32,Male,16,no,objTwoColors,#FF8000,9,121,250,2,Red      ,Green    ,0.83,0.18,0.05,0.1,0.16,0.13,0.17,0.18,0.2,0.19,0.18
57113a5534205,22,Male,31,no,objTwoColors,#FF8000,4,55,102,5,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.02,0.03,0.03,0.02,0.03
57113b7f16c4b,22,Male,31,no,objTwoColors,#FF8000,64,10,196,5,Green    ,Red      ,0.43,0.04,0.29,0.13,0.18,0.14,0.56,0.56,0.52,0.55,0.56
57113de4aed1a,21,Male,31,no,objTwoColors,#FF8000,9,41,30,4,Red      ,Yellow   ,0.71,0.03,0.05,0.16,0.22,0.18,0.11,0.1,0.07,0.09,0.1
57113e3362c9f,24,Male,6,no,objTwoColors,#FF8000,0,0,0,1,Red      ,Red      ,0.74,0.12,0.05,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
571151812791a,20,Male,32,yes,objTwoColors,#FF8000,11,62,145,3,Red      ,Green    ,0.73,0.04,0.05,0.13,0.18,0.14,0.03,0.05,0.05,0.06,0.05
571153ca15566,32,Male,32,no,objTwoColors,#FF8000,11,58,63,3,Red      ,Green    ,0.73,0.03,0.05,0.14,0.18,0.14,0.03,0.04,0.04,0.04,0.04
57116b9b879bf,20,Male,32,no,objTwoColors,#FF8000,38,22,163,3,Yellow   ,Red      ,0.55,0,0.18,0.15,0.2,0.17,0.38,0.38,0.33,0.37,0.38
57119224388ef,24,Male,31,no,objTwoColors,#FF8000,48,6,128,5,Green    ,Red      ,0.5,0.02,0.23,0.15,0.21,0.16,0.5,0.5,0.46,0.5,0.5
5711ace2ee7ed,24,Male,32,no,objTwoColors,#FF8000,55,5,258,5,Green    ,Red      ,0.47,0,0.26,0.14,0.2,0.15,0.53,0.54,0.49,0.53,0.54
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF8000,64,10,275,3,Green    ,Red      ,0.43,0.04,0.29,0.13,0.18,0.14,0.56,0.56,0.52,0.55,0.56
5711e54c50f6b,19,Male,4,no,objTwoColors,#FF8000,33,0,283,5,Orange   ,Red      ,0.6,0.08,0.15,0.19,0.25,0.2,0.42,0.43,0.38,0.41,0.43
571210e10d88b,23,Male,19,no,objTwoColors,#FF8000,32,0,161,5,Orange   ,Red      ,0.61,0.08,0.15,0.19,0.26,0.21,0.42,0.42,0.38,0.4,0.42
571214121717c,22,Male,32,no,objTwoColors,#FF8000,57,7,254,5,Green    ,Red      ,0.46,0.01,0.27,0.14,0.19,0.15,0.54,0.55,0.5,0.53,0.55
57121e2a63601,21,Male,31,no,objTwoColors,#FF8000,0,0,0,2,Red      ,Red      ,0.74,0.12,0.05,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
57123bec83e8e,21,Male,32,no,objTwoColors,#FF8000,7,0,54,4,Red      ,Red      ,0.73,0.12,0.05,0.23,0.29,0.26,0.29,0.3,0.26,0.28,0.3
571245f0af12d,21,Male,3,no,objTwoColors,#FF8000,21,56,212,3,Red      ,Green    ,0.67,0.05,0.09,0.13,0.17,0.14,0.08,0.08,0.08,0.08,0.08
571247f66fb51,27,Male,32,no,objTwoColors,#FF8000,4,56,164,3,Red      ,Green    ,0.74,0,0.05,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
571260c120253,22,Male,32,no,objTwoColors,#FF8000,9,54,38,3,Red      ,Green    ,0.73,0.01,0.05,0.14,0.19,0.15,0.04,0.04,0.02,0.03,0.04
