id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#80FF00,60,190,239,5,Green    ,Sky-Blue ,0.44,0.04,0.23,0.12,0.12,0.15,0.53,0.54,0.64,0.54,0.54,0.82,0.38,0.39
5710cbe10cade,21,Male,15,no,objTwoColors,#80FF00,215,53,181,5,Blue     ,Green    ,0.51,0.04,0.27,0.15,0.19,0.23,0.28,0.27,0.15,0.26,0.27,0.09,0.74,0.74
5710cc5a7829c,27,Male,32,no,objTwoColors,#80FF00,91,0,122,5,Green    ,Red      ,0.3,0.17,0.29,0.13,0.16,0.13,0.5,0.5,0.58,0.48,0.5,0.82,0.78,0.79
5710cf445718e,25,Male,32,no,objTwoColors,#80FF00,236,57,307,3,Blue     ,Green    ,0.56,0.07,0.39,0.17,0.27,0.27,0.33,0.33,0.23,0.33,0.33,0.02,0.78,0.78
5710d140b7c5a,26,Male,32,no,objTwoColors,#80FF00,130,153,154,3,Green    ,Teal     ,0.17,0.06,0.32,0.11,0.07,0.09,0.38,0.38,0.51,0.4,0.38,0.69,0.55,0.55
5710d28fec2d1,30,Male,32,no,objTwoColors,#80FF00,0,84,211,1,Red      ,DK-Green ,0.5,0.19,0.27,0.13,0.18,0.14,0.48,0.49,0.55,0.5,0.49,0.64,0.22,0.23
5710d87585247,31,Male,3,no,objTwoColors,#80FF00,50,149,529,2,Green    ,Teal     ,0.32,0.02,0.2,0.06,0.05,0.05,0.38,0.39,0.5,0.39,0.39,0.66,0.38,0.38
5710d9dcc23f0,21,Male,18,no,objTwoColors,#80FF00,94,89,163,4,Green    ,Green    ,0.12,0,0.29,0.07,0.03,0.05,0.34,0.33,0.47,0.35,0.33,0.65,0.62,0.63
5710ffa5dd7be,22,Male,6,no,objTwoColors,#80FF00,359,16,1267,3,Red      ,Red      ,0.65,0.38,0.27,0.27,0.36,0.33,0.63,0.62,0.64,0.61,0.62,0.79,0.36,0.36
5711106ab212a,33,Male,32,no,objTwoColors,#80FF00,43,216,101,3,Yellow   ,Blue     ,0.67,0.04,0.18,0.16,0.22,0.25,0.71,0.71,0.8,0.72,0.71,0.97,0.46,0.47
5711148c11035,35,Male,22,no,objTwoColors,#80FF00,155,56,996,2,Cyan     ,Green    ,0.13,0.03,0.24,0.07,0.06,0.06,0.12,0.12,0.24,0.12,0.12,0.43,0.62,0.63
57111f6c42412,22,Male,34,no,objTwoColors,#80FF00,85,0,655,5,DK-Green ,Red      ,0.32,0.19,0.28,0.13,0.18,0.14,0.5,0.5,0.58,0.48,0.5,0.81,0.76,0.77
5711231e370f2,24,Male,32,yes,objTwoColors,#80FF00,0,147,422,4,Red      ,NA       ,0.55,0.06,0.26,0.13,0.13,0.12,0.53,0.54,0.61,0.55,0.54,0.69,0.16,0.17
57113a5534205,22,Male,31,no,objTwoColors,#80FF00,59,219,492,5,Green    ,Blue     ,0.6,0.05,0.23,0.16,0.19,0.23,0.69,0.7,0.79,0.7,0.7,0.98,0.55,0.55
57113b7f16c4b,22,Male,31,no,objTwoColors,#80FF00,60,178,300,4,Green    ,Blue     ,0.38,0.05,0.23,0.11,0.1,0.12,0.47,0.48,0.58,0.49,0.48,0.76,0.32,0.33
57113de4aed1a,21,Male,31,no,objTwoColors,#80FF00,56,178,218,2,Green    ,Blue     ,0.4,0.04,0.22,0.1,0.1,0.12,0.47,0.48,0.59,0.49,0.48,0.76,0.31,0.31
571151812791a,20,Male,32,yes,objTwoColors,#80FF00,216,57,146,3,Blue     ,Green    ,0.5,0.04,0.27,0.15,0.18,0.23,0.27,0.27,0.17,0.27,0.27,0.07,0.74,0.74
571153ca15566,32,Male,32,no,objTwoColors,#80FF00,166,57,56,3,Green    ,Green    ,0.2,0.04,0.2,0.09,0.08,0.09,0.05,0.05,0.17,0.05,0.05,0.36,0.62,0.63
57116b9b879bf,20,Male,32,no,objTwoColors,#80FF00,109,90,160,4,Green    ,Green    ,0.13,0.02,0.31,0.07,0.04,0.06,0.35,0.34,0.48,0.37,0.34,0.66,0.65,0.65
