id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710cbe10cade,objTwoColors,#80FF00,215,53,181,5,Blue     ,Green    ,0.51,0.04,0.27,0.15,0.19,0.23,0.28,0.27,0.15,0.26,0.27,0.09,0.74,0.74
5710ce6c1308c,objTwoColors,#80FF00,201,55,96,4,Navy-Blue,Green    ,0.42,0.04,0.19,0.13,0.15,0.18,0.19,0.19,0.08,0.18,0.19,0.17,0.69,0.69
5710cf445718e,objTwoColors,#80FF00,236,57,307,3,Blue     ,Green    ,0.56,0.07,0.39,0.17,0.27,0.27,0.33,0.33,0.23,0.33,0.33,0.02,0.78,0.78
5710d140b7c5a,objTwoColors,#80FF00,130,153,154,3,Green    ,Teal     ,0.17,0.06,0.32,0.11,0.07,0.09,0.38,0.38,0.51,0.4,0.38,0.69,0.55,0.55
5710d71ff24c3,objTwoColors,#80FF00,56,192,213,3,Green    ,Sky-Blue ,0.47,0.04,0.22,0.12,0.12,0.16,0.54,0.55,0.66,0.55,0.55,0.83,0.38,0.39
5710d87585247,objTwoColors,#80FF00,50,149,529,2,Green    ,Teal     ,0.32,0.02,0.2,0.06,0.05,0.05,0.38,0.39,0.5,0.39,0.39,0.66,0.38,0.38
5710d9dcc23f0,objTwoColors,#80FF00,94,89,163,4,Green    ,Green    ,0.12,0,0.29,0.07,0.03,0.05,0.34,0.33,0.47,0.35,0.33,0.65,0.62,0.63
5710e540a9514,objTwoColors,#80FF00,59,191,171,4,Green    ,Sky-Blue ,0.45,0.04,0.23,0.12,0.12,0.15,0.54,0.55,0.64,0.55,0.55,0.83,0.39,0.39
5710e60f69205,objTwoColors,#80FF00,49,177,249,3,Green    ,Blue     ,0.43,0.04,0.2,0.09,0.11,0.13,0.48,0.49,0.59,0.49,0.49,0.76,0.26,0.27
5710ffa5dd7be,objTwoColors,#80FF00,359,16,1267,3,Red      ,Red      ,0.65,0.38,0.27,0.27,0.36,0.33,0.63,0.62,0.64,0.61,0.62,0.79,0.36,0.36
571103343658b,objTwoColors,#80FF00,99,101,299,3,Green    ,Green    ,0.14,0.03,0.3,0.08,0.04,0.07,0.37,0.37,0.51,0.38,0.37,0.68,0.64,0.65
5711106ab212a,objTwoColors,#80FF00,43,216,101,3,Yellow   ,Blue     ,0.67,0.04,0.18,0.16,0.22,0.25,0.71,0.71,0.8,0.72,0.71,0.97,0.46,0.47
5711148c11035,objTwoColors,#80FF00,155,56,996,2,Cyan     ,Green    ,0.13,0.03,0.24,0.07,0.06,0.06,0.12,0.12,0.24,0.12,0.12,0.43,0.62,0.63
57112b9e10661,objTwoColors,#80FF00,56,206,115,2,Green    ,Navy-Blue,0.55,0.04,0.22,0.14,0.16,0.2,0.62,0.63,0.73,0.63,0.63,0.91,0.47,0.47
57112d8509632,objTwoColors,#80FF00,56,251,286,5,Green    ,Blue     ,0.66,0.36,0.22,0.16,0.27,0.27,0.73,0.74,0.84,0.74,0.74,1.02,0.59,0.59
57112da850667,objTwoColors,#80FF00,52,118,123,5,Green    ,Green    ,0.31,0.01,0.2,0.04,0.01,0.01,0.38,0.38,0.51,0.4,0.38,0.66,0.49,0.49
57112ebc85ba1,objTwoColors,#80FF00,187,57,142,5,Cyan     ,Green    ,0.32,0.05,0.16,0.11,0.11,0.14,0.09,0.1,0.05,0.09,0.1,0.24,0.65,0.65
571130c5cd6e9,objTwoColors,#80FF00,50,190,114,5,Green    ,Sky-Blue ,0.48,0.05,0.2,0.11,0.13,0.16,0.54,0.55,0.65,0.55,0.55,0.82,0.34,0.34
571130d934bda,objTwoColors,#80FF00,58,117,215,4,Green    ,Green    ,0.29,0.01,0.22,0.04,0.01,0.01,0.37,0.38,0.5,0.39,0.38,0.66,0.51,0.52
57113163e6fb1,objTwoColors,#80FF00,249,55,218,5,Blue     ,Green    ,0.57,0.36,0.4,0.16,0.27,0.27,0.34,0.34,0.23,0.33,0.34,0.02,0.77,0.78
5711348e42f02,objTwoColors,#80FF00,234,65,219,4,Blue     ,Yellow   ,0.57,0.09,0.39,0.18,0.25,0.26,0.34,0.35,0.26,0.36,0.35,0.02,0.78,0.77
571137a34931a,objTwoColors,#80FF00,214,53,368,2,Blue     ,Green    ,0.51,0.04,0.26,0.15,0.19,0.23,0.28,0.27,0.15,0.26,0.27,0.1,0.74,0.74
57113de4aed1a,objTwoColors,#80FF00,56,178,218,2,Green    ,Blue     ,0.4,0.04,0.22,0.1,0.1,0.12,0.47,0.48,0.59,0.49,0.48,0.76,0.31,0.31
571153ca15566,objTwoColors,#80FF00,166,57,56,3,Green    ,Green    ,0.2,0.04,0.2,0.09,0.08,0.09,0.05,0.05,0.17,0.05,0.05,0.36,0.62,0.63
571153e3025f9,objTwoColors,#80FF00,228,48,91,2,Blue     ,Green    ,0.58,0.05,0.36,0.16,0.25,0.27,0.36,0.36,0.22,0.35,0.36,0.06,0.79,0.78
5711641931da5,objTwoColors,#80FF00,53,194,189,5,Green    ,Sky-Blue ,0.49,0.04,0.21,0.12,0.13,0.17,0.56,0.56,0.67,0.58,0.56,0.84,0.38,0.39
571165992a5c1,objTwoColors,#80FF00,234,54,375,2,Blue     ,Green    ,0.57,0.06,0.39,0.16,0.26,0.27,0.34,0.34,0.22,0.33,0.34,0.02,0.79,0.78
57116b9b879bf,objTwoColors,#80FF00,109,90,160,4,Green    ,Green    ,0.13,0.02,0.31,0.07,0.04,0.06,0.35,0.34,0.48,0.37,0.34,0.66,0.65,0.65
5711703bd85fc,objTwoColors,#80FF00,249,65,442,5,Blue     ,Yellow   ,0.57,0.36,0.4,0.18,0.26,0.27,0.34,0.35,0.26,0.36,0.35,0.02,0.77,0.77
5711800f2c5f3,objTwoColors,#80FF00,184,55,121,3,Blue     ,Green    ,0.32,0.05,0.16,0.1,0.11,0.14,0.09,0.09,0.06,0.08,0.09,0.27,0.64,0.65
571183866d73f,objTwoColors,#80FF00,217,55,137,5,Blue     ,Green    ,0.51,0.04,0.28,0.15,0.19,0.23,0.28,0.28,0.17,0.27,0.28,0.07,0.74,0.75
57119224388ef,objTwoColors,#80FF00,57,276,204,5,Green    ,Blue     ,0.59,0.37,0.22,0.16,0.26,0.25,0.67,0.68,0.77,0.68,0.68,0.96,0.54,0.55
5711ace2ee7ed,objTwoColors,#80FF00,57,184,106,4,Green    ,Blue     ,0.42,0.05,0.22,0.11,0.11,0.14,0.5,0.51,0.62,0.51,0.51,0.79,0.34,0.35
5711cbde51bb0,objTwoColors,#80FF00,64,214,372,4,Green    ,Blue     ,0.56,0.05,0.25,0.16,0.17,0.21,0.67,0.67,0.77,0.68,0.67,0.96,0.55,0.55
571210e10d88b,objTwoColors,#80FF00,138,53,873,4,Green    ,Green    ,0.07,0.02,0.29,0.05,0.03,0.03,0.23,0.22,0.32,0.21,0.22,0.54,0.65,0.65
571214121717c,objTwoColors,#80FF00,187,58,95,5,Cyan     ,Green    ,0.32,0.04,0.16,0.11,0.11,0.14,0.09,0.1,0.06,0.09,0.1,0.24,0.65,0.65
57121e2a63601,objTwoColors,#80FF00,300,147,30,1,Pink     ,NA       ,0.57,0.51,0.33,0.19,0.32,0.25,0.36,0.37,0.33,0.38,0.37,0.33,0.52,0.53
57122801e1da9,objTwoColors,#80FF00,53,206,126,3,Green    ,Navy-Blue,0.56,0.04,0.21,0.14,0.16,0.2,0.63,0.63,0.73,0.64,0.63,0.91,0.45,0.46
57123bec83e8e,objTwoColors,#80FF00,329,329,2,4,Magenta  ,Magenta  ,0.64,0.36,0.29,0.28,0.35,0.33,0.53,0.54,0.53,0.53,0.54,0.64,0.44,0.44
57123e4050550,objTwoColors,#80FF00,199,58,109,4,Navy-Blue,Green    ,0.4,0.04,0.18,0.13,0.14,0.17,0.17,0.17,0.08,0.17,0.17,0.17,0.68,0.69
571243bcc8142,objTwoColors,#80FF00,57,122,257,5,Green    ,Green    ,0.29,0,0.21,0.04,0.01,0.01,0.37,0.38,0.51,0.39,0.38,0.66,0.51,0.52
571247f66fb51,objTwoColors,#80FF00,143,62,683,5,Green    ,Green    ,0.07,0.03,0.28,0.07,0.03,0.03,0.19,0.2,0.32,0.21,0.2,0.5,0.63,0.63
571252e6d2e70,objTwoColors,#80FF00,57,180,221,5,Green    ,Blue     ,0.4,0.05,0.22,0.1,0.1,0.13,0.48,0.49,0.6,0.5,0.49,0.77,0.32,0.33
571260c120253,objTwoColors,#80FF00,187,44,95,3,Cyan     ,Yellow   ,0.38,0.04,0.16,0.11,0.13,0.16,0.15,0.16,0.07,0.14,0.16,0.3,0.68,0.67
57127bcfaafb0,objTwoColors,#80FF00,55,188,111,4,Green    ,Cyan     ,0.45,0.05,0.22,0.11,0.12,0.15,0.52,0.53,0.64,0.53,0.53,0.81,0.35,0.36
571290e28820b,objTwoColors,#80FF00,50,196,80,5,Green    ,LI-Blue  ,0.52,0.04,0.2,0.12,0.14,0.18,0.58,0.59,0.68,0.59,0.59,0.86,0.38,0.38
5712c2b021f58,objTwoColors,#80FF00,182,58,147,5,Blue     ,Green    ,0.29,0.05,0.16,0.1,0.1,0.13,0.07,0.07,0.08,0.07,0.07,0.27,0.64,0.65
5712c57f97f25,objTwoColors,#80FF00,115,65,159,4,Green    ,Yellow   ,0.04,0,0.31,0.05,0.01,0.02,0.26,0.27,0.4,0.28,0.27,0.57,0.65,0.65
