id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
57112ebc85ba1,18,Female,32,no,objTwoColors,#8000FF,352,214,234,5,Red      ,Blue     ,0.73,0.04,0.37,0.1,0.14,0.16,0.78,0.58,0.57
5711348e42f02,19,Female,32,no,objTwoColors,#8000FF,238,316,121,4,Blue     ,Pink     ,0.07,0.01,0.47,0.03,0.01,0.02,0.34,0.37,0.37
571137cd27765,18,Female,8,no,objTwoColors,#8000FF,226,319,482,3,Blue     ,Pink     ,0.1,0.01,0.14,0.03,0.02,0.01,0.29,0.37,0.37
57113a4121a89,19,Male,4,no,objTwoColors,#8000FF,185,357,476,3,Blue     ,Red      ,0.56,0.01,0.27,0.15,0.25,0.24,0.18,0.38,0.38
57113d4d93c81,18,Female,32,no,objTwoColors,#8000FF,195,322,41,4,Sky-Blue ,Magenta  ,0.28,0.05,0.24,0.09,0.09,0.1,0.11,0.22,0.22
5711703bd85fc,18,Female,32,no,objTwoColors,#8000FF,327,245,216,4,Magenta  ,Blue     ,0.6,0.05,0.34,0.03,0.03,0.02,0.67,0.5,0.5
57121540dbb98,18,Male,7,no,objTwoColors,#8000FF,269,269,109,5,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.54,0.48,0.48
5712a254e00f7,18,Female,18,no,objTwoColors,#8000FF,0,290,121,4,Red      ,Navy-Blue,0.64,0.28,0.38,0.14,0.31,0.22,0.7,0.49,0.49
5734d89183dab,19,Female,29,no,objTwoColors,#8000FF,6,230,80,4,Red      ,Blue     ,0.77,0.11,0.38,0.09,0.14,0.16,0.83,0.63,0.62
5736048bb110b,19,Male,32,no,objTwoColors,#8000FF,273,269,241,5,Blue     ,Blue     ,0.24,0.01,0.39,0.11,0,0.1,0.53,0.47,0.47
573613f4689a3,18,Male,7,no,objTwoColors,#8000FF,271,270,142,3,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.53,0.47,0.47
573634984323e,19,Male,32,no,objTwoColors,#8000FF,1,241,364,5,Red      ,Blue     ,0.78,0.13,0.38,0.09,0.13,0.15,0.85,0.63,0.63
57366c199283c,19,Male,32,no,objTwoColors,#8000FF,274,0,157,4,Blue     ,Red      ,0.4,0.22,0.05,0.11,0.26,0.19,0.31,0.58,0.58
57427cf6bad0c,19,Female,32,no,objTwoColors,#8000FF,228,311,170,3,Blue     ,Pink     ,0.03,0.02,0.39,0.05,0.01,0.03,0.36,0.32,0.32
5744dce84ffa5,16,Male,13,no,objTwoColors,#8000FF,3,210,223,3,Red      ,Blue     ,0.73,0.06,0.37,0.11,0.18,0.19,0.79,0.58,0.57
574511e99b6d9,19,Female,32,no,objTwoColors,#8000FF,3,237,90,4,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.84,0.63,0.62
5745350dc1e22,19,Female,31,no,objTwoColors,#8000FF,236,8,141,5,Blue     ,Red      ,0.33,0.13,0.06,0.09,0.13,0.15,0.35,0.63,0.63
5745c1c07cc0c,18,Other,31,no,objTwoColors,#8000FF,300,324,645,2,Pink     ,Magenta  ,0.31,0.19,0.19,0.09,0.2,0.11,0.22,0.33,0.33
5745f6f039dc9,15,Male,33,no,objTwoColors,#8000FF,0,0,0,2,Red      ,Red      ,0.88,0.49,0.33,0.25,0.48,0.4,0.57,0.7,0.7
