id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
5710d28fec2d1,30,Male,32,no,objTwoColors,#8000FF,0,268,136,1,Red      ,Blue     ,0.73,0.2,0.38,0.11,0.24,0.18,0.8,0.58,0.58
5711106ab212a,33,Male,32,no,objTwoColors,#8000FF,1,239,102,4,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.85,0.63,0.63
5711148c11035,35,Male,22,no,objTwoColors,#8000FF,323,192,24,2,Magenta  ,Sky-Blue ,0.5,0.05,0.31,0.09,0.1,0.12,0.55,0.43,0.42
571153ca15566,32,Male,32,no,objTwoColors,#8000FF,205,325,183,3,Navy-Blue,Magenta  ,0.25,0.03,0.22,0.06,0.07,0.08,0.15,0.3,0.31
571252e6d2e70,31,Female,32,no,objTwoColors,#8000FF,5,237,54,5,Red      ,Blue     ,0.78,0.13,0.38,0.09,0.13,0.15,0.83,0.63,0.62
57153eb9b4bed,35,Female,31,no,objTwoColors,#8000FF,0,277,95,4,Red      ,Blue     ,0.7,0.23,0.38,0.12,0.27,0.2,0.76,0.55,0.55
57190633f233f,30,Male,32,no,objTwoColors,#8000FF,240,344,384,3,Blue     ,Red      ,0.28,0.08,0.04,0.06,0.08,0.09,0.3,0.58,0.58
573a059da0efd,31,Female,32,yes,objTwoColors,#B100FF,0,0,0,1,Red      ,Red      ,0.88,0.49,0.33,0.25,0.48,0.4,0.57,0.7,0.7
573c783748e8b,37,Female,32,yes,objTwoColors,#B100FF,355,231,294,3,Red      ,Blue     ,0.77,0.09,0.38,0.09,0.12,0.14,0.83,0.63,0.62
5740a8b59d448,31,Female,32,yes,objTwoColors,#B100FF,9,227,93,4,Red      ,Blue     ,0.77,0.11,0.37,0.09,0.15,0.16,0.82,0.61,0.6
5740b686127bb,32,Male,32,yes,objTwoColors,#B100FF,213,308,142,4,Blue     ,Pink     ,0.07,0.05,0.2,0.06,0.02,0.04,0.31,0.25,0.25
5745b5cbe3caa,34,Female,32,no,objTwoColors,#8000FF,300,214,408,4,Pink     ,Blue     ,0.38,0.06,0.25,0.07,0.02,0.04,0.52,0.42,0.42
574859b8f3379,30,Male,32,yes,objTwoColors,#B100FF,244,305,348,3,Blue     ,Pink     ,0.02,0,0.47,0.06,0,0.05,0.41,0.34,0.34
