id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#8000FF,7,225,216,4,Red      ,Blue     ,0.77,0.1,0.37,0.1,0.15,0.16,0.82,0.61,0.61
5710cbe10cade,21,Male,15,no,objTwoColors,#8000FF,253,276,402,4,Blue     ,Blue     ,0.15,0.04,0.44,0.13,0.04,0.11,0.54,0.47,0.48
5710cbf204d10,22,Male,3,no,objTwoColors,#8000FF,6,300,767,3,Red      ,Pink     ,0.59,0.35,0.37,0.16,0.33,0.24,0.64,0.44,0.43
5710cc5a7829c,27,Male,32,no,objTwoColors,#8000FF,269,0,181,4,Blue     ,Red      ,0.38,0.21,0.05,0.11,0.24,0.18,0.32,0.6,0.6
5710cd0a515bb,25,Male,7,no,objTwoColors,#8000FF,307,235,206,4,Pink     ,Blue     ,0.45,0.01,0.29,0.06,0,0.04,0.57,0.46,0.46
5710cf445718e,25,Male,32,no,objTwoColors,#8000FF,300,184,245,3,Pink     ,Blue     ,0.38,0.07,0.2,0.1,0.09,0.09,0.45,0.41,0.41
5710d140b7c5a,26,Male,32,no,objTwoColors,#8000FF,230,37,74,3,Blue     ,Yellow   ,0.31,0.2,0.06,0.12,0.2,0.15,0.37,0.6,0.6
5710d28fec2d1,30,Male,32,no,objTwoColors,#8000FF,0,268,136,1,Red      ,Blue     ,0.73,0.2,0.38,0.11,0.24,0.18,0.8,0.58,0.58
5710d9dcc23f0,21,Male,18,no,objTwoColors,#8000FF,229,313,186,4,Blue     ,Pink     ,0.05,0.01,0.4,0.04,0.01,0.02,0.35,0.33,0.33
5711106ab212a,33,Male,32,no,objTwoColors,#8000FF,1,239,102,4,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.85,0.63,0.63
5711148c11035,35,Male,22,no,objTwoColors,#8000FF,323,192,24,2,Magenta  ,Sky-Blue ,0.5,0.05,0.31,0.09,0.1,0.12,0.55,0.43,0.42
57111f6c42412,22,Male,34,no,objTwoColors,#8000FF,271,0,266,5,Blue     ,Red      ,0.38,0.21,0.05,0.11,0.25,0.19,0.31,0.59,0.59
5711231e370f2,24,Male,32,yes,objTwoColors,#8000FF,0,286,264,4,Red      ,Purple   ,0.66,0.27,0.38,0.13,0.3,0.21,0.72,0.51,0.51
571138253c724,21,Male,8,no,objTwoColors,#8000FF,243,308,198,3,Blue     ,Pink     ,0.01,0.01,0.47,0.06,0,0.04,0.39,0.33,0.33
57113a4121a89,19,Male,4,no,objTwoColors,#8000FF,185,357,476,3,Blue     ,Red      ,0.56,0.01,0.27,0.15,0.25,0.24,0.18,0.38,0.38
57113a5534205,22,Male,31,no,objTwoColors,#8000FF,238,3,180,5,Blue     ,Red      ,0.33,0.12,0.06,0.09,0.13,0.15,0.35,0.63,0.63
57113b7f16c4b,22,Male,31,no,objTwoColors,#8000FF,236,303,398,1,Blue     ,Pink     ,0.03,0.02,0.45,0.06,0,0.05,0.42,0.35,0.35
57113de4aed1a,21,Male,31,no,objTwoColors,#8000FF,109,223,223,3,Green    ,Blue     ,0.76,0.31,0.13,0.17,0.29,0.19,0.73,0.46,0.45
57114d8a4c057,22,Male,9,no,objTwoColors,#8000FF,270,271,187,5,Blue     ,Blue     ,0.22,0.02,0.4,0.11,0.01,0.1,0.54,0.46,0.46
571151812791a,20,Male,32,yes,objTwoColors,#8000FF,14,222,133,3,Red      ,Blue     ,0.75,0.11,0.36,0.1,0.17,0.16,0.8,0.59,0.58
571153ca15566,32,Male,32,no,objTwoColors,#8000FF,205,325,183,3,Navy-Blue,Magenta  ,0.25,0.03,0.22,0.06,0.07,0.08,0.15,0.3,0.31
57116b9b879bf,20,Male,32,no,objTwoColors,#8000FF,310,233,58,3,Pink     ,Blue     ,0.47,0.01,0.3,0.05,0,0.03,0.58,0.46,0.46
5711760a3dfe0,21,Male,8,no,objTwoColors,#8000FF,232,25,170,5,Blue     ,Orange   ,0.3,0.17,0.06,0.1,0.16,0.14,0.35,0.6,0.61
57119224388ef,24,Male,31,no,objTwoColors,#8000FF,51,131,126,5,Green    ,Green    ,0.93,0.49,0.22,0.26,0.47,0.41,0.71,0.64,0.64
5711ace2ee7ed,24,Male,32,no,objTwoColors,#8000FF,4,223,97,4,Red      ,Blue     ,0.76,0.09,0.38,0.1,0.15,0.16,0.81,0.61,0.6
5711cbde51bb0,24,Male,31,no,objTwoColors,#8000FF,228,41,123,3,Blue     ,Yellow   ,0.32,0.21,0.07,0.13,0.22,0.15,0.39,0.61,0.61
571210e10d88b,23,Male,19,no,objTwoColors,#8000FF,272,0,438,5,Blue     ,Red      ,0.39,0.22,0.05,0.11,0.25,0.19,0.31,0.59,0.59
571214121717c,22,Male,32,no,objTwoColors,#8000FF,1,238,119,5,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.85,0.63,0.63
57121540dbb98,18,Male,7,no,objTwoColors,#8000FF,269,269,109,5,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.54,0.48,0.48
57121e2a63601,21,Male,31,no,objTwoColors,#8000FF,252,0,50,3,Blue     ,Red      ,0.33,0.15,0.06,0.09,0.16,0.16,0.35,0.63,0.63
57122801e1da9,23,Male,17,no,objTwoColors,#8000FF,14,233,116,4,Red      ,Blue     ,0.77,0.14,0.36,0.09,0.14,0.15,0.82,0.61,0.6
57122e814fb61,26,Male,4,no,objTwoColors,#8000FF,230,322,59,2,Blue     ,Magenta  ,0.11,0.01,0.11,0.03,0.02,0.01,0.28,0.4,0.4
57123bec83e8e,21,Male,32,no,objTwoColors,#8000FF,353,218,531,2,Red      ,Blue     ,0.74,0.05,0.37,0.1,0.13,0.15,0.8,0.59,0.59
571247f66fb51,27,Male,32,no,objTwoColors,#8000FF,237,285,424,3,Blue     ,Purple   ,0.12,0.05,0.44,0.11,0.04,0.1,0.5,0.44,0.44
571260c120253,22,Male,32,no,objTwoColors,#8000FF,234,286,206,2,Blue     ,Purple   ,0.11,0.05,0.43,0.1,0.03,0.09,0.5,0.44,0.44
5712a47f6f8a6,44,Male,12,no,objTwoColors,#8000FF,185,331,272,2,Blue     ,Magenta  ,0.41,0.05,0.25,0.1,0.15,0.16,0.05,0.23,0.23
5713b10383207,40,Male,32,no,objTwoColors,#8000FF,338,169,590,2,Red      ,Green    ,0.7,0.06,0.33,0.12,0.21,0.23,0.64,0.56,0.55
5713e73998df9,25,Male,4,no,objTwoColors,#8000FF,237,316,113,3,Blue     ,Pink     ,0.07,0.01,0.47,0.03,0.01,0.02,0.34,0.37,0.37
57190633f233f,30,Male,32,no,objTwoColors,#8000FF,240,344,384,3,Blue     ,Red      ,0.28,0.08,0.04,0.06,0.08,0.09,0.3,0.58,0.58
572767049ccfa,24,Male,32,yes,objTwoColors,#B100FF,329,349,355,4,Magenta  ,Red      ,0.68,0.4,0.25,0.18,0.39,0.31,0.4,0.56,0.56
572c85675a5ef,23,Male,32,yes,objTwoColors,#8000FF,271,270,263,5,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.53,0.47,0.47
5734918f46823,26,Male,32,no,objTwoColors,#8000FF,2,209,49,2,Red      ,NA       ,0.73,0.05,0.37,0.11,0.18,0.19,0.78,0.58,0.58
5735d3455a84c,29,Male,32,no,objTwoColors,#8000FF,247,295,192,4,Blue     ,Pink     ,0.06,0.01,0.46,0.07,0.02,0.07,0.46,0.39,0.39
5736048bb110b,19,Male,32,no,objTwoColors,#8000FF,273,269,241,5,Blue     ,Blue     ,0.24,0.01,0.39,0.11,0,0.1,0.53,0.47,0.47
573613f4689a3,18,Male,7,no,objTwoColors,#8000FF,271,270,142,3,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.53,0.47,0.47
573634984323e,19,Male,32,no,objTwoColors,#8000FF,1,241,364,5,Red      ,Blue     ,0.78,0.13,0.38,0.09,0.13,0.15,0.85,0.63,0.63
57363b3954a26,55,Male,16,no,objTwoColors,#8000FF,216,317,448,1,Blue     ,Pink     ,0.12,0.03,0.19,0.04,0.03,0.03,0.27,0.31,0.31
573664e1a4a96,49,Male,18,no,objTwoColors,#8000FF,232,314,73,5,Blue     ,Pink     ,0.04,0.01,0.43,0.04,0.01,0.02,0.35,0.34,0.35
57366c199283c,19,Male,32,no,objTwoColors,#8000FF,274,0,157,4,Blue     ,Red      ,0.4,0.22,0.05,0.11,0.26,0.19,0.31,0.58,0.58
5738cf3d97a58,23,Male,32,no,objTwoColors,#8000FF,236,282,254,4,Blue     ,Purple   ,0.14,0.05,0.44,0.11,0.04,0.1,0.52,0.46,0.46
573a0b8280839,29,Male,21,yes,objTwoColors,#B100FF,0,322,104,3,Red      ,Magenta  ,0.65,0.41,0.36,0.19,0.39,0.32,0.51,0.48,0.48
573c70dabcfe0,49,Male,32,yes,objTwoColors,#B100FF,53,14,71,3,Green    ,Red      ,0.82,0.45,0.22,0.23,0.44,0.37,0.45,0.53,0.52
573e4022949b1,24,Male,32,yes,objTwoColors,#B100FF,280,0,85,5,Blue     ,Red      ,0.42,0.25,0.06,0.12,0.28,0.2,0.3,0.57,0.57
573e47c26cb8e,24,Male,32,yes,objTwoColors,#B100FF,41,256,127,3,Yellow   ,Blue     ,0.73,0.31,0.26,0.13,0.21,0.15,0.73,0.48,0.48
573e4d0eb795b,24,Male,32,yes,objTwoColors,#B100FF,282,0,228,4,Purple   ,Red      ,0.43,0.25,0.06,0.13,0.29,0.21,0.29,0.57,0.57
573edae85268b,27,Male,32,yes,objTwoColors,#B100FF,229,300,171,4,Blue     ,Pink     ,0.05,0.04,0.39,0.06,0,0.05,0.42,0.36,0.36
5740ad339507d,40,Male,32,yes,objTwoColors,#B100FF,5,218,89,3,Red      ,Blue     ,0.75,0.08,0.37,0.1,0.16,0.17,0.8,0.6,0.59
5740b0f8e9734,62,Male,33,yes,objTwoColors,#B100FF,279,0,123,5,Blue     ,Red      ,0.42,0.24,0.05,0.12,0.28,0.2,0.3,0.57,0.57
5740b686127bb,32,Male,32,yes,objTwoColors,#B100FF,213,308,142,4,Blue     ,Pink     ,0.07,0.05,0.2,0.06,0.02,0.04,0.31,0.25,0.25
574297edae49c,24,Male,32,no,objTwoColors,#8000FF,336,238,213,3,Red      ,Blue     ,0.67,0.06,0.36,0.04,0.05,0.06,0.75,0.55,0.54
5744dce84ffa5,16,Male,13,no,objTwoColors,#8000FF,3,210,223,3,Red      ,Blue     ,0.73,0.06,0.37,0.11,0.18,0.19,0.79,0.58,0.57
57459c393bbd0,29,Male,31,no,objTwoColors,#8000FF,7,229,80,4,Red      ,Blue     ,0.77,0.11,0.37,0.09,0.14,0.16,0.83,0.61,0.61
5745f6f039dc9,15,Male,33,no,objTwoColors,#8000FF,0,0,0,2,Red      ,Red      ,0.88,0.49,0.33,0.25,0.48,0.4,0.57,0.7,0.7
574859b8f3379,30,Male,32,yes,objTwoColors,#B100FF,244,305,348,3,Blue     ,Pink     ,0.02,0,0.47,0.06,0,0.05,0.41,0.34,0.34
5756ab1701ba0,21,Male,32,yes,objTwoColors,#B100FF,300,236,705,4,Pink     ,Blue     ,0.42,0.02,0.26,0.06,0,0.06,0.56,0.46,0.46
5756ae6897296,21,Male,32,yes,objTwoColors,#B100FF,5,322,737,4,Red      ,Magenta  ,0.65,0.43,0.36,0.19,0.39,0.31,0.5,0.48,0.47
5757fd2703090,22,Male,32,yes,objTwoColors,#8000FF,225,305,148,3,Blue     ,Pink     ,0.03,0.03,0.36,0.06,0.01,0.04,0.39,0.32,0.32
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#8000FF,214,350,226,3,Blue     ,Red      ,0.37,0.03,0.17,0.09,0.13,0.15,0.26,0.54,0.54
57581518c2c07,25,Male,32,yes,objTwoColors,#8000FF,212,23,77,4,Blue     ,Orange   ,0.38,0.11,0.18,0.12,0.23,0.18,0.27,0.53,0.53
57582b17cd76a,26,Male,32,yes,objTwoColors,#8000FF,219,353,230,3,Blue     ,Red      ,0.35,0.05,0.13,0.1,0.13,0.15,0.29,0.57,0.57
