id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5710d28fec2d1,30,Male,32,no,objTwoColors,#00FF80,0,129,792,1,Red      ,Green    ,0.7,0.12,0.07,0.09,0.15,0.18,0.56,0.58,0.57,0.59,0.58,0.64,0.65,0.73,0.65,0.65,0.23,0.24
5711106ab212a,33,Male,32,no,objTwoColors,#00FF80,59,219,355,3,Green    ,Blue     ,0.98,0.06,0.28,0.03,0.04,0.05,0.6,0.62,0.61,0.62,0.62,0.4,0.41,0.29,0.41,0.41,0.55,0.55
5711148c11035,35,Male,22,no,objTwoColors,#00FF80,62,166,154,3,Green    ,Green    ,0.71,0.1,0.3,0.07,0.14,0.17,0.32,0.34,0.34,0.34,0.34,0.16,0.17,0.27,0.17,0.17,0.33,0.33
571153ca15566,32,Male,32,no,objTwoColors,#00FF80,188,55,326,3,Cyan     ,Green    ,0.25,0.1,0.3,0.06,0.11,0.11,0.34,0.35,0.27,0.34,0.35,0.54,0.55,0.57,0.55,0.55,0.65,0.66
571252e6d2e70,31,Female,32,no,objTwoColors,#00FF80,125,0,124,5,Green    ,Red      ,0.83,0.12,0.41,0.1,0.15,0.18,0.3,0.3,0.32,0.28,0.3,0.41,0.41,0.5,0.41,0.41,0.82,0.83
57153eb9b4bed,35,Female,31,no,objTwoColors,#00FF80,0,131,41,5,Red      ,Green    ,0.7,0.12,0.07,0.09,0.14,0.18,0.56,0.58,0.57,0.59,0.58,0.63,0.64,0.72,0.64,0.64,0.22,0.23
57190633f233f,30,Male,32,no,objTwoColors,#00FF80,109,169,456,1,Green    ,Green    ,0.76,0.06,0.4,0.08,0.16,0.21,0.23,0.24,0.3,0.25,0.24,0.04,0.05,0.2,0.04,0.05,0.45,0.46
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF9A,199,63,181,5,Navy-Blue,Green    ,0.17,0.09,0.27,0.04,0.09,0.1,0.4,0.42,0.37,0.43,0.42,0.61,0.61,0.63,0.62,0.61,0.68,0.68
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF9A,142,0,350,3,Green    ,Red      ,0.78,0.1,0.39,0.08,0.11,0.16,0.33,0.34,0.28,0.32,0.34,0.44,0.45,0.46,0.45,0.45,0.81,0.81
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF9A,130,0,531,5,Green    ,Red      ,0.82,0.12,0.4,0.09,0.14,0.18,0.3,0.31,0.31,0.29,0.31,0.41,0.42,0.49,0.42,0.42,0.82,0.82
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF9A,168,58,127,4,Green    ,Green    ,0.35,0.1,0.35,0.07,0.13,0.16,0.21,0.23,0.17,0.23,0.23,0.42,0.44,0.45,0.44,0.44,0.62,0.63
5745b5cbe3caa,34,Female,32,no,objTwoColors,#00FF80,199,52,150,4,Navy-Blue,Green    ,0.19,0.1,0.27,0.04,0.08,0.08,0.42,0.43,0.33,0.42,0.43,0.62,0.62,0.64,0.63,0.62,0.69,0.69
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF9A,183,52,121,4,Blue     ,Green    ,0.29,0.11,0.31,0.06,0.11,0.11,0.32,0.33,0.23,0.32,0.33,0.52,0.52,0.54,0.53,0.52,0.65,0.65
