id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
57112ce735a14,19,Male,6,no,objTwoColors,#00FF80,183,63,299,5,Blue     ,Green    ,0.27,0.1,0.31,0.05,0.12,0.13,0.3,0.32,0.27,0.33,0.32,0.51,0.51,0.53,0.52,0.51,0.64,0.64
57112ebc85ba1,18,Female,32,no,objTwoColors,#00FF80,179,58,421,5,Blue     ,Green    ,0.29,0.11,0.32,0.06,0.12,0.13,0.28,0.29,0.23,0.29,0.29,0.49,0.5,0.51,0.5,0.5,0.63,0.64
5711348e42f02,19,Female,32,no,objTwoColors,#00FF80,232,54,95,4,Blue     ,Green    ,0.02,0.05,0.35,0.02,0.05,0.04,0.56,0.58,0.49,0.57,0.58,0.77,0.78,0.8,0.79,0.78,0.78,0.78
57113ce1334e0,19,Female,12,no,objTwoColors,#00FF80,224,162,195,4,Blue     ,Green    ,0.2,0.25,0.26,0.12,0.16,0.18,0.7,0.72,0.67,0.73,0.72,0.58,0.59,0.63,0.59,0.59,0.6,0.61
57113d4d93c81,18,Female,32,no,objTwoColors,#00FF80,193,59,406,4,Sky-Blue ,Green    ,0.2,0.1,0.28,0.05,0.1,0.1,0.35,0.37,0.31,0.38,0.37,0.57,0.58,0.59,0.58,0.58,0.66,0.67
5711703bd85fc,18,Female,32,no,objTwoColors,#00FF80,52,229,141,4,Green    ,Blue     ,1.02,0.06,0.27,0.02,0.04,0.04,0.67,0.68,0.66,0.68,0.68,0.47,0.48,0.35,0.48,0.48,0.56,0.56
57127cb3ab1fe,1,Male,12,no,objTwoColors,#00FF80,120,177,621,2,Green    ,Blue     ,0.8,0.02,0.41,0.08,0.15,0.19,0.27,0.28,0.35,0.28,0.28,0.05,0.05,0.16,0.05,0.05,0.46,0.47
5712a254e00f7,18,Female,18,no,objTwoColors,#00FF80,0,159,493,2,Red      ,Green    ,0.72,0.09,0.09,0.07,0.05,0.12,0.58,0.6,0.59,0.61,0.6,0.49,0.5,0.58,0.5,0.5,0.08,0.09
5727f6d19e901,19,Female,5,no,objTwoColors,#00FF80,242,57,284,2,Blue     ,Green    ,0.02,0.32,0.37,0.03,0.06,0.05,0.56,0.57,0.51,0.57,0.57,0.77,0.78,0.81,0.78,0.78,0.78,0.78
5734d89183dab,19,Female,29,no,objTwoColors,#00FF80,58,193,79,4,Green    ,Sky-Blue ,0.84,0.1,0.28,0.05,0.1,0.1,0.47,0.48,0.47,0.48,0.48,0.26,0.26,0.15,0.26,0.26,0.39,0.4
