id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5710cd99df604,23,Female,32,no,objTwoColors,#00FF80,155,0,82,4,Cyan     ,Red      ,0.7,0.09,0.37,0.08,0.06,0.13,0.4,0.42,0.31,0.4,0.42,0.51,0.53,0.49,0.53,0.53,0.79,0.8
5710ce6c1308c,23,Female,32,no,objTwoColors,#00FF80,181,57,143,4,Blue     ,Green    ,0.28,0.11,0.32,0.06,0.12,0.13,0.29,0.3,0.23,0.3,0.3,0.5,0.51,0.53,0.51,0.51,0.64,0.64
5710d71ff24c3,20,Female,32,no,objTwoColors,#00FF80,68,180,290,3,Yellow   ,Blue     ,0.78,0.1,0.31,0.06,0.13,0.14,0.36,0.37,0.38,0.38,0.37,0.15,0.15,0.17,0.15,0.15,0.36,0.37
5710e540a9514,52,Female,32,no,objTwoColors,#00FF80,179,53,221,4,Blue     ,Green    ,0.31,0.11,0.32,0.07,0.12,0.12,0.3,0.3,0.21,0.29,0.3,0.5,0.5,0.52,0.51,0.5,0.64,0.64
5710e60f69205,24,Female,31,no,objTwoColors,#00FF80,52,187,440,4,Green    ,Cyan     ,0.81,0.11,0.27,0.06,0.1,0.11,0.46,0.48,0.46,0.48,0.48,0.24,0.26,0.18,0.25,0.26,0.33,0.34
5710ee9e58646,25,Female,32,yes,objTwoColors,#00FF80,101,198,510,4,Green    ,Navy-Blue,0.91,0.02,0.39,0.09,0.12,0.15,0.36,0.38,0.44,0.38,0.38,0.15,0.16,0.11,0.16,0.16,0.57,0.57
57110028bc74b,48,Female,32,no,objTwoColors,#00FF80,0,143,262,2,Red      ,Green    ,0.69,0.1,0.07,0.08,0.11,0.16,0.55,0.57,0.56,0.58,0.57,0.59,0.6,0.67,0.6,0.6,0.18,0.19
571103343658b,20,Female,32,no,objTwoColors,#00FF80,0,146,141,5,Red      ,DK-Green ,0.69,0.1,0.08,0.08,0.1,0.15,0.55,0.57,0.57,0.58,0.57,0.57,0.58,0.66,0.58,0.58,0.16,0.17
571128aba60e2,22,Female,5,no,objTwoColors,#00FF80,0,100,465,3,Red      ,Green    ,0.68,0.16,0.07,0.1,0.15,0.18,0.54,0.56,0.56,0.57,0.56,0.64,0.65,0.73,0.65,0.65,0.23,0.24
57112a657ac25,20,Female,24,no,objTwoColors,#00FF80,1,0,499,3,Red      ,Red      ,0.83,0.39,0.07,0.24,0.3,0.25,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4
