id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#00FF80,1,122,461,5,Red      ,Green    ,0.7,0.13,0.07,0.1,0.15,0.18,0.56,0.58,0.58,0.59,0.58,0.65,0.66,0.73,0.66,0.66,0.24,0.25
5710cc2b8a642,24,Male,16,no,objTwoColors,#00FF80,58,201,117,4,Green    ,Navy-Blue,0.88,0.09,0.28,0.04,0.08,0.08,0.51,0.52,0.52,0.52,0.52,0.31,0.31,0.19,0.31,0.31,0.44,0.45
5710cc5a7829c,27,Male,32,no,objTwoColors,#00FF80,148,0,189,4,NA       ,Red      ,0.75,0.1,0.39,0.08,0.09,0.15,0.36,0.37,0.27,0.35,0.37,0.47,0.48,0.45,0.48,0.48,0.8,0.8
5710ceb320fdf,23,Male,15,no,objTwoColors,#00FF80,0,142,98,4,Red      ,Green    ,0.69,0.1,0.07,0.08,0.11,0.16,0.55,0.57,0.56,0.58,0.57,0.59,0.6,0.68,0.6,0.6,0.18,0.19
5710cf445718e,25,Male,32,no,objTwoColors,#00FF80,215,49,250,3,Blue     ,Green    ,0.11,0.09,0.26,0.02,0.03,0.04,0.53,0.53,0.44,0.52,0.53,0.71,0.72,0.74,0.72,0.72,0.74,0.75
5710d140b7c5a,26,Male,32,no,objTwoColors,#00FF80,97,0,171,5,Green    ,Red      ,0.82,0.17,0.39,0.1,0.15,0.18,0.28,0.29,0.31,0.27,0.29,0.39,0.4,0.49,0.4,0.4,0.8,0.8
5710d28fec2d1,30,Male,32,no,objTwoColors,#00FF80,0,129,792,1,Red      ,Green    ,0.7,0.12,0.07,0.09,0.15,0.18,0.56,0.58,0.57,0.59,0.58,0.64,0.65,0.73,0.65,0.65,0.23,0.24
5710d9dcc23f0,21,Male,18,no,objTwoColors,#00FF80,106,0,101,3,Green    ,Red      ,0.83,0.15,0.4,0.1,0.16,0.18,0.29,0.29,0.32,0.27,0.29,0.4,0.4,0.5,0.4,0.4,0.81,0.82
5710dc0f49c60,22,Male,11,no,objTwoColors,#00FF80,0,141,1177,5,Red      ,Green    ,0.69,0.11,0.07,0.09,0.12,0.16,0.55,0.57,0.57,0.58,0.57,0.6,0.61,0.68,0.61,0.61,0.19,0.2
5710ea84d4c6f,25,Male,5,no,objTwoColors,#00FF80,123,171,219,2,Green    ,Green    ,0.77,0.03,0.41,0.08,0.15,0.21,0.24,0.25,0.31,0.26,0.25,0.04,0.04,0.19,0.04,0.04,0.45,0.46
5711106ab212a,33,Male,32,no,objTwoColors,#00FF80,59,219,355,3,Green    ,Blue     ,0.98,0.06,0.28,0.03,0.04,0.05,0.6,0.62,0.61,0.62,0.62,0.4,0.41,0.29,0.41,0.41,0.55,0.55
5711148c11035,35,Male,22,no,objTwoColors,#00FF80,62,166,154,3,Green    ,Green    ,0.71,0.1,0.3,0.07,0.14,0.17,0.32,0.34,0.34,0.34,0.34,0.16,0.17,0.27,0.17,0.17,0.33,0.33
5711149df2d2a,20,Male,7,no,objTwoColors,#00FF80,115,192,409,5,Green    ,Sky-Blue ,0.87,0.02,0.4,0.09,0.13,0.16,0.34,0.35,0.42,0.35,0.35,0.13,0.14,0.09,0.13,0.14,0.54,0.56
57111f6c42412,22,Male,34,no,objTwoColors,#00FF80,146,0,1281,5,DK-Green ,Red      ,0.76,0.1,0.39,0.08,0.1,0.15,0.35,0.36,0.27,0.34,0.36,0.46,0.47,0.45,0.47,0.47,0.8,0.81
