id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5710cc2b8a642,objTwoColors,#00FF80,58,201,117,4,Green    ,Navy-Blue,0.88,0.09,0.28,0.04,0.08,0.08,0.51,0.52,0.52,0.52,0.52,0.31,0.31,0.19,0.31,0.31,0.44,0.45
5710ce6c1308c,objTwoColors,#00FF80,181,57,143,4,Blue     ,Green    ,0.28,0.11,0.32,0.06,0.12,0.13,0.29,0.3,0.23,0.3,0.3,0.5,0.51,0.53,0.51,0.51,0.64,0.64
5710cf445718e,objTwoColors,#00FF80,215,49,250,3,Blue     ,Green    ,0.11,0.09,0.26,0.02,0.03,0.04,0.53,0.53,0.44,0.52,0.53,0.71,0.72,0.74,0.72,0.72,0.74,0.75
5710d71ff24c3,objTwoColors,#00FF80,68,180,290,3,Yellow   ,Blue     ,0.78,0.1,0.31,0.06,0.13,0.14,0.36,0.37,0.38,0.38,0.37,0.15,0.15,0.17,0.15,0.15,0.36,0.37
5710e540a9514,objTwoColors,#00FF80,179,53,221,4,Blue     ,Green    ,0.31,0.11,0.32,0.07,0.12,0.12,0.3,0.3,0.21,0.29,0.3,0.5,0.5,0.52,0.51,0.5,0.64,0.64
5710e60f69205,objTwoColors,#00FF80,52,187,440,4,Green    ,Cyan     ,0.81,0.11,0.27,0.06,0.1,0.11,0.46,0.48,0.46,0.48,0.48,0.24,0.26,0.18,0.25,0.26,0.33,0.34
5710ea84d4c6f,objTwoColors,#00FF80,123,171,219,2,Green    ,Green    ,0.77,0.03,0.41,0.08,0.15,0.21,0.24,0.25,0.31,0.26,0.25,0.04,0.04,0.19,0.04,0.04,0.45,0.46
5711106ab212a,objTwoColors,#00FF80,59,219,355,3,Green    ,Blue     ,0.98,0.06,0.28,0.03,0.04,0.05,0.6,0.62,0.61,0.62,0.62,0.4,0.41,0.29,0.41,0.41,0.55,0.55
5711148c11035,objTwoColors,#00FF80,62,166,154,3,Green    ,Green    ,0.71,0.1,0.3,0.07,0.14,0.17,0.32,0.34,0.34,0.34,0.34,0.16,0.17,0.27,0.17,0.17,0.33,0.33
5711149df2d2a,objTwoColors,#00FF80,115,192,409,5,Green    ,Sky-Blue ,0.87,0.02,0.4,0.09,0.13,0.16,0.34,0.35,0.42,0.35,0.35,0.13,0.14,0.09,0.13,0.14,0.54,0.56
57112b9e10661,objTwoColors,#00FF80,247,55,205,2,Blue     ,Green    ,0.02,0.32,0.37,0.02,0.07,0.05,0.57,0.58,0.5,0.57,0.58,0.77,0.78,0.8,0.78,0.78,0.78,0.78
57112ce735a14,objTwoColors,#00FF80,183,63,299,5,Blue     ,Green    ,0.27,0.1,0.31,0.05,0.12,0.13,0.3,0.32,0.27,0.33,0.32,0.51,0.51,0.53,0.52,0.51,0.64,0.64
57112d8509632,objTwoColors,#00FF80,57,190,95,4,Green    ,Sky-Blue ,0.82,0.1,0.28,0.06,0.1,0.11,0.45,0.47,0.46,0.47,0.47,0.24,0.25,0.14,0.25,0.25,0.37,0.38
57112da850667,objTwoColors,#00FF80,68,126,56,4,Yellow   ,Green    ,0.67,0.09,0.32,0.11,0.21,0.25,0.25,0.26,0.28,0.27,0.26,0.33,0.33,0.44,0.33,0.33,0.54,0.55
57112ebc85ba1,objTwoColors,#00FF80,179,58,421,5,Blue     ,Green    ,0.29,0.11,0.32,0.06,0.12,0.13,0.28,0.29,0.23,0.29,0.29,0.49,0.5,0.51,0.5,0.5,0.63,0.64
571130c5cd6e9,objTwoColors,#00FF80,46,174,69,4,Green    ,Blue     ,0.75,0.1,0.25,0.06,0.11,0.12,0.43,0.45,0.43,0.45,0.45,0.21,0.22,0.28,0.22,0.22,0.24,0.24
571130d934bda,objTwoColors,#00FF80,153,58,263,5,Teal     ,Green    ,0.45,0.1,0.38,0.09,0.16,0.19,0.12,0.13,0.08,0.13,0.13,0.33,0.34,0.36,0.34,0.34,0.62,0.63
5711348e42f02,objTwoColors,#00FF80,232,54,95,4,Blue     ,Green    ,0.02,0.05,0.35,0.02,0.05,0.04,0.56,0.58,0.49,0.57,0.58,0.77,0.78,0.8,0.79,0.78,0.78,0.78
571137a34931a,objTwoColors,#00FF80,235,57,315,2,Blue     ,Green    ,0.02,0.03,0.36,0.03,0.06,0.04,0.56,0.57,0.5,0.57,0.57,0.77,0.78,0.8,0.78,0.78,0.78,0.78
57113ce1334e0,objTwoColors,#00FF80,224,162,195,4,Blue     ,Green    ,0.2,0.25,0.26,0.12,0.16,0.18,0.7,0.72,0.67,0.73,0.72,0.58,0.59,0.63,0.59,0.59,0.6,0.61
57113d4d93c81,objTwoColors,#00FF80,193,59,406,4,Sky-Blue ,Green    ,0.2,0.1,0.28,0.05,0.1,0.1,0.35,0.37,0.31,0.38,0.37,0.57,0.58,0.59,0.58,0.58,0.66,0.67
57113de4aed1a,objTwoColors,#00FF80,142,139,263,2,Green    ,Green    ,0.64,0.06,0.4,0.1,0.19,0.26,0.19,0.21,0.21,0.22,0.21,0.25,0.25,0.33,0.26,0.25,0.62,0.61
57113e6176346,objTwoColors,#00FF80,309,149,929,1,Pink     ,Teal     ,0.39,0.44,0.18,0.03,0.12,0.05,0.56,0.58,0.53,0.58,0.58,0.55,0.56,0.6,0.56,0.56,0.46,0.46
571153ca15566,objTwoColors,#00FF80,188,55,326,3,Cyan     ,Green    ,0.25,0.1,0.3,0.06,0.11,0.11,0.34,0.35,0.27,0.34,0.35,0.54,0.55,0.57,0.55,0.55,0.65,0.66
5711641931da5,objTwoColors,#00FF80,56,186,157,3,Green    ,Cyan     ,0.8,0.11,0.28,0.06,0.11,0.11,0.44,0.45,0.45,0.45,0.45,0.23,0.23,0.17,0.23,0.23,0.35,0.35
571165992a5c1,objTwoColors,#00FF80,173,58,92,2,Green    ,Green    ,0.32,0.11,0.34,0.06,0.12,0.15,0.24,0.26,0.2,0.26,0.26,0.45,0.47,0.48,0.47,0.47,0.63,0.63
57116b9b879bf,objTwoColors,#00FF80,107,139,369,3,Green    ,Green    ,0.69,0.1,0.4,0.11,0.21,0.28,0.15,0.16,0.25,0.17,0.16,0.21,0.2,0.37,0.21,0.2,0.63,0.62
5711703bd85fc,objTwoColors,#00FF80,52,229,141,4,Green    ,Blue     ,1.02,0.06,0.27,0.02,0.04,0.04,0.67,0.68,0.66,0.68,0.68,0.47,0.48,0.35,0.48,0.48,0.56,0.56
5711800f2c5f3,objTwoColors,#00FF80,212,52,116,3,Blue     ,Green    ,0.11,0.09,0.26,0.02,0.05,0.05,0.5,0.51,0.41,0.5,0.51,0.7,0.7,0.72,0.71,0.7,0.73,0.73
