id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF007F,9,0,172,5,Red      ,Red      ,0.83,0.16,0.08,0.23,0.29,0.25,0.35,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
5711348e42f02,19,Female,32,no,objTwoColors,#FF007F,355,231,134,4,Red      ,Blue     ,1.05,0.24,0.15,0.09,0.19,0.12,0.24,0.25,0.42,0.26,0.25,0.83,0.83,0.66,0.83
57113d4d93c81,18,Female,32,no,objTwoColors,#FF007F,348,0,73,4,Red      ,Red      ,0.8,0.15,0.06,0.23,0.29,0.24,0.36,0.35,0.16,0.35,0.35,0.57,0.56,0.36,0.54
5711703bd85fc,18,Female,32,no,objTwoColors,#FF007F,9,55,129,5,Red      ,Green    ,0.57,0.17,0.08,0.14,0.19,0.17,0.35,0.34,0.26,0.34,0.34,0.34,0.33,0.16,0.32
5712a254e00f7,18,Female,18,no,objTwoColors,#FF007F,0,344,368,3,Red      ,Red      ,0.81,0.14,0.08,0.22,0.28,0.23,0.27,0.27,0.1,0.27,0.27,0.59,0.57,0.38,0.56
5734d89183dab,19,Female,29,no,objTwoColors,#FF007F,357,195,105,4,Red      ,Sky-Blue ,0.89,0.32,0.13,0.03,0.07,0.02,0.17,0.19,0.32,0.19,0.19,0.66,0.66,0.49,0.66
5736048bb110b,19,Male,32,no,objTwoColors,#FF007F,2,197,89,5,Red      ,LI-Blue  ,0.9,0.3,0.14,0.03,0.07,0.02,0.17,0.18,0.33,0.18,0.18,0.68,0.67,0.5,0.67
573634984323e,19,Male,32,no,objTwoColors,#FF007F,335,329,185,4,Red      ,Magenta  ,0.69,0.02,0.06,0.17,0.2,0.14,0.28,0.28,0.14,0.28,0.28,0.47,0.47,0.27,0.46
57366c199283c,19,Male,32,no,objTwoColors,#FF007F,5,169,123,3,Red      ,Green    ,0.76,0.35,0.11,0.05,0.02,0.09,0.25,0.25,0.31,0.25,0.25,0.53,0.53,0.37,0.54
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF007F,19,0,356,1,Red      ,Red      ,0.81,0.15,0.11,0.21,0.28,0.23,0.39,0.37,0.19,0.37,0.37,0.59,0.58,0.38,0.56
5744dce84ffa5,16,Male,13,no,objTwoColors,#FF007F,353,0,161,2,Red      ,Red      ,0.82,0.15,0.06,0.24,0.29,0.25,0.34,0.33,0.15,0.33,0.33,0.59,0.58,0.38,0.56
574511e99b6d9,19,Female,32,no,objTwoColors,#FF007F,9,231,65,4,Red      ,Blue     ,1.06,0.2,0.17,0.08,0.17,0.11,0.25,0.26,0.42,0.26,0.26,0.83,0.83,0.66,0.83
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF007F,189,352,253,3,Cyan     ,Red      ,0.49,0.34,0.29,0.03,0.07,0.02,0.74,0.74,0.55,0.74,0.74,0.45,0.45,0.55,0.44
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF007F,0,0,0,4,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
