id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
5710d28fec2d1,30,Male,32,no,objTwoColors,#FF007F,0,233,59,1,Red      ,Blue     ,1.06,0.22,0.17,0.09,0.19,0.12,0.23,0.25,0.42,0.25,0.25,0.84,0.83,0.66,0.83
5711106ab212a,33,Male,32,no,objTwoColors,#FF007F,4,159,375,2,Red      ,Green    ,0.72,0.33,0.09,0.07,0.06,0.12,0.29,0.3,0.33,0.3,0.3,0.49,0.49,0.34,0.5
5711148c11035,35,Male,22,no,objTwoColors,#FF007F,308,61,495,2,Pink     ,Green    ,0.24,0.16,0.22,0.04,0.11,0.05,0.66,0.66,0.58,0.66,0.66,0.01,0.02,0.22,0.03
571153ca15566,32,Male,32,no,objTwoColors,#FF007F,308,196,1095,1,Pink     ,LI-Blue  ,0.58,0.39,0.09,0.1,0.23,0.16,0.49,0.51,0.63,0.51,0.51,0.35,0.37,0.54,0.37
571252e6d2e70,31,Female,32,no,objTwoColors,#FF007F,1,0,61,5,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
57153eb9b4bed,35,Female,31,no,objTwoColors,#FF007F,0,1,202,5,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.58,0.39,0.57
57190633f233f,30,Male,32,no,objTwoColors,#FF007F,4,208,355,2,Red      ,NA       ,0.97,0.27,0.15,0.06,0.11,0.04,0.18,0.2,0.36,0.2,0.2,0.74,0.73,0.56,0.73
5727635041e99,38,Male,5,no,objTwoColors,#FF007F,350,0,240,5,Red      ,Red      ,0.81,0.15,0.06,0.23,0.29,0.25,0.35,0.34,0.16,0.34,0.34,0.58,0.57,0.37,0.55
5727d86840dc8,37,Male,7,no,objTwoColors,#FF007F,2,238,239,3,Red      ,Blue     ,1.07,0.2,0.17,0.09,0.19,0.12,0.23,0.25,0.43,0.25,0.25,0.85,0.84,0.67,0.84
573a059da0efd,31,Female,32,yes,objTwoColors,#FF007A,0,0,0,1,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
573c783748e8b,37,Female,32,yes,objTwoColors,#FF007A,351,0,539,4,Red      ,Red      ,0.81,0.15,0.06,0.23,0.29,0.25,0.35,0.34,0.15,0.34,0.34,0.59,0.58,0.37,0.56
5740a8b59d448,31,Female,32,yes,objTwoColors,#FF007A,4,0,12,5,Red      ,Red      ,0.83,0.16,0.07,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
5740b686127bb,32,Male,32,yes,objTwoColors,#FF007A,340,293,245,3,Red      ,DK-Purple,0.86,0.11,0.09,0.13,0.17,0.11,0.15,0.17,0.33,0.17,0.17,0.63,0.63,0.45,0.62
5745b5cbe3caa,34,Female,32,no,objTwoColors,#FF007F,330,341,294,3,Magenta  ,Red      ,0.65,0.04,0.08,0.18,0.21,0.16,0.41,0.41,0.22,0.41,0.41,0.43,0.42,0.25,0.41
574859b8f3379,30,Male,32,yes,objTwoColors,#FF007A,359,190,600,3,Red      ,Sky-Blue ,0.86,0.32,0.13,0.03,0.05,0.03,0.18,0.19,0.32,0.19,0.19,0.63,0.63,0.47,0.63
