id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
5710cd99df604,23,Female,32,no,objTwoColors,#FF007F,10,322,474,3,Red      ,Magenta  ,0.82,0.12,0.13,0.19,0.23,0.17,0.12,0.11,0.09,0.11,0.11,0.6,0.6,0.41,0.59
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF007F,355,300,66,4,Red      ,Pink     ,0.9,0.02,0.14,0.16,0.19,0.13,0.05,0.06,0.23,0.07,0.06,0.68,0.68,0.5,0.68
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF007F,3,275,209,3,Red      ,Blue     ,1,0.09,0.16,0.11,0.17,0.12,0.16,0.18,0.35,0.18,0.18,0.77,0.77,0.6,0.77
5710e540a9514,52,Female,32,no,objTwoColors,#FF007F,9,0,9,4,Red      ,Red      ,0.83,0.16,0.08,0.23,0.29,0.25,0.35,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
5710e60f69205,24,Female,31,no,objTwoColors,#FF007F,342,0,713,2,Red      ,Red      ,0.76,0.14,0.07,0.22,0.28,0.23,0.4,0.38,0.2,0.39,0.38,0.54,0.53,0.33,0.51
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF007F,226,355,333,3,Blue     ,Red      ,0.3,0.25,0.32,0.09,0.18,0.1,0.86,0.86,0.67,0.86,0.86,0.5,0.5,0.65,0.49
57110028bc74b,48,Female,32,no,objTwoColors,#FF007F,0,323,89,5,Red      ,Magenta  ,0.83,0.09,0.12,0.19,0.23,0.18,0.11,0.11,0.08,0.11,0.11,0.61,0.59,0.41,0.59
571103343658b,20,Female,32,no,objTwoColors,#FF007F,327,330,185,4,Magenta  ,Magenta  ,0.63,0.01,0.07,0.16,0.18,0.12,0.35,0.35,0.19,0.35,0.35,0.4,0.39,0.28,0.39
571128aba60e2,22,Female,5,no,objTwoColors,#FF007F,344,0,130,3,Red      ,Red      ,0.78,0.14,0.07,0.22,0.28,0.23,0.38,0.37,0.19,0.37,0.37,0.55,0.54,0.34,0.52
57112a657ac25,20,Female,24,no,objTwoColors,#FF007F,329,0,63,3,Magenta  ,Red      ,0.66,0.11,0.12,0.2,0.25,0.2,0.5,0.48,0.3,0.49,0.48,0.44,0.43,0.28,0.41
57112b9e10661,64,Female,34,no,objTwoColors,#FF007F,17,302,235,2,Red      ,Pink     ,0.89,0.08,0.16,0.14,0.19,0.12,0.08,0.09,0.25,0.09,0.09,0.67,0.66,0.48,0.66
57112d8509632,45,Female,32,no,objTwoColors,#FF007F,350,229,180,2,Red      ,Blue     ,1.04,0.26,0.14,0.09,0.2,0.12,0.24,0.26,0.43,0.26,0.26,0.81,0.8,0.63,0.8
57112da850667,22,Female,47,no,objTwoColors,#FF007F,284,352,256,3,Purple   ,Red      ,0.38,0.1,0.3,0.13,0.17,0.12,0.75,0.75,0.56,0.75,0.75,0.39,0.4,0.54,0.39
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF007F,9,0,172,5,Red      ,Red      ,0.83,0.16,0.08,0.23,0.29,0.25,0.35,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
5711300507308,21,Female,13,no,objTwoColors,#FF007F,34,52,348,5,Yellow   ,Green    ,0.54,0.2,0.19,0.14,0.17,0.17,0.47,0.47,0.38,0.47,0.47,0.33,0.32,0.17,0.31
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF007F,12,184,102,3,Red      ,Blue     ,0.82,0.38,0.13,0.03,0.02,0.05,0.22,0.22,0.32,0.22,0.22,0.6,0.6,0.44,0.6
571130d934bda,22,Female,32,no,objTwoColors,#FF007F,301,56,162,4,Pink     ,Green    ,0.2,0.16,0.26,0.05,0.12,0.03,0.69,0.69,0.6,0.69,0.69,0.04,0.05,0.24,0.05
5711348e42f02,19,Female,32,no,objTwoColors,#FF007F,355,231,134,4,Red      ,Blue     ,1.05,0.24,0.15,0.09,0.19,0.12,0.24,0.25,0.42,0.26,0.25,0.83,0.83,0.66,0.83
571137a34931a,27,Female,25,no,objTwoColors,#FF007F,7,0,45,2,Red      ,Red      ,0.83,0.16,0.07,0.23,0.29,0.25,0.34,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
57113b9642c48,21,Female,9,no,objTwoColors,#FF007F,266,0,510,5,Blue     ,Red      ,0.32,0.13,0.35,0.11,0.17,0.12,0.85,0.83,0.65,0.83,0.83,0.47,0.48,0.62,0.46
57113d4d93c81,18,Female,32,no,objTwoColors,#FF007F,348,0,73,4,Red      ,Red      ,0.8,0.15,0.06,0.23,0.29,0.24,0.36,0.35,0.16,0.35,0.35,0.57,0.56,0.36,0.54
57113e6176346,23,Female,30,no,objTwoColors,#FF007F,0,308,288,2,Red      ,Pink     ,0.88,0.03,0.14,0.17,0.2,0.15,0,0.02,0.19,0.02,0.02,0.66,0.65,0.47,0.65
571154184c9bd,47,Female,32,no,objTwoColors,#FF007F,13,0,72,1,Red      ,Red      ,0.82,0.16,0.09,0.23,0.29,0.24,0.36,0.34,0.16,0.35,0.34,0.6,0.58,0.38,0.56
5711613cca97d,23,Female,2,no,objTwoColors,#FF007F,223,54,370,5,Blue     ,Green    ,0.05,0.37,0.3,0.02,0.03,0.04,0.87,0.86,0.77,0.86,0.86,0.23,0.24,0.4,0.23
5711641931da5,20,Female,32,no,objTwoColors,#FF007F,5,0,295,2,Red      ,Red      ,0.83,0.16,0.07,0.23,0.29,0.25,0.34,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
571165992a5c1,67,Female,32,no,objTwoColors,#FF007F,288,353,0,3,Navy-Blue,Red      ,0.4,0.08,0.29,0.13,0.17,0.12,0.73,0.73,0.54,0.73,0.73,0.37,0.38,0.52,0.37
5711703bd85fc,18,Female,32,no,objTwoColors,#FF007F,9,55,129,5,Red      ,Green    ,0.57,0.17,0.08,0.14,0.19,0.17,0.35,0.34,0.26,0.34,0.34,0.34,0.33,0.16,0.32
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF007F,5,201,198,2,Red      ,Navy-Blue,0.92,0.29,0.14,0.04,0.08,0.02,0.18,0.19,0.34,0.19,0.19,0.69,0.69,0.53,0.69
571183866d73f,48,Female,32,no,objTwoColors,#FF007F,357,0,223,5,Red      ,Red      ,0.83,0.16,0.06,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
5712197fbccd5,24,Female,32,no,objTwoColors,#FF007F,0,301,294,2,Red      ,Pink     ,0.91,0,0.15,0.16,0.19,0.13,0.03,0.05,0.23,0.05,0.05,0.69,0.68,0.5,0.67
57123e4050550,20,Female,40,no,objTwoColors,#FF007F,344,0,169,3,Red      ,Red      ,0.78,0.14,0.07,0.22,0.28,0.23,0.38,0.37,0.19,0.37,0.37,0.55,0.54,0.34,0.52
571252e6d2e70,31,Female,32,no,objTwoColors,#FF007F,1,0,61,5,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
57127bcfaafb0,22,Female,32,no,objTwoColors,#FF007F,5,59,246,3,Red      ,Green    ,0.55,0.17,0.07,0.14,0.19,0.17,0.35,0.34,0.27,0.34,0.34,0.32,0.32,0.17,0.33
571289ef76e18,55,Female,31,no,objTwoColors,#FF007F,211,258,266,4,Blue     ,Blue     ,0.58,0.4,0.22,0.19,0.31,0.3,0.71,0.73,0.89,0.73,0.73,0.68,0.7,0.87,0.7
571290e28820b,43,Female,10,no,objTwoColors,#FF007F,7,0,132,5,Red      ,Red      ,0.83,0.16,0.07,0.23,0.29,0.25,0.34,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
5712a254e00f7,18,Female,18,no,objTwoColors,#FF007F,0,344,368,3,Red      ,Red      ,0.81,0.14,0.08,0.22,0.28,0.23,0.27,0.27,0.1,0.27,0.27,0.59,0.57,0.38,0.56
5712bd55a8a13,27,Female,32,no,objTwoColors,#FF007F,330,0,309,5,Magenta  ,Red      ,0.67,0.11,0.11,0.2,0.25,0.2,0.49,0.48,0.29,0.48,0.48,0.45,0.44,0.27,0.42
5712c2b021f58,22,Female,32,no,objTwoColors,#FF007F,176,12,57,5,Blue     ,Red      ,0.54,0.37,0.33,0.04,0.03,0.07,0.73,0.73,0.54,0.73,0.73,0.47,0.47,0.52,0.46
5712c57f97f25,25,Female,31,no,objTwoColors,#FF007F,234,281,499,4,Blue     ,Purple   ,0.43,0.38,0.44,0.18,0.32,0.3,0.69,0.7,0.86,0.7,0.7,0.66,0.68,0.85,0.68
5713923c1bbc7,24,Female,27,no,objTwoColors,#FF007F,301,278,373,2,Pink     ,Blue     ,0.63,0.26,0.09,0.12,0.22,0.21,0.5,0.52,0.68,0.52,0.52,0.47,0.49,0.67,0.49
5713a02a13044,24,Female,32,yes,objTwoColors,#FF007F,343,0,150,3,Red      ,Red      ,0.77,0.14,0.07,0.22,0.28,0.23,0.39,0.38,0.19,0.38,0.38,0.55,0.53,0.33,0.51
5713acb331c3c,24,Female,7,no,objTwoColors,#FF007F,93,0,8,1,Green    ,Red      ,0.82,0.22,0.38,0.1,0.16,0.18,0.73,0.71,0.53,0.71,0.71,0.69,0.68,0.62,0.66
5713ce8c57c5e,40,Female,2,no,objTwoColors,#FF007F,291,342,324,5,Navy-Blue,Red      ,0.4,0.11,0.25,0.13,0.17,0.11,0.67,0.66,0.48,0.67,0.66,0.34,0.35,0.5,0.34
5713dd915ca28,24,Female,20,no,objTwoColors,#FF007F,2,12,80,1,Red      ,Red      ,0.8,0.16,0.07,0.23,0.29,0.24,0.32,0.32,0.15,0.32,0.32,0.58,0.56,0.36,0.55
5713fc80c942a,23,Female,32,no,objTwoColors,#FF007F,3,179,113,4,Red      ,Blue     ,0.81,0.36,0.12,0.05,0.02,0.06,0.21,0.22,0.31,0.22,0.22,0.58,0.58,0.41,0.58
57149713464b1,51,Female,32,no,objTwoColors,#FF007F,0,0,0,1,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
57153d9a56ce0,62,Female,9,no,objTwoColors,#FF007F,0,320,157,5,Red      ,Pink     ,0.84,0.08,0.12,0.19,0.23,0.18,0.09,0.09,0.11,0.09,0.09,0.62,0.6,0.42,0.6
57153eb9b4bed,35,Female,31,no,objTwoColors,#FF007F,0,1,202,5,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.58,0.39,0.57
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF007F,223,10,115,4,Blue     ,Red      ,0.29,0.22,0.3,0.08,0.14,0.09,0.86,0.85,0.67,0.85,0.85,0.47,0.48,0.62,0.47
5734d89183dab,19,Female,29,no,objTwoColors,#FF007F,357,195,105,4,Red      ,Sky-Blue ,0.89,0.32,0.13,0.03,0.07,0.02,0.17,0.19,0.32,0.19,0.19,0.66,0.66,0.49,0.66
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF007A,111,33,10,2,Green    ,Orange   ,0.69,0.3,0.4,0.1,0.19,0.2,0.73,0.73,0.58,0.73,0.73,0.57,0.55,0.51,0.54
573a059da0efd,31,Female,32,yes,objTwoColors,#FF007A,0,0,0,1,Red      ,Red      ,0.83,0.16,0.07,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
573c783748e8b,37,Female,32,yes,objTwoColors,#FF007A,351,0,539,4,Red      ,Red      ,0.81,0.15,0.06,0.23,0.29,0.25,0.35,0.34,0.15,0.34,0.34,0.59,0.58,0.37,0.56
573ec4275ba17,24,Female,32,yes,objTwoColors,#FF007A,0,3,1,3,Red      ,Red      ,0.83,0.16,0.07,0.24,0.29,0.25,0.32,0.32,0.15,0.32,0.32,0.61,0.58,0.39,0.57
5740a8b59d448,31,Female,32,yes,objTwoColors,#FF007A,4,0,12,5,Red      ,Red      ,0.83,0.16,0.07,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
5740bda9be3dc,83,Female,32,yes,objTwoColors,#FF007A,342,306,363,5,Red      ,Pink     ,0.82,0.05,0.09,0.15,0.17,0.12,0.08,0.09,0.25,0.1,0.09,0.6,0.6,0.42,0.59
5740e3f36a945,49,Female,32,yes,objTwoColors,#FF007A,330,0,512,3,Magenta  ,Red      ,0.67,0.11,0.11,0.2,0.25,0.2,0.49,0.48,0.29,0.48,0.48,0.45,0.44,0.27,0.42
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF007F,19,0,356,1,Red      ,Red      ,0.81,0.15,0.11,0.21,0.28,0.23,0.39,0.37,0.19,0.37,0.37,0.59,0.58,0.38,0.56
574511e99b6d9,19,Female,32,no,objTwoColors,#FF007F,9,231,65,4,Red      ,Blue     ,1.06,0.2,0.17,0.08,0.17,0.11,0.25,0.26,0.42,0.26,0.26,0.83,0.83,0.66,0.83
57451c3b38192,23,Female,32,no,objTwoColors,#FF007F,0,333,101,5,Red      ,Magenta  ,0.81,0.12,0.1,0.2,0.26,0.21,0.19,0.19,0.02,0.19,0.19,0.59,0.57,0.38,0.56
5745500f6e643,24,Female,32,no,objTwoColors,#FF007F,342,0,206,4,Red      ,Red      ,0.76,0.14,0.07,0.22,0.28,0.23,0.4,0.38,0.2,0.39,0.38,0.54,0.53,0.33,0.51
