id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
5710ee9e58646,objTwoColors,#FF007F,226,355,333,3,Blue     ,Red      ,0.3,0.25,0.32,0.09,0.18,0.1,0.86,0.86,0.67,0.86,0.86,0.5,0.5,0.65,0.49
571151812791a,objTwoColors,#FF007F,6,209,88,3,Red      ,NA       ,0.97,0.27,0.15,0.06,0.1,0.04,0.19,0.2,0.36,0.21,0.2,0.74,0.74,0.57,0.74
572767049ccfa,objTwoColors,#FF007F,5,116,118,4,Red      ,Green    ,0.7,0.27,0.07,0.1,0.16,0.18,0.44,0.44,0.41,0.44,0.44,0.47,0.47,0.32,0.48
572c85675a5ef,objTwoColors,#FF007F,221,8,77,5,Blue     ,Red      ,0.3,0.23,0.29,0.08,0.14,0.08,0.85,0.85,0.66,0.85,0.85,0.48,0.48,0.63,0.47
5739ff85289b2,objTwoColors,#FF007F,111,33,10,2,Green    ,Orange   ,0.69,0.3,0.4,0.1,0.19,0.2,0.73,0.73,0.58,0.73,0.73,0.57,0.55,0.51,0.54
573a0b8280839,objTwoColors,#FF007F,47,37,45,3,Green    ,Yellow   ,0.62,0.2,0.25,0.14,0.17,0.17,0.52,0.52,0.38,0.52,0.52,0.43,0.42,0.3,0.41
573e47c26cb8e,objTwoColors,#FF007F,3,40,138,3,Red      ,Yellow   ,0.64,0.15,0.07,0.17,0.23,0.19,0.31,0.31,0.2,0.31,0.31,0.41,0.4,0.2,0.39
573edae85268b,objTwoColors,#FF007F,358,300,383,3,Red      ,Pink     ,0.91,0.01,0.14,0.16,0.19,0.13,0.04,0.06,0.23,0.06,0.06,0.68,0.68,0.5,0.68
5740b686127bb,objTwoColors,#FF007F,340,293,245,3,Red      ,DK-Purple,0.86,0.11,0.09,0.13,0.17,0.11,0.15,0.17,0.33,0.17,0.17,0.63,0.63,0.45,0.62
5740bda9be3dc,objTwoColors,#FF007F,342,306,363,5,Red      ,Pink     ,0.82,0.05,0.09,0.15,0.17,0.12,0.08,0.09,0.25,0.1,0.09,0.6,0.6,0.42,0.59
574859b8f3379,objTwoColors,#FF007F,359,190,600,3,Red      ,Sky-Blue ,0.86,0.32,0.13,0.03,0.05,0.03,0.18,0.19,0.32,0.19,0.19,0.63,0.63,0.47,0.63
5756ae6897296,objTwoColors,#FF007F,231,270,194,4,Blue     ,Blue     ,0.48,0.39,0.43,0.19,0.33,0.32,0.73,0.75,0.9,0.75,0.75,0.7,0.72,0.89,0.72
5756b2d9bd658,objTwoColors,#FF007F,46,309,403,4,Green    ,Pink     ,0.84,0.16,0.25,0.07,0.14,0.07,0.23,0.22,0.38,0.22,0.22,0.64,0.65,0.54,0.64
57581518c2c07,objTwoColors,#FF007F,75,326,258,4,Yellow   ,Magenta  ,0.79,0.15,0.34,0.04,0.11,0.1,0.47,0.46,0.38,0.46,0.46,0.64,0.63,0.57,0.63
57582b17cd76a,objTwoColors,#FF007F,202,12,229,3,Navy-Blue,Red      ,0.39,0.27,0.26,0.04,0.06,0.02,0.79,0.79,0.6,0.79,0.79,0.42,0.43,0.55,0.42
