id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
57112ebc85ba1,18,Female,32,no,objTwoColors,#00FF00,175,55,67,5,Blue     ,Green    ,0.04,0.02,0.07,0.04,0.03,0.02,0.27,0.28,0.2,0.27,0.28,0.47,0.48,0.5,0.48,0.48,0.63,0.64,0.32
5711348e42f02,19,Female,32,no,objTwoColors,#00FF00,238,54,51,4,Blue     ,Green    ,0.34,0.38,0.31,0.06,0.21,0.18,0.57,0.58,0.49,0.57,0.58,0.78,0.78,0.8,0.79,0.78,0.79,0.78,0.03
57113d4d93c81,18,Female,32,no,objTwoColors,#00FF00,193,59,221,5,Sky-Blue ,Green    ,0.12,0.02,0.09,0.02,0.05,0.06,0.35,0.37,0.31,0.38,0.37,0.57,0.58,0.59,0.58,0.58,0.66,0.67,0.2
5711405eb4abb,18,Male,5,no,objTwoColors,#00FF00,119,128,328,5,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.18,0.26,0.19,0.18,0.25,0.25,0.42,0.25,0.25,0.66,0.67,0.7
5711703bd85fc,18,Female,32,no,objTwoColors,#00FF00,62,248,139,3,Green    ,Blue     ,0.74,0.38,0.15,0.07,0.19,0.17,0.64,0.65,0.64,0.65,0.65,0.44,0.45,0.33,0.45,0.45,0.61,0.61,1.03
5712a254e00f7,18,Female,18,no,objTwoColors,#00FF00,0,84,370,3,Red      ,DK-Green ,0.48,0.22,0.28,0.14,0.17,0.12,0.5,0.52,0.51,0.53,0.52,0.63,0.64,0.71,0.64,0.64,0.22,0.23,0.64
5727f6d19e901,19,Female,5,no,objTwoColors,#00FF00,133,0,54,5,Green    ,Red      ,0.5,0.11,0.19,0.12,0.08,0.09,0.3,0.31,0.31,0.29,0.31,0.41,0.42,0.49,0.42,0.42,0.82,0.82,0.81
5734d89183dab,19,Female,29,no,objTwoColors,#00FF00,225,55,108,4,Blue     ,Green    ,0.32,0.04,0.25,0.06,0.15,0.16,0.55,0.56,0.48,0.55,0.56,0.75,0.76,0.78,0.76,0.76,0.76,0.77,0.04
5736048bb110b,19,Male,32,no,objTwoColors,#00FF00,106,95,149,5,Green    ,Green    ,0.35,0,0.21,0.05,0.08,0.13,0.13,0.14,0.22,0.15,0.14,0.24,0.23,0.4,0.24,0.23,0.65,0.65,0.67
573634984323e,19,Male,32,no,objTwoColors,#00FF00,218,55,426,4,Blue     ,Green    ,0.29,0.03,0.21,0.05,0.13,0.14,0.52,0.53,0.45,0.52,0.53,0.72,0.73,0.75,0.73,0.73,0.74,0.75,0.07
57366c199283c,19,Male,32,no,objTwoColors,#00FF00,56,237,64,4,Green    ,Blue     ,0.74,0.38,0.14,0.06,0.2,0.18,0.67,0.68,0.66,0.68,0.68,0.47,0.47,0.35,0.47,0.47,0.59,0.59,1.03
57427cf6bad0c,19,Female,32,no,objTwoColors,#00FF00,173,56,194,3,Green    ,Green    ,0.02,0.02,0.07,0.04,0.03,0.02,0.24,0.26,0.19,0.26,0.26,0.45,0.47,0.49,0.47,0.47,0.63,0.63,0.32
574511e99b6d9,19,Female,32,no,objTwoColors,#00FF00,59,233,265,3,Green    ,Blue     ,0.73,0.07,0.15,0.07,0.17,0.17,0.64,0.66,0.65,0.66,0.66,0.45,0.46,0.34,0.46,0.46,0.6,0.6,1.02
5745350dc1e22,19,Female,31,no,objTwoColors,#00FF00,177,52,125,5,Blue     ,Green    ,0.06,0.02,0.07,0.05,0.04,0.03,0.29,0.3,0.2,0.29,0.3,0.49,0.49,0.51,0.5,0.49,0.64,0.64,0.32
5745c1c07cc0c,18,Other,31,no,objTwoColors,#00FF00,205,46,343,4,Navy-Blue,Green    ,0.25,0.02,0.13,0.05,0.11,0.11,0.48,0.5,0.39,0.49,0.5,0.66,0.68,0.68,0.68,0.68,0.72,0.73,0.18
5745f6f039dc9,15,Male,33,no,objTwoColors,#00FF00,0,0,0,3,Red      ,Red      ,0.67,0.41,0.28,0.29,0.36,0.31,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4,0.83
