id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
5710ee9e58646,objTwoColors,#00FF00,56,200,285,4,Green    ,Navy-Blue,0.59,0.02,0.14,0.03,0.07,0.08,0.52,0.53,0.52,0.53,0.53,0.31,0.32,0.2,0.31,0.32,0.43,0.44,0.88
571151812791a,objTwoColors,#00FF00,58,179,88,3,Green    ,Blue     ,0.48,0.02,0.14,0.04,0.03,0.03,0.4,0.41,0.4,0.41,0.41,0.18,0.18,0.2,0.18,0.18,0.31,0.32,0.77
572767049ccfa,objTwoColors,#00FF00,56,221,126,3,Green    ,Blue     ,0.7,0.04,0.14,0.05,0.13,0.14,0.63,0.64,0.63,0.64,0.64,0.43,0.43,0.31,0.43,0.43,0.55,0.55,0.99
572c85675a5ef,objTwoColors,#00FF00,114,111,231,5,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.17,0.26,0.19,0.17,0.26,0.26,0.42,0.26,0.26,0.67,0.68,0.7
5739ff85289b2,objTwoColors,#00FF00,76,102,15,4,Yellow   ,Green    ,0.35,0.03,0.16,0.06,0.07,0.11,0.21,0.21,0.25,0.22,0.21,0.3,0.3,0.42,0.3,0.3,0.57,0.58,0.66
573a059da0efd,objTwoColors,#00FF00,209,53,115,5,NA       ,Green    ,0.25,0.02,0.15,0.05,0.1,0.11,0.48,0.48,0.39,0.47,0.48,0.68,0.68,0.7,0.69,0.68,0.72,0.72,0.13
573c70dabcfe0,objTwoColors,#00FF00,55,221,192,2,Green    ,Blue     ,0.7,0.04,0.14,0.05,0.14,0.15,0.63,0.64,0.63,0.64,0.64,0.43,0.43,0.31,0.43,0.43,0.54,0.55,0.99
573c783748e8b,objTwoColors,#00FF00,111,118,492,3,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.18,0.26,0.19,0.18,0.26,0.26,0.42,0.26,0.26,0.67,0.68,0.7
573e47c26cb8e,objTwoColors,#00FF00,58,234,78,2,Green    ,Blue     ,0.73,0.07,0.14,0.06,0.18,0.17,0.65,0.66,0.65,0.66,0.66,0.46,0.46,0.34,0.46,0.46,0.59,0.6,1.02
573e4d0eb795b,objTwoColors,#00FF00,235,59,121,4,Blue     ,Green    ,0.32,0.08,0.3,0.07,0.19,0.17,0.55,0.57,0.51,0.58,0.57,0.77,0.78,0.79,0.78,0.78,0.78,0.78,0.01
