id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#00FF00,57,184,115,4,Green    ,Blue     ,0.5,0.02,0.14,0.03,0.04,0.04,0.42,0.44,0.43,0.44,0.44,0.21,0.22,0.17,0.22,0.22,0.34,0.35,0.79
5710cc2b8a642,24,Male,16,no,objTwoColors,#00FF00,223,59,114,4,Blue     ,Green    ,0.29,0.05,0.24,0.06,0.13,0.15,0.52,0.54,0.48,0.55,0.54,0.74,0.75,0.76,0.75,0.75,0.76,0.76,0.03
5710cc5a7829c,27,Male,32,no,objTwoColors,#00FF00,117,0,70,5,Green    ,Red      ,0.52,0.14,0.21,0.12,0.09,0.1,0.3,0.3,0.33,0.28,0.3,0.41,0.41,0.51,0.41,0.41,0.82,0.83,0.83
5710cd0a515bb,25,Male,7,no,objTwoColors,#00FF00,243,63,643,5,Blue     ,Green    ,0.33,0.38,0.31,0.07,0.19,0.17,0.56,0.58,0.54,0.59,0.58,0.77,0.77,0.8,0.78,0.77,0.78,0.77,0.02
5710ceb320fdf,23,Male,15,no,objTwoColors,#00FF00,0,125,110,5,Red      ,Green    ,0.54,0.12,0.28,0.12,0.08,0.1,0.56,0.58,0.57,0.59,0.58,0.64,0.65,0.73,0.65,0.65,0.23,0.24,0.7
5710cf445718e,25,Male,32,no,objTwoColors,#00FF00,105,0,186,3,Green    ,Red      ,0.51,0.16,0.2,0.12,0.09,0.1,0.29,0.29,0.32,0.27,0.29,0.4,0.4,0.5,0.4,0.4,0.81,0.82,0.83
5710d140b7c5a,26,Male,32,no,objTwoColors,#00FF00,142,57,344,3,Green    ,Green    ,0.19,0,0.17,0.07,0.04,0.07,0.06,0.07,0.05,0.07,0.07,0.27,0.28,0.35,0.28,0.28,0.64,0.64,0.51
5710d28fec2d1,30,Male,32,no,objTwoColors,#00FF00,0,256,111,1,Red      ,Blue     ,0.9,0.41,0.21,0.17,0.32,0.27,0.92,0.93,0.9,0.93,0.93,0.72,0.73,0.59,0.73,0.73,0.31,0.32,1.06
5710d9dcc23f0,21,Male,18,no,objTwoColors,#00FF00,104,103,136,5,Green    ,Green    ,0.37,0.01,0.2,0.05,0.08,0.14,0.15,0.15,0.24,0.17,0.15,0.24,0.24,0.41,0.24,0.24,0.65,0.66,0.69
5710dc97aac05,20,Male,6,no,objTwoColors,#00FF00,0,0,725,1,Red      ,Red      ,0.67,0.41,0.28,0.29,0.36,0.31,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4,0.83
5711106ab212a,33,Male,32,no,objTwoColors,#00FF00,53,223,169,3,Green    ,Blue     ,0.72,0.04,0.13,0.06,0.15,0.16,0.65,0.66,0.64,0.66,0.66,0.45,0.45,0.33,0.45,0.45,0.54,0.55,1
5711149df2d2a,20,Male,7,no,objTwoColors,#00FF00,52,225,159,5,Green    ,Blue     ,0.72,0.04,0.13,0.06,0.16,0.16,0.65,0.67,0.65,0.67,0.67,0.46,0.47,0.34,0.47,0.47,0.55,0.55,1
57111f6c42412,22,Male,34,no,objTwoColors,#00FF00,115,0,144,5,Green    ,Red      ,0.52,0.14,0.21,0.12,0.09,0.1,0.3,0.3,0.33,0.28,0.3,0.41,0.41,0.51,0.41,0.41,0.82,0.83,0.83
5711231e370f2,24,Male,32,yes,objTwoColors,#00FF00,0,149,460,4,Red      ,Teal     ,0.54,0.08,0.27,0.12,0.08,0.08,0.56,0.58,0.57,0.58,0.58,0.55,0.56,0.64,0.56,0.56,0.14,0.15,0.7
57112d73dfafe,25,Male,5,no,objTwoColors,#00FF00,55,239,636,4,Green    ,Blue     ,0.74,0.38,0.14,0.06,0.2,0.18,0.67,0.68,0.67,0.68,0.68,0.47,0.47,0.35,0.47,0.47,0.58,0.59,1.03
57112db321110,20,Male,3,no,objTwoColors,#00FF00,0,71,994,3,Red      ,Yellow   ,0.43,0.25,0.28,0.15,0.2,0.14,0.45,0.47,0.47,0.48,0.47,0.62,0.63,0.71,0.63,0.63,0.21,0.22,0.59
57112e1a2bbbb,32,Male,16,no,objTwoColors,#00FF00,56,55,146,2,Green    ,Green    ,0.24,0.15,0.13,0.13,0.1,0.09,0.17,0.17,0.16,0.16,0.17,0.37,0.37,0.46,0.37,0.37,0.49,0.49,0.53
57113a5534205,22,Male,31,no,objTwoColors,#00FF00,53,235,211,5,Green    ,Blue     ,0.75,0.38,0.13,0.06,0.21,0.18,0.68,0.69,0.67,0.68,0.69,0.48,0.48,0.36,0.48,0.48,0.57,0.58,1.03
57113b7f16c4b,22,Male,31,no,objTwoColors,#00FF00,189,58,363,4,Cyan     ,Green    ,0.11,0.02,0.08,0.02,0.05,0.05,0.33,0.35,0.29,0.35,0.35,0.54,0.56,0.57,0.56,0.56,0.65,0.66,0.23
