id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
5710cc2b8a642,objTwoColors,#00FF00,223,59,114,4,Blue     ,Green    ,0.29,0.05,0.24,0.06,0.13,0.15,0.52,0.54,0.48,0.55,0.54,0.74,0.75,0.76,0.75,0.75,0.76,0.76,0.03
5710cd0a515bb,objTwoColors,#00FF00,243,63,643,5,Blue     ,Green    ,0.33,0.38,0.31,0.07,0.19,0.17,0.56,0.58,0.54,0.59,0.58,0.77,0.77,0.8,0.78,0.77,0.78,0.77,0.02
5710cd99df604,objTwoColors,#00FF00,110,103,366,3,Green    ,Green    ,0.38,0.01,0.21,0.05,0.08,0.14,0.16,0.16,0.24,0.18,0.16,0.25,0.25,0.41,0.25,0.25,0.66,0.66,0.69
5710ce6c1308c,objTwoColors,#00FF00,207,59,156,4,Navy-Blue,Green    ,0.21,0.02,0.14,0.04,0.08,0.1,0.44,0.46,0.4,0.47,0.46,0.66,0.67,0.68,0.67,0.67,0.71,0.71,0.11
5710d140b7c5a,objTwoColors,#00FF00,142,57,344,3,Green    ,Green    ,0.19,0,0.17,0.07,0.04,0.07,0.06,0.07,0.05,0.07,0.07,0.27,0.28,0.35,0.28,0.28,0.64,0.64,0.51
5710d71ff24c3,objTwoColors,#00FF00,226,65,245,5,Blue     ,Yellow   ,0.32,0.07,0.26,0.07,0.14,0.15,0.55,0.57,0.51,0.58,0.57,0.75,0.75,0.77,0.76,0.75,0.76,0.76,0.04
5710d9dcc23f0,objTwoColors,#00FF00,104,103,136,5,Green    ,Green    ,0.37,0.01,0.2,0.05,0.08,0.14,0.15,0.15,0.24,0.17,0.15,0.24,0.24,0.41,0.24,0.24,0.65,0.66,0.69
5710e540a9514,objTwoColors,#00FF00,201,55,159,4,Navy-Blue,Green    ,0.19,0.02,0.12,0.03,0.08,0.09,0.42,0.43,0.35,0.42,0.43,0.62,0.63,0.65,0.63,0.63,0.69,0.69,0.17
5710e60f69205,objTwoColors,#00FF00,67,191,388,4,Yellow   ,Sky-Blue ,0.53,0.02,0.16,0.02,0.05,0.06,0.42,0.44,0.43,0.44,0.44,0.21,0.22,0.11,0.22,0.22,0.42,0.42,0.84
5711106ab212a,objTwoColors,#00FF00,53,223,169,3,Green    ,Blue     ,0.72,0.04,0.13,0.06,0.15,0.16,0.65,0.66,0.64,0.66,0.66,0.45,0.45,0.33,0.45,0.45,0.54,0.55,1
5711149df2d2a,objTwoColors,#00FF00,52,225,159,5,Green    ,Blue     ,0.72,0.04,0.13,0.06,0.16,0.16,0.65,0.67,0.65,0.67,0.67,0.46,0.47,0.34,0.47,0.47,0.55,0.55,1
57112b9e10661,objTwoColors,#00FF00,59,202,65,2,Green    ,Navy-Blue,0.6,0.02,0.14,0.04,0.07,0.08,0.51,0.53,0.52,0.53,0.53,0.31,0.32,0.2,0.32,0.32,0.46,0.46,0.89
57112d73dfafe,objTwoColors,#00FF00,55,239,636,4,Green    ,Blue     ,0.74,0.38,0.14,0.06,0.2,0.18,0.67,0.68,0.67,0.68,0.68,0.47,0.47,0.35,0.47,0.47,0.58,0.59,1.03
57112d8509632,objTwoColors,#00FF00,59,223,95,4,Green    ,Blue     ,0.71,0.05,0.15,0.06,0.13,0.15,0.62,0.64,0.62,0.64,0.64,0.42,0.43,0.31,0.43,0.43,0.57,0.57,1
57112da850667,objTwoColors,#00FF00,256,58,51,5,Blue     ,Green    ,0.32,0.38,0.3,0.06,0.19,0.17,0.55,0.56,0.5,0.56,0.56,0.76,0.77,0.78,0.77,0.77,0.76,0.77,0.02
57112e1a2bbbb,objTwoColors,#00FF00,56,55,146,2,Green    ,Green    ,0.24,0.15,0.13,0.13,0.1,0.09,0.17,0.17,0.16,0.16,0.17,0.37,0.37,0.46,0.37,0.37,0.49,0.49,0.53
57112ebc85ba1,objTwoColors,#00FF00,175,55,67,5,Blue     ,Green    ,0.04,0.02,0.07,0.04,0.03,0.02,0.27,0.28,0.2,0.27,0.28,0.47,0.48,0.5,0.48,0.48,0.63,0.64,0.32
571130c5cd6e9,objTwoColors,#00FF00,57,196,126,5,Green    ,LI-Blue  ,0.57,0.02,0.14,0.02,0.06,0.07,0.49,0.51,0.49,0.51,0.51,0.28,0.29,0.16,0.29,0.29,0.41,0.42,0.86
571130d934bda,objTwoColors,#00FF00,58,185,216,5,Green    ,Blue     ,0.51,0.02,0.14,0.03,0.04,0.04,0.43,0.44,0.43,0.44,0.44,0.21,0.21,0.17,0.21,0.21,0.34,0.35,0.8
5711348e42f02,objTwoColors,#00FF00,238,54,51,4,Blue     ,Green    ,0.34,0.38,0.31,0.06,0.21,0.18,0.57,0.58,0.49,0.57,0.58,0.78,0.78,0.8,0.79,0.78,0.79,0.78,0.03
57113d4d93c81,objTwoColors,#00FF00,193,59,221,5,Sky-Blue ,Green    ,0.12,0.02,0.09,0.02,0.05,0.06,0.35,0.37,0.31,0.38,0.37,0.57,0.58,0.59,0.58,0.58,0.66,0.67,0.2
57113d9cc42b5,objTwoColors,#00FF00,220,55,452,5,Blue     ,Green    ,0.3,0.03,0.22,0.05,0.13,0.14,0.53,0.54,0.46,0.53,0.54,0.73,0.74,0.76,0.74,0.74,0.75,0.75,0.06
5711405eb4abb,objTwoColors,#00FF00,119,128,328,5,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.18,0.26,0.19,0.18,0.25,0.25,0.42,0.25,0.25,0.66,0.67,0.7
57114d8a4c057,objTwoColors,#00FF00,97,98,203,5,Green    ,Green    ,0.36,0,0.2,0.05,0.08,0.13,0.13,0.15,0.22,0.16,0.15,0.23,0.24,0.4,0.24,0.24,0.64,0.64,0.67
571153ca15566,objTwoColors,#00FF00,59,198,144,4,Green    ,Navy-Blue,0.58,0.02,0.14,0.03,0.06,0.07,0.49,0.51,0.5,0.51,0.51,0.28,0.29,0.17,0.29,0.29,0.43,0.43,0.87
571153e3025f9,objTwoColors,#00FF00,64,225,324,4,Green    ,Blue     ,0.71,0.06,0.16,0.07,0.14,0.15,0.6,0.62,0.61,0.62,0.62,0.41,0.42,0.3,0.42,0.42,0.6,0.6,1
