id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#00FF00,0,149,460,4,0.09,Teal     
5713a02a13044,objTwoColors,#00FF00,0,137,459,2,0.03,Green    
573a0b8280839,objTwoColors,#00FF00,0,32,25,3,0.28,Orange   
573e4022949b1,objTwoColors,#00FF00,120,0,93,5,0.02,Green    
5740b0f8e9734,objTwoColors,#00FF00,130,0,272,5,0.02,Green    
5740e3f36a945,objTwoColors,#00FF00,93,0,152,3,0.01,Green    
5710cc5a7829c,objTwoColors,#00FF00,117,0,70,5,0.02,Green    
5710ceb320fdf,objTwoColors,#00FF00,0,125,110,5,0.02,Green    
5710cf445718e,objTwoColors,#00FF00,105,0,186,3,0.01,Green    
5710d28fec2d1,objTwoColors,#00FF00,0,256,111,1,0.54,Blue     
5710dc97aac05,objTwoColors,#00FF00,0,0,725,1,0.41,Red      
57110028bc74b,objTwoColors,#00FF00,0,147,308,3,0.08,NA       
571103343658b,objTwoColors,#00FF00,122,0,144,5,0.02,Green    
57111f6c42412,objTwoColors,#00FF00,115,0,144,5,0.02,Green    
57112a657ac25,objTwoColors,#00FF00,108,0,95,4,0.01,Green    
57112db321110,objTwoColors,#00FF00,0,71,994,3,0.09,Yellow   
57113e6176346,objTwoColors,#00FF00,0,135,172,5,0.03,Green    
5711666e6f11e,objTwoColors,#00FF00,111,0,125,4,0.02,Green    
57117b1840694,objTwoColors,#00FF00,81,0,273,3,0.05,Yellow   
5711ace2ee7ed,objTwoColors,#00FF00,0,77,1079,3,0.07,Yellow   
5712197fbccd5,objTwoColors,#00FF00,0,69,63,4,0.1,Yellow   
57121e2a63601,objTwoColors,#00FF00,0,0,0,3,0.41,Red      
5712a254e00f7,objTwoColors,#00FF00,0,84,370,3,0.04,DK-Green 
5712bd55a8a13,objTwoColors,#00FF00,93,0,368,3,0.01,Green    
57153d9a56ce0,objTwoColors,#00FF00,0,159,84,5,0.15,Green    
57153eb9b4bed,objTwoColors,#00FF00,346,0,736,2,0.4,Red      
5727f6d19e901,objTwoColors,#00FF00,133,0,54,5,0.02,Green    
57451c3b38192,objTwoColors,#00FF00,0,103,103,5,0.01,Green    
5745b5cbe3caa,objTwoColors,#00FF00,119,0,257,4,0.02,Green    
5745f6f039dc9,objTwoColors,#00FF00,0,0,0,3,0.41,Red      
