id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112ebc85ba1,18,Female,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,80,2,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5711348e42f02,19,Female,32,no,twoColorsObj,#FF0000,#0000FF,#800080,294,4,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
57113d4d93c81,18,Female,32,no,twoColorsObj,#FF0000,#0000FF,#808000,208,3,NA       ,0.28,0.28,0.21,0.17,0.28,0.22
5711703bd85fc,18,Female,32,no,twoColorsObj,#FF0000,#0000FF,#008080,1,2,NA       ,0.2,0.2,0.26,0.2,0.2,0.22
5711e54c50f6b,19,Male,4,no,twoColorsObj,#FF0000,#0000FF,#800080,409,4,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
57121540dbb98,18,Male,7,no,twoColorsObj,#FF0000,#0000FF,#800080,726,3,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
5712787a337a9,18,Female,7,no,twoColorsObj,#FF0000,#0000FF,#B000FF,125,2,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#FF0000,#0000FF,#B000FF,331,3,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
572a7874c1e2e,19,Male,6,no,twoColorsObj,#FF0000,#0000FF,#7d93a6,99,2,NA       ,0.17,0.17,0.23,0.16,0.17,0.19
5734d89183dab,19,Female,29,no,twoColorsObj,#FF0000,#0000FF,#8000FF,44,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
5734e397122ce,19,Male,6,no,twoColorsObj,#FF0000,#0000FF,#B000FF,162,5,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5736048bb110b,19,Male,32,no,twoColorsObj,#FF0000,#0000FF,#ca0088,226,5,NA       ,0.12,0.12,0.13,0.07,0.11,0.08
573634984323e,19,Male,32,no,twoColorsObj,#FF0000,#0000FF,#8000FF,81,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
57366c199283c,19,Male,32,no,twoColorsObj,#FF0000,#0000FF,#FF6F00,58,4,NA       ,0.24,0.24,0.12,0.09,0.23,0.14
57427cf6bad0c,19,Female,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,361,3,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
574511e99b6d9,19,Female,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,161,5,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5745350dc1e22,19,Female,31,no,twoColorsObj,#FF0000,#0000FF,#ab00ff,70,5,NA       ,0.1,0.1,0.26,0.21,0.1,0.2
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF0000,#0000FF,#B000FF,224,5,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5745f6f039dc9,15,Male,33,no,twoColorsObj,#FF0000,#0000FF,#FFFFFF,0,3,NA       ,0.19,0.19,0.21,0.14,0.18,0.17
574628a9e94a1,18,Male,4,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,152,5,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
