id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cd99df604,23,Female,32,no,objTwoColors,#FF00FF,313,315,170,1,Pink     ,Pink     ,0.57,0.04,0.02,0.03,0.03,0.09
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF00FF,300,0,582,2,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF00FF,14,282,104,5,Red      ,Purple   ,0.13,0.15,0.17,0.02,0.12,0.01
5710e540a9514,52,Female,32,no,objTwoColors,#FF00FF,309,22,761,1,Pink     ,Red      ,0.85,0.28,0.14,0.05,0.17,0.06
5710e60f69205,24,Female,31,no,objTwoColors,#FF00FF,5,0,558,3,Red      ,Red      ,0.56,0.32,0.09,0.15,0.31,0.2
5710ee55dcd72,23,Female,6,no,objTwoColors,#FF00FF,287,58,449,3,Purple   ,Green    ,0.94,0.31,0.22,0.11,0.15,0.11
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF00FF,222,0,514,4,Blue     ,Red      ,1.08,0.08,0.22,0.04,0.03,0.05
57110028bc74b,48,Female,32,no,objTwoColors,#FF00FF,0,300,89,3,Red      ,Pink     ,0.19,0.17,0.16,0.06,0.17,0.04
571103343658b,20,Female,32,no,objTwoColors,#FF00FF,298,0,183,5,Pink     ,Red      ,0.92,0.16,0.2,0.06,0.17,0.03
57112a657ac25,20,Female,24,no,objTwoColors,#FF00FF,309,0,55,3,Pink     ,Red      ,0.87,0.2,0.15,0.07,0.18,0.07
57112b9e10661,64,Female,34,no,objTwoColors,#FF00FF,91,210,115,2,Green    ,Blue     ,0.48,0.34,0.3,0.19,0.27,0.23
57112d8509632,45,Female,32,no,objTwoColors,#FF00FF,300,0,669,4,Pink     ,Red      ,0.91,0.17,0.19,0.06,0.17,0.04
57112da850667,22,Female,47,no,objTwoColors,#FF00FF,258,341,175,3,Blue     ,Red      ,1.02,0.04,0.25,0.05,0.03,0.11
57112e8f42ab6,21,Female,6,no,objTwoColors,#FF00FF,203,11,168,3,Navy-Blue,Red      ,1.01,0.1,0.21,0.08,0.12,0.1
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF00FF,10,225,128,5,Red      ,Blue     ,0.04,0.05,0.18,0.04,0.04,0.05
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF00FF,207,331,199,4,Navy-Blue,Magenta  ,0.89,0.18,0.19,0.1,0.1,0.14
571130d934bda,22,Female,32,no,objTwoColors,#FF00FF,1,0,332,3,Red      ,Red      ,0.55,0.33,0.08,0.15,0.31,0.2
5711348e42f02,19,Female,32,no,objTwoColors,#FF00FF,7,218,276,4,Red      ,Blue     ,0.06,0.07,0.17,0.05,0.06,0.06
571137a34931a,27,Female,25,no,objTwoColors,#FF00FF,6,0,211,2,Red      ,Red      ,0.56,0.32,0.09,0.14,0.31,0.2
