id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbe10cade,objTwoColors,#FF00FF,300,300,268,5,Pink     ,Pink     ,0.55,0.04,0.04,0.05,0.01,0.17
5710cd99df604,objTwoColors,#FF00FF,313,315,170,1,Pink     ,Pink     ,0.57,0.04,0.02,0.03,0.03,0.09
5710ceb320fdf,objTwoColors,#FF00FF,297,293,280,5,Pink     ,DK-Purple,0.53,0.06,0.04,0.08,0.04,0.19
5710cf445718e,objTwoColors,#FF00FF,234,48,110,1,Blue     ,Green    ,1.07,0.09,0.28,0.13,0.12,0.11
5710d71ff24c3,objTwoColors,#FF00FF,14,282,104,5,Red      ,Purple   ,0.13,0.15,0.17,0.02,0.12,0.01
5710e540a9514,objTwoColors,#FF00FF,309,22,761,1,Pink     ,Red      ,0.85,0.28,0.14,0.05,0.17,0.06
5710ee3fd83e6,objTwoColors,#FF00FF,329,104,9,1,Magenta  ,Green    ,0.72,0.3,0.04,0.1,0.23,0.2
5710ee55dcd72,objTwoColors,#FF00FF,287,58,449,3,Purple   ,Green    ,0.94,0.31,0.22,0.11,0.15,0.11
5711106ab212a,objTwoColors,#FF00FF,3,184,56,4,Red      ,Blue     ,0.25,0.16,0.14,0.1,0.17,0.14
57112b9e10661,objTwoColors,#FF00FF,91,210,115,2,Green    ,Blue     ,0.48,0.34,0.3,0.19,0.27,0.23
57112da850667,objTwoColors,#FF00FF,258,341,175,3,Blue     ,Red      ,1.02,0.04,0.25,0.05,0.03,0.11
57112e8f42ab6,objTwoColors,#FF00FF,203,11,168,3,Navy-Blue,Red      ,1.01,0.1,0.21,0.08,0.12,0.1
57112ebc85ba1,objTwoColors,#FF00FF,10,225,128,5,Red      ,Blue     ,0.04,0.05,0.18,0.04,0.04,0.05
571130c5cd6e9,objTwoColors,#FF00FF,207,331,199,4,Navy-Blue,Magenta  ,0.89,0.18,0.19,0.1,0.1,0.14
5711348e42f02,objTwoColors,#FF00FF,7,218,276,4,Red      ,Blue     ,0.06,0.07,0.17,0.05,0.06,0.06
57113b9642c48,objTwoColors,#FF00FF,39,268,246,5,Yellow   ,Blue     ,0.22,0.19,0.19,0.09,0.1,0.08
57113de4aed1a,objTwoColors,#FF00FF,5,229,108,4,Red      ,Blue     ,0.02,0.05,0.18,0.04,0.03,0.05
57114ca79a200,objTwoColors,#FF00FF,230,348,124,4,Blue     ,Red      ,1.07,0.09,0.25,0.04,0.07,0.09
57114f82eb4e8,objTwoColors,#FF00FF,222,349,536,3,Blue     ,Red      ,1.05,0.11,0.21,0.04,0.06,0.08
571153ca15566,objTwoColors,#FF00FF,180,321,125,3,Blue     ,Pink     ,0.74,0.23,0.28,0.11,0.12,0.16
5711641931da5,objTwoColors,#FF00FF,326,182,819,2,Magenta  ,Blue     ,0.45,0.22,0.05,0.11,0.12,0.16
571165992a5c1,objTwoColors,#FF00FF,334,273,259,3,Magenta  ,Blue     ,0.19,0.02,0.11,0.06,0,0.12
57116b9b879bf,objTwoColors,#FF00FF,314,293,457,3,Pink     ,DK-Purple,0.43,0.02,0.04,0.05,0.01,0.15
5711703bd85fc,objTwoColors,#FF00FF,224,331,211,3,Blue     ,Magenta  ,0.94,0.15,0.18,0.09,0.11,0.16
5711800f2c5f3,objTwoColors,#FF00FF,282,181,329,3,Purple   ,Blue     ,0.72,0.23,0.13,0.18,0.15,0.23
57119224388ef,objTwoColors,#FF00FF,46,256,158,5,Green    ,Blue     ,0.23,0.17,0.2,0.12,0.1,0.1
