id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_green,distance_expectedC3_purple,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,twoColorsObj,#FF0000,#00FFFF,#FF0080,222,3,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
5711231e370f2,twoColorsObj,#FF0000,#00FFFF,#c9b2a2,368,2,NA       ,0.21,0.31,0.21,0.31,0.17,0.01,0.02,0.06
571151812791a,twoColorsObj,#FF0000,#00FFFF,#ca8aaa,160,3,NA       ,0.24,0.28,0.24,0.28,0.21,0.03,0.03,0.09
5713a02a13044,twoColorsObj,#FF0000,#00FFFF,#7f00ff,131,2,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
572767049ccfa,twoColorsObj,#FF0000,#00FFFF,#008788,24,3,Cyan     ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
572c85675a5ef,twoColorsObj,#FF0000,#00FFFF,#FF9F00,55,3,NA       ,0.21,0.4,0.21,0.4,0.16,0.1,0.13,0.04
5739ff85289b2,twoColorsObj,#FF0000,#00FFFF,#008788,1,2,Cyan     ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
573a059da0efd,twoColorsObj,#FF0000,#00FFFF,#33E000,177,5,Yellow   ,0.07,0.44,0.07,0.44,0.03,0.15,0.15,0.13
573a0b8280839,twoColorsObj,#FF0000,#00FFFF,#9700FF,204,3,NA       ,0.37,0.12,0.37,0.12,0.35,0.19,0.17,0.25
573c70dabcfe0,twoColorsObj,#FF0000,#00FFFF,#00A89E,57,3,NA       ,0.2,0.29,0.2,0.29,0.19,0.08,0.06,0.14
573c783748e8b,twoColorsObj,#FF0000,#00FFFF,#00B146,66,3,NA       ,0.09,0.41,0.09,0.41,0.07,0.12,0.12,0.12
573e4022949b1,twoColorsObj,#FF0000,#00FFFF,#3F0091,372,2,Navy-Blue,0.39,0.1,0.39,0.1,0.38,0.22,0.2,0.28
573e47c26cb8e,twoColorsObj,#FF0000,#00FFFF,#8342FF,421,2,NA       ,0.36,0.13,0.36,0.13,0.35,0.19,0.17,0.25
573e4d0eb795b,twoColorsObj,#FF0000,#00FFFF,#00FF00,57,4,Yellow   ,0.06,0.44,0.06,0.44,0.03,0.15,0.16,0.14
573edae85268b,twoColorsObj,#FF0000,#00FFFF,#F500FF,649,3,NA       ,0.32,0.19,0.32,0.19,0.3,0.13,0.11,0.18
5740a8b59d448,twoColorsObj,#FF0000,#00FFFF,#B000FF,386,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5740ad339507d,twoColorsObj,#FF0000,#00FFFF,#9700FF,154,3,NA       ,0.37,0.12,0.37,0.12,0.35,0.19,0.17,0.25
5740b0f8e9734,twoColorsObj,#FF0000,#00FFFF,#AE004F,147,4,NA       ,0.29,0.32,0.29,0.32,0.24,0.1,0.12,0.09
5740b686127bb,twoColorsObj,#FF0000,#00FFFF,#6500FF,141,4,Navy-Blue,0.39,0.1,0.39,0.1,0.38,0.23,0.2,0.28
5740bda9be3dc,twoColorsObj,#FF0000,#00FFFF,#998077,547,5,NA       ,0.21,0.31,0.21,0.31,0.18,0,0.03,0.06
5740e3f36a945,twoColorsObj,#FF0000,#00FFFF,#3F0091,109,1,Navy-Blue,0.39,0.1,0.39,0.1,0.38,0.22,0.2,0.28
574859b8f3379,twoColorsObj,#FF0000,#00FFFF,#B000FF,463,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5756ab1701ba0,twoColorsObj,#FF0000,#00FFFF,#E26AA4,350,4,NA       ,0.26,0.28,0.26,0.28,0.23,0.05,0.06,0.09
5756ae6897296,twoColorsObj,#FF0000,#00FFFF,#F000FF,128,4,NA       ,0.33,0.18,0.33,0.18,0.3,0.13,0.12,0.18
5756b2d9bd658,twoColorsObj,#FF0000,#00FFFF,#8342FF,248,1,NA       ,0.36,0.13,0.36,0.13,0.35,0.19,0.17,0.25
5757fd2703090,twoColorsObj,#FF0000,#00FFFF,#9B00FF,92,5,NA       ,0.37,0.12,0.37,0.12,0.35,0.19,0.17,0.25
5757ffca0b4b1,twoColorsObj,#FF0000,#00FFFF,#8A00FF,168,3,NA       ,0.37,0.11,0.37,0.11,0.36,0.2,0.18,0.26
57581518c2c07,twoColorsObj,#FF0000,#00FFFF,#E361A2,180,4,NA       ,0.27,0.28,0.27,0.28,0.23,0.06,0.06,0.09
57582b17cd76a,twoColorsObj,#FF0000,#00FFFF,#9F0084,108,3,NA       ,0.31,0.23,0.31,0.23,0.27,0.1,0.09,0.14
