id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_green,distance_expectedC3_purple,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,217,5,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
5710cbe10cade,21,Male,15,no,twoColorsObj,#FF0000,#00FFFF,#B1FF00,444,3,NA       ,0.11,0.42,0.11,0.42,0.06,0.12,0.13,0.09
5710cc2b8a642,24,Male,16,no,twoColorsObj,#FF0000,#00FFFF,#ab00ff,72,4,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
5710cc5a7829c,27,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,168,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5710ceb320fdf,23,Male,15,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,80,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5710cf445718e,25,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#8000FF,102,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5710d140b7c5a,26,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#46ff9c,99,3,NA       ,0.13,0.36,0.13,0.36,0.11,0.08,0.08,0.11
5710d28fec2d1,30,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#7f00ff,234,1,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5710ffa5dd7be,22,Male,6,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,354,4,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
5711106ab212a,33,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#7f00ff,115,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57111f6c42412,22,Male,34,no,twoColorsObj,#FF0000,#00FFFF,#FB0080,170,3,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57111f6c42412,22,Male,34,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,229,4,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
5711231e370f2,24,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#c9b2a2,368,2,NA       ,0.21,0.31,0.21,0.31,0.17,0.01,0.02,0.06
57112e1a2bbbb,32,Male,16,no,twoColorsObj,#FF0000,#00FFFF,#7f00ff,295,2,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57112e43d4668,19,Male,3,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,118,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57112fc882a10,18,Male,3,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,101,4,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
571138253c724,21,Male,8,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,528,3,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
57113a4121a89,19,Male,4,no,twoColorsObj,#FF0000,#00FFFF,#FF0080,256,2,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57113a5534205,22,Male,31,no,twoColorsObj,#FF0000,#00FFFF,#ab00ff,580,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
57113b7f16c4b,22,Male,31,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,1037,2,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57113de4aed1a,21,Male,31,no,twoColorsObj,#FF0000,#00FFFF,#FF0050,389,1,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
5711405eb4abb,18,Male,5,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,253,4,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
571151812791a,20,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#ca8aaa,160,3,NA       ,0.24,0.28,0.24,0.28,0.21,0.03,0.03,0.09
