id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_green,distance_expectedC3_purple,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbe10cade,twoColorsObj,#FF0000,#00FFFF,#B1FF00,444,3,NA       ,0.11,0.42,0.11,0.42,0.06,0.12,0.13,0.09
5710cc2b8a642,twoColorsObj,#FF0000,#00FFFF,#ab00ff,72,4,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
5710cc5a7829c,twoColorsObj,#FF0000,#00FFFF,#B000FF,168,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5710cd99df604,twoColorsObj,#FF0000,#00FFFF,#c9ab00,53,3,NA       ,0.17,0.4,0.17,0.4,0.12,0.09,0.12,0.04
5710ce6c1308c,twoColorsObj,#FF0000,#00FFFF,#8000FF,285,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5710ceb320fdf,twoColorsObj,#FF0000,#00FFFF,#FF00FF,80,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5710cf445718e,twoColorsObj,#FF0000,#00FFFF,#8000FF,102,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5710d140b7c5a,twoColorsObj,#FF0000,#00FFFF,#46ff9c,99,3,NA       ,0.13,0.36,0.13,0.36,0.11,0.08,0.08,0.11
5710d28fec2d1,twoColorsObj,#FF0000,#00FFFF,#7f00ff,234,1,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5710d71ff24c3,twoColorsObj,#FF0000,#00FFFF,#B000FF,121,5,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5710e540a9514,twoColorsObj,#FF0000,#00FFFF,#B000FF,94,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5710e60f69205,twoColorsObj,#FF0000,#00FFFF,#ca0088,780,2,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
5710ffa5dd7be,twoColorsObj,#FF0000,#00FFFF,#8080FF,354,4,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
57110028bc74b,twoColorsObj,#FF0000,#00FFFF,#ca0088,289,2,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
571103343658b,twoColorsObj,#FF0000,#00FFFF,#B000FF,157,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5711106ab212a,twoColorsObj,#FF0000,#00FFFF,#7f00ff,115,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57111f6c42412,twoColorsObj,#FF0000,#00FFFF,#ca0088,229,4,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57111f6c42412,twoColorsObj,#FF0000,#00FFFF,#FB0080,170,3,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57112b9e10661,twoColorsObj,#FF0000,#00FFFF,#FF9F00,155,2,NA       ,0.21,0.4,0.21,0.4,0.16,0.1,0.13,0.04
57112d8509632,twoColorsObj,#FF0000,#00FFFF,#ca0088,236,1,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57112da850667,twoColorsObj,#FF0000,#00FFFF,#ab00ff,43,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
57112e1a2bbbb,twoColorsObj,#FF0000,#00FFFF,#7f00ff,295,2,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57112e43d4668,twoColorsObj,#FF0000,#00FFFF,#B000FF,118,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57112e8f42ab6,twoColorsObj,#FF0000,#00FFFF,#FF0080,184,3,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57112ebc85ba1,twoColorsObj,#FF0000,#00FFFF,#ab00ff,426,5,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
57112f57403ee,twoColorsObj,#FF0000,#00FFFF,#7f00ff,122,2,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57112fc882a10,twoColorsObj,#FF0000,#00FFFF,#8080FF,101,4,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
571130c5cd6e9,twoColorsObj,#FF0000,#00FFFF,#FB0080,246,3,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
571130d934bda,twoColorsObj,#FF0000,#00FFFF,#ff0087,672,1,NA       ,0.29,0.3,0.29,0.3,0.25,0.09,0.11,0.09
5711348e42f02,twoColorsObj,#FF0000,#00FFFF,#ca0088,224,4,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
571138253c724,twoColorsObj,#FF0000,#00FFFF,#FF00FF,528,3,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
57113a4121a89,twoColorsObj,#FF0000,#00FFFF,#FF0080,256,2,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57113b9642c48,twoColorsObj,#FF0000,#00FFFF,#c9b2a2,21,5,NA       ,0.21,0.31,0.21,0.31,0.17,0.01,0.02,0.06
57113d4d93c81,twoColorsObj,#FF0000,#00FFFF,#ca0088,170,2,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57113de4aed1a,twoColorsObj,#FF0000,#00FFFF,#FF0050,389,1,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
57113e6176346,twoColorsObj,#FF0000,#00FFFF,#808000,353,1,NA       ,0.15,0.41,0.15,0.41,0.1,0.1,0.12,0.06
5711405eb4abb,twoColorsObj,#FF0000,#00FFFF,#ca0088,253,4,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57114ae35c9ec,twoColorsObj,#FF0000,#00FFFF,#808080,283,2,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
571153ca15566,twoColorsObj,#FF0000,#00FFFF,#8080FF,1051,2,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
571153e3025f9,twoColorsObj,#FF0000,#00FFFF,#8000FF,168,2,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
571154184c9bd,twoColorsObj,#FF0000,#00FFFF,#FF6755,9,1,NA       ,0.25,0.36,0.25,0.36,0.2,0.09,0.12,0.05
5711541e3ef89,twoColorsObj,#FF0000,#00FFFF,#808080,247,2,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
5711641931da5,twoColorsObj,#FF0000,#00FFFF,#00FF00,189,4,Yellow   ,0.06,0.44,0.06,0.44,0.03,0.15,0.16,0.14
571165992a5c1,twoColorsObj,#FF0000,#00FFFF,#808000,40,3,NA       ,0.15,0.41,0.15,0.41,0.1,0.1,0.12,0.06
57116b9b879bf,twoColorsObj,#FF0000,#00FFFF,#7f00ff,231,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57116ce8cf9e5,twoColorsObj,#FF0000,#00FFFF,#91c01d,135,3,NA       ,0.12,0.42,0.12,0.42,0.07,0.11,0.12,0.08
5711703bd85fc,twoColorsObj,#FF0000,#00FFFF,#7f00ff,1,5,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57117fe7495aa,twoColorsObj,#FF0000,#00FFFF,#808000,128,3,NA       ,0.15,0.41,0.15,0.41,0.1,0.1,0.12,0.06
5711800f2c5f3,twoColorsObj,#FF0000,#00FFFF,#008080,97,3,NA       ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
571183866d73f,twoColorsObj,#FF0000,#00FFFF,#c6aeff,129,4,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
57119224388ef,twoColorsObj,#FF0000,#00FFFF,#ff0087,168,5,NA       ,0.29,0.3,0.29,0.3,0.25,0.09,0.11,0.09
5711ace2ee7ed,twoColorsObj,#FF0000,#00FFFF,#ab00ff,679,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
5711cbde51bb0,twoColorsObj,#FF0000,#00FFFF,#FF00FF,185,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
57120d338509d,twoColorsObj,#FF0000,#00FFFF,#c6aeff,51,1,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
571214121717c,twoColorsObj,#FF0000,#00FFFF,#ab00ff,252,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
5712197fbccd5,twoColorsObj,#FF0000,#00FFFF,#91c01d,291,3,NA       ,0.12,0.42,0.12,0.42,0.07,0.11,0.12,0.08
57121e2a63601,twoColorsObj,#FF0000,#00FFFF,#7f00ff,102,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57122801e1da9,twoColorsObj,#FF0000,#00FFFF,#ab00ff,335,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
57123bec83e8e,twoColorsObj,#FF0000,#00FFFF,#FF0050,37,4,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
57123e4050550,twoColorsObj,#FF0000,#00FFFF,#ca0088,188,3,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57123e4050550,twoColorsObj,#FF0000,#00FFFF,#ab00ff,325,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
571247f66fb51,twoColorsObj,#FF0000,#00FFFF,#FFFFFF,0,5,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
571252e6d2e70,twoColorsObj,#FF0000,#00FFFF,#800080,326,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
571254945e4d5,twoColorsObj,#FF0000,#00FFFF,#FF0080,266,1,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
571260c120253,twoColorsObj,#FF0000,#00FFFF,#FF0080,231,3,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57127bcfaafb0,twoColorsObj,#FF0000,#00FFFF,#46ff9c,877,2,NA       ,0.13,0.36,0.13,0.36,0.11,0.08,0.08,0.11
57127cb3ab1fe,twoColorsObj,#FF0000,#00FFFF,#c6aeff,346,2,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
571290e28820b,twoColorsObj,#FF0000,#00FFFF,#B000FF,70,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5712bd55a8a13,twoColorsObj,#FF0000,#00FFFF,#B000FF,196,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5712c2b021f58,twoColorsObj,#FF0000,#00FFFF,#c6aeff,123,3,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
5712c57f97f25,twoColorsObj,#FF0000,#00FFFF,#c9b2a2,85,1,NA       ,0.21,0.31,0.21,0.31,0.17,0.01,0.02,0.06
5713923c1bbc7,twoColorsObj,#FF0000,#00FFFF,#008080,79,3,NA       ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
5713aa57bebec,twoColorsObj,#FF0000,#00FFFF,#7f00ff,97,4,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5713b10383207,twoColorsObj,#FF0000,#00FFFF,#8080FF,137,2,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
5713dd915ca28,twoColorsObj,#FF0000,#00FFFF,#FF0050,160,2,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
5713fc80c942a,twoColorsObj,#FF0000,#00FFFF,#B000FF,81,5,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57142079d871e,twoColorsObj,#FF0000,#00FFFF,#008080,1,3,NA       ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
5714d563c6e52,twoColorsObj,#FF0000,#00FFFF,#8080FF,82,3,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
571534076a966,twoColorsObj,#FF0000,#00FFFF,#91c01d,176,3,NA       ,0.12,0.42,0.12,0.42,0.07,0.11,0.12,0.08
57153eb9b4bed,twoColorsObj,#FF0000,#00FFFF,#c6aeff,87,4,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
5716e9900f6ea,twoColorsObj,#FF0000,#00FFFF,#8000FF,347,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57190633f233f,twoColorsObj,#FF0000,#00FFFF,#FF00FF,239,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
572106a31c230,twoColorsObj,#FF0000,#00FFFF,#ff0087,106,2,NA       ,0.29,0.3,0.29,0.3,0.25,0.09,0.11,0.09
572a7874c1e2e,twoColorsObj,#FF0000,#00FFFF,#FF8080,53,2,NA       ,0.24,0.33,0.24,0.33,0.2,0.06,0.08,0.04
572baa7f9493c,twoColorsObj,#FF0000,#00FFFF,#ca0088,318,3,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
5734918f46823,twoColorsObj,#FF0000,#00FFFF,#8000FF,126,5,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5734d81ba001b,twoColorsObj,#FF0000,#00FFFF,#FF00FF,144,4,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5734d89183dab,twoColorsObj,#FF0000,#00FFFF,#808000,34,1,NA       ,0.15,0.41,0.15,0.41,0.1,0.1,0.12,0.06
5735d3455a84c,twoColorsObj,#FF0000,#00FFFF,#FF00FF,105,4,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5736048bb110b,twoColorsObj,#FF0000,#00FFFF,#FF00FF,138,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
573634984323e,twoColorsObj,#FF0000,#00FFFF,#ffa6a6,795,3,NA       ,0.23,0.31,0.23,0.31,0.19,0.03,0.05,0.05
57363b3954a26,twoColorsObj,#FF0000,#00FFFF,#FF00FF,342,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
57366c199283c,twoColorsObj,#FF0000,#00FFFF,#FF0050,52,3,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
5738cf3d97a58,twoColorsObj,#FF0000,#00FFFF,#8080FF,111,4,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
57427cf6bad0c,twoColorsObj,#FF0000,#00FFFF,#B000FF,61,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
574297edae49c,twoColorsObj,#FF0000,#00FFFF,#8080FF,104,2,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
5744dce84ffa5,twoColorsObj,#FF0000,#00FFFF,#B000FF,75,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
574511e99b6d9,twoColorsObj,#FF0000,#00FFFF,#B000FF,452,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57451c3b38192,twoColorsObj,#FF0000,#00FFFF,#FF00FF,126,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5745350dc1e22,twoColorsObj,#FF0000,#00FFFF,#FF00FF,130,3,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5745500f6e643,twoColorsObj,#FF0000,#00FFFF,#ab00ff,97,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
57459c393bbd0,twoColorsObj,#FF0000,#00FFFF,#c6aeff,186,4,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
5745b5cbe3caa,twoColorsObj,#FF0000,#00FFFF,#FF0050,2087,2,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
5745c1c07cc0c,twoColorsObj,#FF0000,#00FFFF,#800080,473,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5745f6f039dc9,twoColorsObj,#FF0000,#00FFFF,#FFFFFF,0,3,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
