id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cc2b8a642,twoColorsObj,#00FFFF,#FF00FF,#8080FF,96,4,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
5710cc5a7829c,twoColorsObj,#00FFFF,#FF00FF,#ab00ff,99,4,NA       ,0.19,0.19,0.08,0.07,0.04,0.07
5710cd0a515bb,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,840,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5710cd99df604,twoColorsObj,#00FFFF,#FF00FF,#c9b2a2,452,5,NA       ,0.37,0.37,0.16,0.11,0.21,0.11
5710ce6c1308c,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,438,2,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5710ceb320fdf,twoColorsObj,#00FFFF,#FF00FF,#0000FF,89,2,Navy-Blue,0.12,0.12,0.11,0.15,0.05,0.15
5710cf445718e,twoColorsObj,#00FFFF,#FF00FF,#B000FF,166,3,NA       ,0.2,0.2,0.08,0.07,0.04,0.06
5710d140b7c5a,twoColorsObj,#00FFFF,#FF00FF,#FF9F00,272,5,NA       ,0.46,0.46,0.26,0.2,0.3,0.2
5710d28fec2d1,twoColorsObj,#00FFFF,#FF00FF,#00acff,42,1,Cyan     ,0.25,0.25,0.02,0.06,0.1,0.07
5710d71ff24c3,twoColorsObj,#00FFFF,#FF00FF,#5792ff,82,4,Sky-Blue ,0.23,0.23,0.03,0.05,0.08,0.06
5710e540a9514,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,106,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5710e60f69205,twoColorsObj,#00FFFF,#FF00FF,#B000FF,80,4,NA       ,0.2,0.2,0.08,0.07,0.04,0.06
5710e9f31cdc4,twoColorsObj,#00FFFF,#FF00FF,#0000FF,705,1,Navy-Blue,0.12,0.12,0.11,0.15,0.05,0.15
57110028bc74b,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,125,3,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
571103343658b,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,92,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5711106ab212a,twoColorsObj,#00FFFF,#FF00FF,#800080,225,3,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
5711148c11035,twoColorsObj,#00FFFF,#FF00FF,#8080FF,503,3,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
57111f6c42412,twoColorsObj,#00FFFF,#FF00FF,#800080,532,3,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
57112a657ac25,twoColorsObj,#00FFFF,#FF00FF,#ff0087,222,2,NA       ,0.37,0.37,0.21,0.14,0.22,0.13
57112b9e10661,twoColorsObj,#00FFFF,#FF00FF,#91c01d,153,2,NA       ,0.47,0.47,0.25,0.21,0.31,0.22
57112cb820ea5,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,723,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
57112ce735a14,twoColorsObj,#00FFFF,#FF00FF,#0000FF,160,4,Navy-Blue,0.12,0.12,0.11,0.15,0.05,0.15
57112d8509632,twoColorsObj,#00FFFF,#FF00FF,#5792ff,99,1,Sky-Blue ,0.23,0.23,0.03,0.05,0.08,0.06
57112da850667,twoColorsObj,#00FFFF,#FF00FF,#ab00ff,105,3,NA       ,0.19,0.19,0.08,0.07,0.04,0.07
57112da850667,twoColorsObj,#00FFFF,#FF00FF,#8080FF,126,4,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
57112de7f0c00,twoColorsObj,#00FFFF,#FF00FF,#8000FF,47,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57112ebc85ba1,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,99,4,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
57112efa50be6,twoColorsObj,#00FFFF,#FF00FF,#8080FF,126,2,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
571130c5cd6e9,twoColorsObj,#00FFFF,#FF00FF,#800080,225,5,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
571130d934bda,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,99,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57113163e6fb1,twoColorsObj,#00FFFF,#FF00FF,#ca8aaa,168,5,NA       ,0.34,0.34,0.14,0.08,0.18,0.08
5711338142ff8,twoColorsObj,#00FFFF,#FF00FF,#B1FF00,133,3,NA       ,0.48,0.48,0.25,0.22,0.32,0.22
5711348e42f02,twoColorsObj,#00FFFF,#FF00FF,#ca8aaa,245,4,NA       ,0.34,0.34,0.14,0.08,0.18,0.08
5711389736065,twoColorsObj,#00FFFF,#FF00FF,#ca8aaa,281,1,NA       ,0.34,0.34,0.14,0.08,0.18,0.08
57113b9642c48,twoColorsObj,#00FFFF,#FF00FF,#800080,310,5,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
57113d4d93c81,twoColorsObj,#00FFFF,#FF00FF,#ab00ff,70,4,NA       ,0.19,0.19,0.08,0.07,0.04,0.07
57113de4aed1a,twoColorsObj,#00FFFF,#FF00FF,#8080FF,126,3,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
57113e6176346,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,71,2,NA       ,0.32,0.32,0.1,0.06,0.16,0.07
57114d8a4c057,twoColorsObj,#00FFFF,#FF00FF,#00FF80,45,2,NA       ,0.44,0.44,0.21,0.19,0.28,0.2
571153ca15566,twoColorsObj,#00FFFF,#FF00FF,#B000FF,14,3,NA       ,0.2,0.2,0.08,0.07,0.04,0.06
571153e3025f9,twoColorsObj,#00FFFF,#FF00FF,#FF0050,309,3,NA       ,0.42,0.42,0.27,0.19,0.28,0.19
571154184c9bd,twoColorsObj,#00FFFF,#FF00FF,#FF8080,47,1,NA       ,0.39,0.39,0.21,0.14,0.24,0.14
5711641931da5,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,155,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
571165992a5c1,twoColorsObj,#00FFFF,#FF00FF,#FF8080,45,3,NA       ,0.39,0.39,0.21,0.14,0.24,0.14
57116b9b879bf,twoColorsObj,#00FFFF,#FF00FF,#FF8080,102,3,NA       ,0.39,0.39,0.21,0.14,0.24,0.14
5711703bd85fc,twoColorsObj,#00FFFF,#FF00FF,#008080,79,3,NA       ,0.33,0.33,0.09,0.09,0.17,0.1
5711800f2c5f3,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,97,3,NA       ,0.32,0.32,0.1,0.06,0.16,0.07
571183866d73f,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,114,5,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
57119224388ef,twoColorsObj,#00FFFF,#FF00FF,#008080,64,5,NA       ,0.33,0.33,0.09,0.09,0.17,0.1
5711ace2ee7ed,twoColorsObj,#00FFFF,#FF00FF,#8080FF,133,4,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
5711cbde51bb0,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,160,2,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
5711eaec4b831,twoColorsObj,#00FFFF,#FF00FF,#8080FF,123,3,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
571214121717c,twoColorsObj,#00FFFF,#FF00FF,#8080FF,128,1,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
5712197fbccd5,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,76,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
57121e2a63601,twoColorsObj,#00FFFF,#FF00FF,#8000FF,38,2,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57122801e1da9,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,83,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
57123bec83e8e,twoColorsObj,#00FFFF,#FF00FF,#8080FF,1,5,NA       ,0.22,0.22,0.05,0.05,0.07,0.05
57123e4050550,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,154,2,NA       ,0.32,0.32,0.1,0.06,0.16,0.07
57123e4050550,twoColorsObj,#00FFFF,#FF00FF,#ca8aaa,160,3,NA       ,0.34,0.34,0.14,0.08,0.18,0.08
571243bcc8142,twoColorsObj,#00FFFF,#FF00FF,#8000FF,183,5,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
571247f66fb51,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,637,1,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
571252e6d2e70,twoColorsObj,#00FFFF,#FF00FF,#B000FF,110,5,NA       ,0.2,0.2,0.08,0.07,0.04,0.06
571260c120253,twoColorsObj,#00FFFF,#FF00FF,#FF8080,83,3,NA       ,0.39,0.39,0.21,0.14,0.24,0.14
57127bcfaafb0,twoColorsObj,#00FFFF,#FF00FF,#91c01d,139,2,NA       ,0.47,0.47,0.25,0.21,0.31,0.22
57127cb3ab1fe,twoColorsObj,#00FFFF,#FF00FF,#c6aeff,66,3,NA       ,0.29,0.29,0.09,0.03,0.13,0.04
571290e28820b,twoColorsObj,#00FFFF,#FF00FF,#008080,49,2,NA       ,0.33,0.33,0.09,0.09,0.17,0.1
5712a254e00f7,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,147,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5712bd55a8a13,twoColorsObj,#00FFFF,#FF00FF,#7d93a6,126,1,NA       ,0.32,0.32,0.1,0.06,0.16,0.07
5712c2b021f58,twoColorsObj,#00FFFF,#FF00FF,#7f00ff,113,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5712c57f97f25,twoColorsObj,#00FFFF,#FF00FF,#ca0088,83,1,NA       ,0.33,0.33,0.18,0.1,0.18,0.09
57138ac176750,twoColorsObj,#00FFFF,#FF00FF,#8000FF,110,4,NA       ,0.16,0.16,0.09,0.1,0.01,0.1
5713923c1bbc7,twoColorsObj,#00FFFF,#FF00FF,#c9ab00,26,2,NA       ,0.46,0.46,0.25,0.2,0.31,0.21
5713b10383207,twoColorsObj,#00FFFF,#FF00FF,#800080,262,2,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
5713fc80c942a,twoColorsObj,#00FFFF,#FF00FF,#ff0087,208,2,NA       ,0.37,0.37,0.21,0.14,0.22,0.13
57142079d871e,twoColorsObj,#00FFFF,#FF00FF,#800080,155,1,NA       ,0.25,0.25,0.11,0.04,0.1,0.03
