id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112e639a100,18,Male,5,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,664,4,NA       ,0.35,0.07,0.35,0.07,0.1,0.11,0.14,0.1
57112ebc85ba1,18,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808080,223,1,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5711348e42f02,19,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,296,4,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57113a4121a89,19,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#808000,103,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57113ce1334e0,19,Female,12,no,twoColorsObj,#00FF00,#FF00FF,#808000,776,2,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57113d4d93c81,18,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,350,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5711703bd85fc,18,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,351,4,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#00FF00,#FF00FF,#c6aeff,714,1,NA       ,0.17,0.25,0.17,0.25,0.28,0.09,0.06,0.1
5727f6d19e901,19,Female,5,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,291,2,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
572a7874c1e2e,19,Male,6,no,twoColorsObj,#00FF00,#FF00FF,#aeff00,1,5,NA       ,0.36,0.16,0.36,0.16,0.2,0.12,0.13,0.11
5734d81ba001b,19,Female,3,no,twoColorsObj,#00FF00,#FF00FF,#7f00ff,519,1,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
5734d89183dab,19,Female,29,no,twoColorsObj,#00FF00,#FF00FF,#808000,81,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5736048bb110b,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#D7A700,206,5,NA       ,0.35,0.1,0.35,0.1,0.13,0.09,0.12,0.08
573613f4689a3,18,Male,7,no,twoColorsObj,#00FF00,#FF00FF,#808000,593,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
573634984323e,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,325,3,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
57366c199283c,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,215,2,NA       ,0.35,0.07,0.35,0.07,0.1,0.11,0.14,0.1
57427cf6bad0c,19,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#ca8aaa,72,1,NA       ,0.23,0.19,0.23,0.19,0.22,0.03,0.03,0.05
574511e99b6d9,19,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,421,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5745350dc1e22,19,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,265,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FF00,#FF00FF,#808000,25,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5745f6f039dc9,15,Male,33,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,556,1,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5710cbe10cade,21,Male,15,no,twoColorsObj,#00FF00,#FF00FF,#aeff00,346,2,NA       ,0.36,0.16,0.36,0.16,0.2,0.12,0.13,0.11
5710cc2b8a642,24,Male,16,no,twoColorsObj,#00FF00,#FF00FF,#800080,167,2,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
5710cc5a7829c,27,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,459,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5710cd99df604,23,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,415,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5710ce6c1308c,23,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#D7A700,271,3,NA       ,0.35,0.1,0.35,0.1,0.13,0.09,0.12,0.08
5710ceb320fdf,23,Male,15,no,twoColorsObj,#00FF00,#FF00FF,#FF0080,170,2,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
5710cf445718e,25,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,201,3,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5710d140b7c5a,26,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF0000,58,3,NA       ,0.37,0.07,0.37,0.07,0.07,0.15,0.18,0.15
5710d71ff24c3,20,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808080,549,2,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5710d9dcc23f0,21,Male,18,no,twoColorsObj,#00FF00,#FF00FF,#808000,15,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5710dc97aac05,20,Male,6,no,twoColorsObj,#00FF00,#FF00FF,#800080,332,1,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
5710e60f69205,24,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#ca0088,279,2,NA       ,0.23,0.19,0.23,0.19,0.2,0.09,0.09,0.09
5710ee9e58646,25,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#0000FF,348,2,Navy-Blue,0,0.42,0,0.42,0.44,0.26,0.23,0.27
