id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cd99df604,23,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,415,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5710ce6c1308c,23,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#D7A700,271,3,NA       ,0.35,0.1,0.35,0.1,0.13,0.09,0.12,0.08
5710d71ff24c3,20,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808080,549,2,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5710e540a9514,52,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#8080FF,90,1,NA       ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
5710e60f69205,24,Female,31,no,twoColorsObj,#00FF00,#FF00FF,#ca0088,279,2,NA       ,0.23,0.19,0.23,0.19,0.2,0.09,0.09,0.09
5710ee9e58646,25,Female,32,yes,twoColorsObj,#00FF00,#FF00FF,#0000FF,348,2,Navy-Blue,0,0.42,0,0.42,0.44,0.26,0.23,0.27
57110028bc74b,48,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#008080,587,2,NA       ,0.21,0.26,0.21,0.26,0.29,0.09,0.06,0.09
571103343658b,20,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#8000FF,72,4,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
57112a657ac25,20,Female,24,no,twoColorsObj,#00FF00,#FF00FF,#FF0080,173,2,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
57112b9e10661,64,Female,34,no,twoColorsObj,#00FF00,#FF00FF,#ca8aaa,288,1,NA       ,0.23,0.19,0.23,0.19,0.22,0.03,0.03,0.05
57112d8509632,45,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,303,1,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
57112da850667,22,Female,47,no,twoColorsObj,#00FF00,#FF00FF,#8080FF,72,1,NA       ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
57112da850667,22,Female,47,no,twoColorsObj,#00FF00,#FF00FF,#ab00ff,140,1,NA       ,0.09,0.33,0.09,0.33,0.35,0.18,0.16,0.19
57112ebc85ba1,18,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808080,223,1,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
57112f57403ee,25,Female,14,no,twoColorsObj,#00FF00,#FF00FF,#808000,403,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
571130c5cd6e9,24,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#808080,217,1,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
571130d934bda,22,Female,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,334,3,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
