id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,twoColorsObj,#00FF00,#FF00FF,#0000FF,348,2,Navy-Blue,0,0.42,0,0.42,0.44,0.26,0.23,0.27
5711231e370f2,twoColorsObj,#00FF00,#FF00FF,#FF6755,1375,2,NA       ,0.32,0.09,0.32,0.09,0.12,0.09,0.12,0.09
571151812791a,twoColorsObj,#00FF00,#FF00FF,#808080,239,3,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5713a02a13044,twoColorsObj,#00FF00,#FF00FF,#7f00ff,144,3,NA       ,0.05,0.37,0.05,0.37,0.39,0.21,0.19,0.22
572767049ccfa,twoColorsObj,#00FF00,#FF00FF,#7E7E7E,156,4,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
572c85675a5ef,twoColorsObj,#00FF00,#FF00FF,#c9ab00,66,1,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5739ff85289b2,twoColorsObj,#00FF00,#FF00FF,#6500FF,5,3,Navy-Blue,0.03,0.38,0.03,0.38,0.4,0.23,0.2,0.24
573a059da0efd,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,1,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
573c70dabcfe0,twoColorsObj,#00FF00,#FF00FF,#9700FF,74,2,NA       ,0.07,0.35,0.07,0.35,0.37,0.19,0.17,0.2
573c783748e8b,twoColorsObj,#00FF00,#FF00FF,#006C84,929,3,Cyan     ,0.16,0.29,0.16,0.29,0.31,0.11,0.08,0.12
573e4022949b1,twoColorsObj,#00FF00,#FF00FF,#8342FF,99,2,NA       ,0.07,0.35,0.07,0.35,0.37,0.19,0.17,0.2
573e47c26cb8e,twoColorsObj,#00FF00,#FF00FF,#CDB196,222,1,NA       ,0.27,0.17,0.27,0.17,0.2,0.01,0.04,0
573e4d0eb795b,twoColorsObj,#00FF00,#FF00FF,#D9FF00,166,2,NA       ,0.36,0.14,0.36,0.14,0.18,0.11,0.12,0.09
573edae85268b,twoColorsObj,#00FF00,#FF00FF,#9700FF,466,2,NA       ,0.07,0.35,0.07,0.35,0.37,0.19,0.17,0.2
5740a8b59d448,twoColorsObj,#00FF00,#FF00FF,#978900,173,3,NA       ,0.35,0.12,0.35,0.12,0.15,0.1,0.12,0.08
5740ad339507d,twoColorsObj,#00FF00,#FF00FF,#006C84,14,3,Cyan     ,0.16,0.29,0.16,0.29,0.31,0.11,0.08,0.12
5740b0f8e9734,twoColorsObj,#00FF00,#FF00FF,#9C0083,596,5,NA       ,0.19,0.23,0.19,0.23,0.25,0.1,0.1,0.11
5740b686127bb,twoColorsObj,#00FF00,#FF00FF,#768F00,167,4,NA       ,0.36,0.15,0.36,0.15,0.18,0.11,0.12,0.1
5740bda9be3dc,twoColorsObj,#00FF00,#FF00FF,#CDB196,257,5,NA       ,0.27,0.17,0.27,0.17,0.2,0.01,0.04,0
5740e3f36a945,twoColorsObj,#00FF00,#FF00FF,#978900,589,1,NA       ,0.35,0.12,0.35,0.12,0.15,0.1,0.12,0.08
574859b8f3379,twoColorsObj,#00FF00,#FF00FF,#3F0091,395,3,Navy-Blue,0.04,0.38,0.04,0.38,0.4,0.22,0.2,0.23
5756ab1701ba0,twoColorsObj,#00FF00,#FF00FF,#998077,901,2,NA       ,0.26,0.18,0.26,0.18,0.2,0,0.03,0.01
5756ae6897296,twoColorsObj,#00FF00,#FF00FF,#9200FF,186,4,NA       ,0.07,0.35,0.07,0.35,0.37,0.2,0.18,0.21
5756b2d9bd658,twoColorsObj,#00FF00,#FF00FF,#AE004F,192,3,NA       ,0.3,0.13,0.3,0.13,0.14,0.1,0.12,0.1
5757fd2703090,twoColorsObj,#00FF00,#FF00FF,#7100FF,288,3,NA       ,0.04,0.38,0.04,0.38,0.4,0.22,0.2,0.23
5757ffca0b4b1,twoColorsObj,#00FF00,#FF00FF,#AF0049,345,3,NA       ,0.31,0.12,0.31,0.12,0.13,0.11,0.13,0.11
57581518c2c07,twoColorsObj,#00FF00,#FF00FF,#006EFF,20,4,LI-Blue  ,0.06,0.37,0.06,0.37,0.39,0.2,0.18,0.21
57582b17cd76a,twoColorsObj,#00FF00,#FF00FF,#749300,310,1,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.13,0.1
