id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5710cbe10cade,21,Male,15,no,twoColorsObj,#00FF00,#FF00FF,#aeff00,346,2,NA       ,0.36,0.16,0.36,0.16,0.2,0.12,0.13,0.11
5710cc2b8a642,24,Male,16,no,twoColorsObj,#00FF00,#FF00FF,#800080,167,2,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
5710cc5a7829c,27,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,459,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5710ceb320fdf,23,Male,15,no,twoColorsObj,#00FF00,#FF00FF,#FF0080,170,2,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
5710cf445718e,25,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,201,3,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5710d140b7c5a,26,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF0000,58,3,NA       ,0.37,0.07,0.37,0.07,0.07,0.15,0.18,0.15
5710d28fec2d1,30,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#8080FF,518,1,NA       ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
5710d9dcc23f0,21,Male,18,no,twoColorsObj,#00FF00,#FF00FF,#808000,15,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5710dc97aac05,20,Male,6,no,twoColorsObj,#00FF00,#FF00FF,#800080,332,1,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
5711106ab212a,33,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,8,3,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5711148c11035,35,Male,22,no,twoColorsObj,#00FF00,#FF00FF,#FF9F00,103,2,NA       ,0.35,0.08,0.35,0.08,0.11,0.1,0.13,0.09
57111f6c42412,22,Male,34,no,twoColorsObj,#00FF00,#FF00FF,#0080FF,89,3,Sky-Blue ,0.08,0.35,0.08,0.35,0.37,0.18,0.16,0.19
5711231e370f2,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#FF6755,1375,2,NA       ,0.32,0.09,0.32,0.09,0.12,0.09,0.12,0.09
571123dc69a60,21,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#ffa6a6,252,1,NA       ,0.27,0.16,0.27,0.16,0.18,0.03,0.05,0.03
57112e1a2bbbb,32,Male,16,no,twoColorsObj,#00FF00,#FF00FF,#808000,342,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57112e639a100,18,Male,5,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,664,4,NA       ,0.35,0.07,0.35,0.07,0.1,0.11,0.14,0.1
5711338142ff8,23,Male,5,no,twoColorsObj,#00FF00,#FF00FF,#c4ff9e,230,4,NA       ,0.3,0.18,0.3,0.18,0.21,0.05,0.06,0.05
57113a4121a89,19,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#808000,103,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
57113a5534205,22,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#808080,354,4,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
57113b7f16c4b,22,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,740,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
57113de4aed1a,21,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#00FF80,123,2,NA       ,0.32,0.21,0.32,0.21,0.25,0.1,0.11,0.1
