id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbe10cade,twoColorsObj,#00FF00,#FF00FF,#aeff00,346,2,NA       ,0.36,0.16,0.36,0.16,0.2,0.12,0.13,0.11
5710cc2b8a642,twoColorsObj,#00FF00,#FF00FF,#800080,167,2,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
5710cc5a7829c,twoColorsObj,#00FF00,#FF00FF,#91c01d,459,3,NA       ,0.36,0.15,0.36,0.15,0.19,0.11,0.12,0.1
5710cd99df604,twoColorsObj,#00FF00,#FF00FF,#c9ab00,415,2,NA       ,0.35,0.11,0.35,0.11,0.14,0.09,0.12,0.08
5710ce6c1308c,twoColorsObj,#00FF00,#FF00FF,#D7A700,271,3,NA       ,0.35,0.1,0.35,0.1,0.13,0.09,0.12,0.08
5710ceb320fdf,twoColorsObj,#00FF00,#FF00FF,#FF0080,170,2,NA       ,0.28,0.14,0.28,0.14,0.16,0.09,0.11,0.1
5710cf445718e,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,201,3,NA       ,0.26,0.18,0.26,0.18,0.21,0.01,0.02,0.01
5710d140b7c5a,twoColorsObj,#00FF00,#FF00FF,#FF0000,58,3,NA       ,0.37,0.07,0.37,0.07,0.07,0.15,0.18,0.15
5710d28fec2d1,twoColorsObj,#00FF00,#FF00FF,#8080FF,518,1,NA       ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
5710d71ff24c3,twoColorsObj,#00FF00,#FF00FF,#808080,549,2,NA       ,0.23,0.2,0.23,0.2,0.23,0.03,0,0.04
5710d9dcc23f0,twoColorsObj,#00FF00,#FF00FF,#808000,15,1,NA       ,0.35,0.13,0.35,0.13,0.16,0.1,0.12,0.09
5710dc97aac05,twoColorsObj,#00FF00,#FF00FF,#800080,332,1,NA       ,0.16,0.26,0.16,0.26,0.28,0.12,0.11,0.13
5710e540a9514,twoColorsObj,#00FF00,#FF00FF,#8080FF,90,1,NA       ,0.11,0.32,0.11,0.32,0.34,0.15,0.13,0.16
