id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cd99df604,23,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#008080,104,4,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
5710ce6c1308c,23,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,55,5,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5710d71ff24c3,20,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,181,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5710e540a9514,52,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#80FF00,147,4,DK-Green ,0.37,0.37,0.3,0.32,0.37,0.31
5710e60f69205,24,Female,31,no,twoColorsObj,#0000FF,#00FFFF,#0000FF,392,3,Navy-Blue,0,0,0.07,0.04,0,0.06
5710ee9e58646,25,Female,32,yes,twoColorsObj,#0000FF,#00FFFF,#00acff,635,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57110028bc74b,48,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#5792ff,107,3,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
571103343658b,20,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,93,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57112a657ac25,20,Female,24,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,70,2,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57112b9e10661,64,Female,34,no,twoColorsObj,#0000FF,#00FFFF,#00caff,70,2,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57112d8509632,45,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,121,2,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57112da850667,22,Female,47,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,91,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57112ebc85ba1,18,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,134,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57112f57403ee,25,Female,14,no,twoColorsObj,#0000FF,#00FFFF,#008080,66,2,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
5711300507308,21,Female,13,no,twoColorsObj,#0000FF,#00FFFF,#00caff,330,1,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
571130c5cd6e9,24,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,336,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
571130d934bda,22,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,89,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57113163e6fb1,20,Female,10,no,twoColorsObj,#0000FF,#00FFFF,#00acff,38,5,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5711348e42f02,19,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,124,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
571137a34931a,27,Female,25,no,twoColorsObj,#0000FF,#00FFFF,#00caff,338,2,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
57113ce1334e0,19,Female,12,no,twoColorsObj,#0000FF,#00FFFF,#00acff,174,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
57113d4d93c81,18,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,257,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57113e6176346,23,Female,30,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,63,4,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
571154184c9bd,47,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,6,1,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
571163013744e,53,Female,13,no,twoColorsObj,#0000FF,#00FFFF,#00caff,23,2,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5711641931da5,20,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#008080,78,4,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
571165992a5c1,67,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,89,3,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
5711703bd85fc,18,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#8080FF,1,2,NA       ,0.11,0.11,0.05,0.07,0.11,0.05
5711800f2c5f3,59,Female,31,no,twoColorsObj,#0000FF,#00FFFF,#008080,109,4,NA       ,0.21,0.21,0.14,0.16,0.21,0.15
571183866d73f,48,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#5792ff,128,5,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
5712197fbccd5,24,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,59,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
57123e4050550,20,Female,40,no,twoColorsObj,#0000FF,#00FFFF,#00caff,91,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
571245dfd5f63,24,Female,8,no,twoColorsObj,#0000FF,#00FFFF,#00caff,575,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
571252e6d2e70,31,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#5792ff,309,4,Sky-Blue ,0.11,0.11,0.05,0.07,0.11,0.06
57127bcfaafb0,22,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00acff,100,4,Cyan     ,0.13,0.13,0.06,0.08,0.13,0.08
571289ef76e18,55,Female,31,no,twoColorsObj,#0000FF,#00FFFF,#B000FF,103,5,NA       ,0.09,0.09,0.07,0.07,0.09,0.03
5712a254e00f7,18,Female,18,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,76,3,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
5712bd55a8a13,27,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#00caff,119,3,Blue     ,0.16,0.16,0.09,0.12,0.16,0.11
5712c2b021f58,22,Female,32,no,twoColorsObj,#0000FF,#00FFFF,#0080FF,101,5,Sky-Blue ,0.08,0.08,0.02,0.04,0.08,0.04
