id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
57112ebc85ba1,18,Female,32,no,objTwoColors,#80FF00,177,63,223,5,Blue     ,Green    ,0.63,0.05,0.16,0.06,0.13,0.11,0.27,0.29,0.24,0.3,0.29,0.3,0.04,0.05,0.13,0.06,0.05
5711348e42f02,19,Female,32,no,objTwoColors,#80FF00,123,55,295,4,Green    ,Green    ,0.65,0,0.31,0.12,0.2,0.16,0.04,0.04,0.09,0.03,0.04,0.57,0.26,0.26,0.36,0.25,0.26
57113d4d93c81,18,Female,32,no,objTwoColors,#80FF00,140,57,159,4,Green    ,Green    ,0.64,0.02,0.28,0.11,0.19,0.15,0.05,0.06,0.05,0.06,0.06,0.52,0.2,0.2,0.32,0.2,0.2
5711703bd85fc,18,Female,32,no,objTwoColors,#80FF00,56,229,211,5,Green    ,Blue     ,0.58,0.06,0.21,0.02,0.04,0.12,0.66,0.66,0.65,0.66,0.66,1.02,0.73,0.73,0.83,0.73,0.73
5734d89183dab,19,Female,29,no,objTwoColors,#80FF00,58,189,78,4,Green    ,Cyan     ,0.37,0.04,0.22,0.06,0.11,0.1,0.45,0.46,0.45,0.46,0.46,0.82,0.53,0.54,0.63,0.54,0.54
5736048bb110b,19,Male,32,no,objTwoColors,#80FF00,90,80,195,5,Green    ,Yellow   ,0.61,0.01,0.28,0.11,0.2,0.19,0.1,0.11,0.17,0.12,0.11,0.62,0.3,0.3,0.44,0.31,0.3
573634984323e,19,Male,32,no,objTwoColors,#80FF00,62,127,45,4,Green    ,Green    ,0.52,0.01,0.22,0.11,0.2,0.17,0.27,0.29,0.3,0.3,0.29,0.66,0.37,0.37,0.49,0.39,0.37
57366c199283c,19,Male,32,no,objTwoColors,#80FF00,59,173,245,3,Green    ,Green    ,0.29,0.04,0.22,0.06,0.12,0.11,0.36,0.38,0.38,0.38,0.38,0.74,0.45,0.46,0.56,0.46,0.46
57427cf6bad0c,19,Female,32,no,objTwoColors,#80FF00,101,103,572,1,Green    ,Green    ,0.65,0.03,0.3,0.12,0.23,0.23,0.14,0.15,0.24,0.17,0.15,0.69,0.37,0.37,0.51,0.39,0.37
574511e99b6d9,19,Female,32,no,objTwoColors,#80FF00,191,58,307,4,Sky-Blue ,Green    ,0.66,0.04,0.15,0.06,0.1,0.1,0.35,0.36,0.3,0.36,0.36,0.22,0.12,0.12,0.04,0.12,0.12
5745350dc1e22,19,Female,31,no,objTwoColors,#80FF00,59,183,115,5,Green    ,Blue     ,0.34,0.05,0.22,0.06,0.12,0.1,0.41,0.43,0.42,0.43,0.43,0.79,0.5,0.51,0.6,0.51,0.51
5745c1c07cc0c,18,Other,31,no,objTwoColors,#80FF00,199,59,162,4,Navy-Blue,Green    ,0.68,0.04,0.17,0.04,0.09,0.09,0.39,0.41,0.35,0.42,0.41,0.16,0.16,0.17,0.08,0.18,0.17
5745f6f039dc9,15,Male,33,no,objTwoColors,#80FF00,0,0,0,4,Red      ,Red      ,0.39,0.39,0.25,0.24,0.3,0.22,0.69,0.7,0.64,0.68,0.7,0.83,0.67,0.67,0.68,0.65,0.67
