id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5710d28fec2d1,30,Male,32,no,objTwoColors,#80FF00,0,102,95,1,Red      ,Green    ,0.23,0.14,0.25,0.1,0.15,0.09,0.55,0.56,0.56,0.57,0.56,0.69,0.53,0.53,0.6,0.54,0.53
5710d87585247,31,Male,3,no,objTwoColors,#80FF00,250,59,331,3,Blue     ,Green    ,0.77,0.36,0.39,0.03,0.05,0.13,0.55,0.57,0.51,0.58,0.57,0,0.32,0.33,0.24,0.34,0.33
5711106ab212a,33,Male,32,no,objTwoColors,#80FF00,56,116,212,3,Green    ,Green    ,0.51,0.01,0.2,0.12,0.2,0.17,0.3,0.31,0.32,0.32,0.31,0.66,0.37,0.38,0.5,0.39,0.38
5711148c11035,35,Male,22,no,objTwoColors,#80FF00,57,173,89,3,Green    ,Green    ,0.28,0.04,0.21,0.06,0.12,0.11,0.37,0.39,0.38,0.39,0.39,0.74,0.45,0.46,0.57,0.46,0.46
57112e1a2bbbb,32,Male,16,no,objTwoColors,#80FF00,60,59,233,3,Green    ,Green    ,0.5,0.11,0.21,0.13,0.16,0.11,0.13,0.14,0.15,0.15,0.14,0.51,0.22,0.23,0.34,0.24,0.23
571153ca15566,32,Male,32,no,objTwoColors,#80FF00,243,58,397,5,Blue     ,Green    ,0.78,0.36,0.39,0.03,0.06,0.13,0.56,0.57,0.52,0.57,0.57,0.02,0.33,0.33,0.24,0.33,0.33
571252e6d2e70,31,Female,32,no,objTwoColors,#80FF00,55,188,132,5,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.09,0.45,0.46,0.46,0.46,0.46,0.81,0.52,0.53,0.64,0.53,0.53
57153eb9b4bed,35,Female,31,no,objTwoColors,#80FF00,0,118,93,2,Red      ,Green    ,0.24,0.11,0.25,0.1,0.16,0.1,0.56,0.58,0.58,0.59,0.58,0.7,0.54,0.55,0.62,0.56,0.55
57190633f233f,30,Male,32,no,objTwoColors,#80FF00,56,247,206,4,Green    ,Blue     ,0.59,0.36,0.21,0.03,0.06,0.13,0.67,0.68,0.66,0.67,0.68,1.03,0.74,0.75,0.84,0.74,0.75
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF00,195,65,180,5,Sky-Blue ,Yellow   ,0.67,0.04,0.16,0.05,0.1,0.1,0.38,0.4,0.35,0.41,0.4,0.2,0.15,0.16,0.08,0.17,0.16
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF00,99,110,954,4,Green    ,Green    ,0.65,0.03,0.3,0.12,0.23,0.23,0.15,0.16,0.25,0.17,0.16,0.69,0.38,0.38,0.52,0.39,0.38
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF00,59,186,100,5,Green    ,Cyan     ,0.36,0.04,0.22,0.06,0.12,0.1,0.42,0.44,0.44,0.44,0.44,0.8,0.51,0.52,0.62,0.52,0.52
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF00,59,147,180,4,Green    ,NA       ,0.44,0.03,0.21,0.09,0.18,0.15,0.27,0.29,0.31,0.3,0.29,0.65,0.36,0.37,0.49,0.38,0.37
5745b5cbe3caa,34,Female,32,no,objTwoColors,#80FF00,99,49,574,2,Green    ,Green    ,0.64,0.05,0.3,0.12,0.2,0.15,0.05,0.05,0.09,0.04,0.05,0.59,0.28,0.27,0.36,0.26,0.27
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF00,195,52,105,4,Sky-Blue ,Green    ,0.68,0.04,0.16,0.05,0.09,0.09,0.39,0.4,0.31,0.39,0.4,0.21,0.16,0.16,0.04,0.15,0.16
