id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5710cd99df604,23,Female,32,no,objTwoColors,#80FF00,85,0,163,3,DK-Green ,Red      ,0.76,0.19,0.27,0.11,0.16,0.09,0.32,0.32,0.31,0.3,0.32,0.81,0.5,0.5,0.58,0.48,0.5
5710ce6c1308c,23,Female,32,no,objTwoColors,#80FF00,211,57,101,4,Blue     ,Green    ,0.72,0.04,0.23,0.03,0.06,0.1,0.47,0.48,0.41,0.48,0.48,0.09,0.24,0.24,0.14,0.24,0.24
5710d71ff24c3,20,Female,32,no,objTwoColors,#80FF00,56,225,106,5,Green    ,Blue     ,0.57,0.05,0.21,0.02,0.03,0.12,0.64,0.65,0.64,0.65,0.65,1,0.71,0.72,0.82,0.72,0.72
5710d8d6aecd6,23,Female,7,no,objTwoColors,#80FF00,217,57,276,3,Blue     ,Green    ,0.74,0.05,0.27,0.03,0.04,0.11,0.5,0.51,0.45,0.51,0.51,0.06,0.27,0.27,0.17,0.27,0.27
5710e540a9514,52,Female,32,no,objTwoColors,#80FF00,134,0,176,2,Green    ,Red      ,0.82,0.08,0.29,0.09,0.14,0.09,0.31,0.31,0.3,0.29,0.31,0.81,0.49,0.49,0.57,0.47,0.49
5710e60f69205,24,Female,31,no,objTwoColors,#80FF00,53,193,400,4,Green    ,Sky-Blue ,0.37,0.04,0.2,0.05,0.09,0.09,0.49,0.5,0.49,0.5,0.5,0.84,0.56,0.56,0.66,0.57,0.56
5710ee9e58646,25,Female,32,yes,objTwoColors,#80FF00,56,198,110,4,Green    ,Navy-Blue,0.42,0.04,0.21,0.05,0.09,0.09,0.51,0.52,0.51,0.52,0.52,0.87,0.58,0.59,0.69,0.59,0.59
57110028bc74b,48,Female,32,no,objTwoColors,#80FF00,0,73,120,5,Red      ,Yellow   ,0.21,0.22,0.25,0.12,0.18,0.09,0.46,0.48,0.47,0.49,0.48,0.6,0.44,0.45,0.51,0.46,0.45
571103343658b,20,Female,32,no,objTwoColors,#80FF00,85,90,153,5,DK-Green ,Green    ,0.59,0.01,0.27,0.11,0.21,0.2,0.15,0.15,0.2,0.17,0.15,0.64,0.33,0.33,0.47,0.35,0.33
57112a657ac25,20,Female,24,no,objTwoColors,#80FF00,85,0,110,3,DK-Green ,Red      ,0.76,0.19,0.27,0.11,0.16,0.09,0.32,0.32,0.31,0.3,0.32,0.81,0.5,0.5,0.58,0.48,0.5
57112b9e10661,64,Female,34,no,objTwoColors,#80FF00,197,58,69,2,LI-Blue  ,Green    ,0.67,0.04,0.17,0.05,0.09,0.09,0.38,0.4,0.34,0.4,0.4,0.18,0.15,0.16,0.07,0.15,0.16
57112d8509632,45,Female,32,no,objTwoColors,#80FF00,224,57,337,5,Blue     ,Green    ,0.76,0.05,0.32,0.03,0.03,0.12,0.53,0.54,0.48,0.54,0.54,0.03,0.3,0.3,0.2,0.3,0.3
57112da850667,22,Female,47,no,objTwoColors,#80FF00,59,120,186,4,Green    ,Green    ,0.52,0,0.21,0.11,0.2,0.17,0.28,0.3,0.32,0.31,0.3,0.66,0.37,0.38,0.5,0.39,0.38
57112ebc85ba1,18,Female,32,no,objTwoColors,#80FF00,177,63,223,5,Blue     ,Green    ,0.63,0.05,0.16,0.06,0.13,0.11,0.27,0.29,0.24,0.3,0.29,0.3,0.04,0.05,0.13,0.06,0.05
