id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5710ee9e58646,objTwoColors,#80FF00,56,198,110,4,Green    ,Navy-Blue,0.42,0.04,0.21,0.05,0.09,0.09,0.51,0.52,0.51,0.52,0.52,0.87,0.58,0.59,0.69,0.59,0.59
571151812791a,objTwoColors,#80FF00,192,47,76,3,Sky-Blue ,Green    ,0.68,0.05,0.16,0.05,0.08,0.08,0.4,0.4,0.31,0.39,0.4,0.26,0.17,0.17,0.04,0.15,0.17
572767049ccfa,objTwoColors,#80FF00,5,227,103,4,Red      ,Blue     ,0.31,0.43,0.16,0.09,0.17,0.17,0.91,0.92,0.9,0.92,0.92,1.05,0.89,0.89,0.93,0.9,0.89
572c85675a5ef,objTwoColors,#80FF00,94,97,223,5,Green    ,Green    ,0.63,0.02,0.29,0.12,0.22,0.22,0.14,0.15,0.22,0.16,0.15,0.67,0.36,0.35,0.49,0.37,0.35
5739ff85289b2,objTwoColors,#80FF00,333,33,137,1,Magenta  ,Orange   ,0.42,0.39,0.28,0.14,0.22,0.12,0.52,0.52,0.45,0.51,0.52,0.56,0.43,0.42,0.41,0.41,0.42
573a059da0efd,objTwoColors,#80FF00,195,65,180,5,Sky-Blue ,Yellow   ,0.67,0.04,0.16,0.05,0.1,0.1,0.38,0.4,0.35,0.41,0.4,0.2,0.15,0.16,0.08,0.17,0.16
573a0b8280839,objTwoColors,#80FF00,164,54,144,3,Green    ,Green    ,0.63,0.04,0.2,0.08,0.14,0.11,0.2,0.21,0.12,0.2,0.21,0.39,0.07,0.07,0.17,0.06,0.07
573c70dabcfe0,objTwoColors,#80FF00,59,231,305,2,Green    ,Blue     ,0.59,0.07,0.22,0.03,0.04,0.12,0.64,0.66,0.65,0.66,0.66,1.02,0.73,0.74,0.83,0.74,0.74
573c783748e8b,objTwoColors,#80FF00,99,110,954,4,Green    ,Green    ,0.65,0.03,0.3,0.12,0.23,0.23,0.15,0.16,0.25,0.17,0.16,0.69,0.38,0.38,0.52,0.39,0.38
573e47c26cb8e,objTwoColors,#80FF00,58,249,206,3,Green    ,Blue     ,0.59,0.36,0.22,0.03,0.06,0.13,0.65,0.66,0.65,0.66,0.66,1.02,0.73,0.74,0.83,0.74,0.74
573e4d0eb795b,objTwoColors,#80FF00,58,236,88,5,Green    ,Blue     ,0.59,0.08,0.22,0.03,0.06,0.13,0.66,0.67,0.65,0.66,0.67,1.03,0.74,0.75,0.83,0.74,0.75
573edae85268b,objTwoColors,#80FF00,235,59,162,4,Blue     ,Green    ,0.78,0.08,0.38,0.03,0.06,0.13,0.55,0.57,0.51,0.58,0.57,0.01,0.32,0.33,0.24,0.34,0.33
5740a8b59d448,objTwoColors,#80FF00,59,186,100,5,Green    ,Cyan     ,0.36,0.04,0.22,0.06,0.12,0.1,0.42,0.44,0.44,0.44,0.44,0.8,0.51,0.52,0.62,0.52,0.52
5740ad339507d,objTwoColors,#80FF00,218,58,116,4,Blue     ,Green    ,0.74,0.05,0.28,0.03,0.04,0.11,0.51,0.52,0.46,0.52,0.52,0.06,0.28,0.28,0.19,0.28,0.28
5740b686127bb,objTwoColors,#80FF00,59,147,180,4,Green    ,NA       ,0.44,0.03,0.21,0.09,0.18,0.15,0.27,0.29,0.31,0.3,0.29,0.65,0.36,0.37,0.49,0.38,0.37
5740bda9be3dc,objTwoColors,#80FF00,57,186,105,5,Green    ,Cyan     ,0.35,0.05,0.21,0.06,0.11,0.1,0.43,0.45,0.44,0.45,0.45,0.8,0.51,0.52,0.63,0.52,0.52
574859b8f3379,objTwoColors,#80FF00,195,52,105,4,Sky-Blue ,Green    ,0.68,0.04,0.16,0.05,0.09,0.09,0.39,0.4,0.31,0.39,0.4,0.21,0.16,0.16,0.04,0.15,0.16
5756ab1701ba0,objTwoColors,#80FF00,58,211,142,5,Green    ,Blue     ,0.5,0.04,0.22,0.03,0.06,0.1,0.57,0.58,0.57,0.58,0.58,0.94,0.65,0.66,0.75,0.66,0.66
5756ae6897296,objTwoColors,#80FF00,54,164,350,4,Green    ,Green    ,0.31,0.04,0.2,0.08,0.14,0.11,0.34,0.36,0.35,0.37,0.36,0.7,0.42,0.42,0.53,0.44,0.42
5756b2d9bd658,objTwoColors,#80FF00,57,201,83,5,Green    ,Navy-Blue,0.44,0.04,0.21,0.04,0.08,0.09,0.51,0.53,0.52,0.53,0.53,0.88,0.59,0.6,0.71,0.6,0.6
57581518c2c07,objTwoColors,#80FF00,227,56,95,5,Blue     ,Green    ,0.77,0.06,0.34,0.02,0.04,0.12,0.54,0.55,0.49,0.55,0.55,0.02,0.31,0.31,0.21,0.31,0.31
57582b17cd76a,objTwoColors,#80FF00,58,179,64,3,Green    ,Blue     ,0.31,0.05,0.21,0.06,0.12,0.1,0.4,0.41,0.4,0.41,0.41,0.77,0.48,0.49,0.58,0.49,0.49
