id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
5710cc5a7829c,objTwoColors,#80FF00,57,239,102,5,Green    ,Blue     ,0.59,0.36,0.22,0.03,0.06,0.13,0.66,0.68,0.66,0.68,0.68,1.03,0.74,0.75,0.85,0.75,0.75
5710ce6c1308c,objTwoColors,#80FF00,211,57,101,4,Blue     ,Green    ,0.72,0.04,0.23,0.03,0.06,0.1,0.47,0.48,0.41,0.48,0.48,0.09,0.24,0.24,0.14,0.24,0.24
5710cf445718e,objTwoColors,#80FF00,51,208,114,3,Green    ,NA       ,0.45,0.04,0.19,0.03,0.05,0.09,0.59,0.59,0.58,0.59,0.59,0.93,0.65,0.65,0.74,0.65,0.65
5710d71ff24c3,objTwoColors,#80FF00,56,225,106,5,Green    ,Blue     ,0.57,0.05,0.21,0.02,0.03,0.12,0.64,0.65,0.64,0.65,0.65,1,0.71,0.72,0.82,0.72,0.72
5710d87585247,objTwoColors,#80FF00,250,59,331,3,Blue     ,Green    ,0.77,0.36,0.39,0.03,0.05,0.13,0.55,0.57,0.51,0.58,0.57,0,0.32,0.33,0.24,0.34,0.33
5710d8d6aecd6,objTwoColors,#80FF00,217,57,276,3,Blue     ,Green    ,0.74,0.05,0.27,0.03,0.04,0.11,0.5,0.51,0.45,0.51,0.51,0.06,0.27,0.27,0.17,0.27,0.27
5710e60f69205,objTwoColors,#80FF00,53,193,400,4,Green    ,Sky-Blue ,0.37,0.04,0.2,0.05,0.09,0.09,0.49,0.5,0.49,0.5,0.5,0.84,0.56,0.56,0.66,0.57,0.56
5710ffa5dd7be,objTwoColors,#80FF00,187,58,179,5,Cyan     ,Green    ,0.65,0.04,0.15,0.06,0.11,0.1,0.32,0.33,0.28,0.33,0.33,0.24,0.09,0.1,0.06,0.09,0.1
571103343658b,objTwoColors,#80FF00,85,90,153,5,DK-Green ,Green    ,0.59,0.01,0.27,0.11,0.21,0.2,0.15,0.15,0.2,0.17,0.15,0.64,0.33,0.33,0.47,0.35,0.33
5711106ab212a,objTwoColors,#80FF00,56,116,212,3,Green    ,Green    ,0.51,0.01,0.2,0.12,0.2,0.17,0.3,0.31,0.32,0.32,0.31,0.66,0.37,0.38,0.5,0.39,0.38
