id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,twoColorsObj,#0000FF,#FF00FF,#800080,222,4,NA       ,0.19,0.19,0.12,0.06,0.18,0.12
5711231e370f2,twoColorsObj,#0000FF,#FF00FF,#8000FF,262,3,NA       ,0.11,0.11,0.08,0.15,0.1,0.08
571151812791a,twoColorsObj,#0000FF,#FF00FF,#8000FF,125,2,NA       ,0.11,0.11,0.08,0.15,0.1,0.08
5713a02a13044,twoColorsObj,#0000FF,#FF00FF,#7f00ff,145,3,NA       ,0.11,0.11,0.09,0.15,0.1,0.08
572767049ccfa,twoColorsObj,#0000FF,#FF00FF,#6500FF,92,3,Navy-Blue,0.1,0.1,0.09,0.17,0.09,0.09
572c85675a5ef,twoColorsObj,#0000FF,#FF00FF,#7f00ff,226,2,NA       ,0.11,0.11,0.09,0.15,0.1,0.08
573a059da0efd,twoColorsObj,#0000FF,#FF00FF,#FFFFFF,0,1,NA       ,0.29,0.29,0.23,0.14,0.28,0.23
573a0b8280839,twoColorsObj,#0000FF,#FF00FF,#3F0091,94,3,Navy-Blue,0.1,0.1,0.09,0.16,0.1,0.09
573c70dabcfe0,twoColorsObj,#0000FF,#FF00FF,#B00084,183,2,NA       ,0.25,0.25,0.16,0.05,0.24,0.17
573c783748e8b,twoColorsObj,#0000FF,#FF00FF,#E8A362,330,3,NA       ,0.36,0.36,0.29,0.17,0.35,0.29
573e4022949b1,twoColorsObj,#0000FF,#FF00FF,#9700FF,143,3,NA       ,0.12,0.12,0.08,0.13,0.12,0.08
573e47c26cb8e,twoColorsObj,#0000FF,#FF00FF,#8342FF,132,2,NA       ,0.13,0.13,0.09,0.14,0.12,0.09
573e4d0eb795b,twoColorsObj,#0000FF,#FF00FF,#D9FF00,172,4,NA       ,0.42,0.42,0.34,0.24,0.41,0.35
573edae85268b,twoColorsObj,#0000FF,#FF00FF,#9700FF,196,4,NA       ,0.12,0.12,0.08,0.13,0.12,0.08
5740a8b59d448,twoColorsObj,#0000FF,#FF00FF,#9700FF,176,4,NA       ,0.12,0.12,0.08,0.13,0.12,0.08
5740ad339507d,twoColorsObj,#0000FF,#FF00FF,#9200FF,174,4,NA       ,0.12,0.12,0.08,0.14,0.11,0.08
5740b0f8e9734,twoColorsObj,#0000FF,#FF00FF,#9700FF,62,4,NA       ,0.12,0.12,0.08,0.13,0.12,0.08
5740b686127bb,twoColorsObj,#0000FF,#FF00FF,#3F0091,114,4,Navy-Blue,0.1,0.1,0.09,0.16,0.1,0.09
5740bda9be3dc,twoColorsObj,#0000FF,#FF00FF,#9C0083,254,5,NA       ,0.22,0.22,0.15,0.05,0.22,0.15
5740e3f36a945,twoColorsObj,#0000FF,#FF00FF,#3F0091,115,2,Navy-Blue,0.1,0.1,0.09,0.16,0.1,0.09
574859b8f3379,twoColorsObj,#0000FF,#FF00FF,#8342FF,257,3,NA       ,0.13,0.13,0.09,0.14,0.12,0.09
5756ab1701ba0,twoColorsObj,#0000FF,#FF00FF,#9C0083,176,5,NA       ,0.22,0.22,0.15,0.05,0.22,0.15
5756ae6897296,twoColorsObj,#0000FF,#FF00FF,#B000FF,215,4,NA       ,0.14,0.14,0.08,0.11,0.13,0.09
5756b2d9bd658,twoColorsObj,#0000FF,#FF00FF,#B000FF,398,4,NA       ,0.14,0.14,0.08,0.11,0.13,0.09
5757fd2703090,twoColorsObj,#0000FF,#FF00FF,#430096,59,5,NA       ,0.1,0.1,0.09,0.16,0.1,0.09
5757ffca0b4b1,twoColorsObj,#0000FF,#FF00FF,#7100FF,92,4,NA       ,0.1,0.1,0.09,0.16,0.1,0.09
57581518c2c07,twoColorsObj,#0000FF,#FF00FF,#9B00FF,95,1,NA       ,0.12,0.12,0.08,0.13,0.12,0.08
57582b17cd76a,twoColorsObj,#0000FF,#FF00FF,#9D00FF,69,3,NA       ,0.13,0.13,0.08,0.13,0.12,0.08
