id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cd99df604,23,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,202,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5710ce6c1308c,23,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,967,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5710d71ff24c3,20,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#B1FF00,129,5,NA       ,0.11,0.25,0.11,0.25,0.26,0.12,0.13,0.16
5710d8d6aecd6,23,Female,7,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,225,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5710e540a9514,52,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,195,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5710e60f69205,24,Female,31,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,368,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5710ee9e58646,25,Female,32,yes,twoColorsObj,#0000FF,#FFFF00,#00FF00,236,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57110028bc74b,48,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,539,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
571103343658b,20,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#B1FF00,139,5,NA       ,0.11,0.25,0.11,0.25,0.26,0.12,0.13,0.16
57112a657ac25,20,Female,24,no,twoColorsObj,#0000FF,#FFFF00,#ca0088,225,2,NA       ,0.24,0.1,0.24,0.1,0.2,0.09,0.09,0.04
57112b9e10661,64,Female,34,no,twoColorsObj,#0000FF,#FFFF00,#46ff9c,86,2,NA       ,0.07,0.25,0.07,0.25,0.3,0.08,0.08,0.14
57112d8509632,45,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,131,5,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57112da850667,22,Female,47,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,113,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57112da850667,22,Female,47,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,49,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57112ebc85ba1,18,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#5792ff,81,2,Sky-Blue ,0.22,0.25,0.22,0.25,0.35,0.15,0.13,0.14
5711300507308,21,Female,13,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,162,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
571130c5cd6e9,24,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#008080,360,4,NA       ,0.13,0.24,0.13,0.24,0.32,0.09,0.06,0.11
571130d934bda,22,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,162,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57113163e6fb1,20,Female,10,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,91,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5711348e42f02,19,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,342,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
571137a34931a,27,Female,25,no,twoColorsObj,#0000FF,#FFFF00,#6effa3,481,3,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
571137cd27765,18,Female,8,no,twoColorsObj,#0000FF,#FFFF00,#7d93a6,48,1,NA       ,0.16,0.2,0.16,0.2,0.28,0.06,0.03,0.07
57113d4d93c81,18,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,166,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57113e6176346,23,Female,30,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,194,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57114ae35c9ec,47,Female,11,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,209,5,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
571154184c9bd,47,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#46ff9c,9,5,NA       ,0.07,0.25,0.07,0.25,0.3,0.08,0.08,0.14
571163013744e,53,Female,13,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,7,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711641931da5,20,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#c9ab00,32,3,NA       ,0.16,0.19,0.16,0.19,0.21,0.09,0.12,0.13
571165992a5c1,67,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#6effa3,172,3,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
5711703bd85fc,18,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF80,164,5,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
5711800f2c5f3,59,Female,31,no,twoColorsObj,#0000FF,#FFFF00,#808000,58,4,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
