id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,twoColorsObj,#0000FF,#FFFF00,#00FF00,236,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711231e370f2,twoColorsObj,#0000FF,#FFFF00,#808000,12,3,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
571151812791a,twoColorsObj,#0000FF,#FFFF00,#aeff00,117,3,NA       ,0.11,0.25,0.11,0.25,0.27,0.12,0.13,0.16
5713a02a13044,twoColorsObj,#0000FF,#FFFF00,#91c01d,151,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
572767049ccfa,twoColorsObj,#0000FF,#FFFF00,#998077,148,2,NA       ,0.15,0.17,0.15,0.17,0.23,0,0.03,0.05
572c85675a5ef,twoColorsObj,#0000FF,#FFFF00,#00acff,802,2,Cyan     ,0.2,0.25,0.2,0.25,0.35,0.14,0.11,0.14
5739ff85289b2,twoColorsObj,#0000FF,#FFFF00,#FAFF00,64,5,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
573a059da0efd,twoColorsObj,#0000FF,#FFFF00,#998077,404,5,NA       ,0.15,0.17,0.15,0.17,0.23,0,0.03,0.05
573c70dabcfe0,twoColorsObj,#0000FF,#FFFF00,#E576FF,188,3,NA       ,0.22,0.18,0.22,0.18,0.28,0.1,0.09,0.08
573c783748e8b,twoColorsObj,#0000FF,#FFFF00,#998077,201,3,NA       ,0.15,0.17,0.15,0.17,0.23,0,0.03,0.05
573e4022949b1,twoColorsObj,#0000FF,#FFFF00,#00B146,194,2,NA       ,0.06,0.28,0.06,0.28,0.31,0.12,0.12,0.17
573e47c26cb8e,twoColorsObj,#0000FF,#FFFF00,#768F00,145,2,NA       ,0.12,0.23,0.12,0.23,0.25,0.11,0.12,0.15
573e4d0eb795b,twoColorsObj,#0000FF,#FFFF00,#00FF00,39,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
573edae85268b,twoColorsObj,#0000FF,#FFFF00,#00A89E,711,3,NA       ,0.12,0.24,0.12,0.24,0.31,0.08,0.06,0.11
5740a8b59d448,twoColorsObj,#0000FF,#FFFF00,#51DF00,523,4,Yellow   ,0.09,0.28,0.09,0.28,0.3,0.14,0.15,0.19
5740ad339507d,twoColorsObj,#0000FF,#FFFF00,#00FF9C,47,3,NA       ,0.06,0.26,0.06,0.26,0.3,0.09,0.09,0.14
5740b0f8e9734,twoColorsObj,#0000FF,#FFFF00,#00A89E,60,4,NA       ,0.12,0.24,0.12,0.24,0.31,0.08,0.06,0.11
5740b686127bb,twoColorsObj,#0000FF,#FFFF00,#008788,87,5,Cyan     ,0.13,0.24,0.13,0.24,0.32,0.09,0.06,0.11
5740bda9be3dc,twoColorsObj,#0000FF,#FFFF00,#51DF00,300,5,Yellow   ,0.09,0.28,0.09,0.28,0.3,0.14,0.15,0.19
5740e3f36a945,twoColorsObj,#0000FF,#FFFF00,#00A89E,41,2,NA       ,0.12,0.24,0.12,0.24,0.31,0.08,0.06,0.11
574859b8f3379,twoColorsObj,#0000FF,#FFFF00,#00B146,82,4,NA       ,0.06,0.28,0.06,0.28,0.31,0.12,0.12,0.17
5756ab1701ba0,twoColorsObj,#0000FF,#FFFF00,#00FF00,38,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5756ae6897296,twoColorsObj,#0000FF,#FFFF00,#00FFFF,119,4,NA       ,0.13,0.24,0.13,0.24,0.32,0.09,0.06,0.11
5756b2d9bd658,twoColorsObj,#0000FF,#FFFF00,#006C84,334,4,Cyan     ,0.17,0.24,0.17,0.24,0.33,0.11,0.08,0.12
5757fd2703090,twoColorsObj,#0000FF,#FFFF00,#00B746,45,5,NA       ,0.06,0.28,0.06,0.28,0.31,0.12,0.13,0.17
5757ffca0b4b1,twoColorsObj,#0000FF,#FFFF00,#749300,186,3,NA       ,0.12,0.23,0.12,0.23,0.25,0.11,0.13,0.15
57581518c2c07,twoColorsObj,#0000FF,#FFFF00,#00FF77,62,5,NA       ,0.06,0.27,0.06,0.27,0.31,0.11,0.11,0.16
57582b17cd76a,twoColorsObj,#0000FF,#FFFF00,#00FF77,39,4,NA       ,0.06,0.27,0.06,0.27,0.31,0.11,0.11,0.16
