id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,342,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5710cc5a7829c,27,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,134,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5710cf445718e,25,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#7f00ff,107,2,NA       ,0.29,0.27,0.29,0.27,0.37,0.21,0.19,0.18
5710d140b7c5a,26,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#6effa3,168,3,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
5710d243c9715,22,Male,2,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,169,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5710d28fec2d1,30,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,225,1,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5710d9dcc23f0,21,Male,18,no,twoColorsObj,#0000FF,#FFFF00,#c9ab00,23,3,NA       ,0.16,0.19,0.16,0.19,0.21,0.09,0.12,0.13
5710ea84d4c6f,25,Male,5,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,501,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5710ee3fd83e6,23,Male,7,no,twoColorsObj,#0000FF,#FFFF00,#FF8000,350,3,NA       ,0.22,0.14,0.22,0.14,0.14,0.11,0.14,0.12
5711106ab212a,33,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,150,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711148c11035,35,Male,22,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,17,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57111f6c42412,22,Male,34,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,180,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711231e370f2,24,Male,32,yes,twoColorsObj,#0000FF,#FFFF00,#808000,12,3,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
57112ce735a14,19,Male,6,no,twoColorsObj,#0000FF,#FFFF00,#00FF80,42,4,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
57112de7f0c00,24,Male,3,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,131,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57112e43d4668,19,Male,3,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,116,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57112fc882a10,18,Male,3,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,211,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57113a5534205,22,Male,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,238,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57113b7f16c4b,22,Male,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,610,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57113de4aed1a,21,Male,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,132,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
571151812791a,20,Male,32,yes,twoColorsObj,#0000FF,#FFFF00,#aeff00,117,3,NA       ,0.11,0.25,0.11,0.25,0.27,0.12,0.13,0.16
571153ca15566,32,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,179,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57116b9b879bf,20,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,144,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57119224388ef,24,Male,31,no,twoColorsObj,#0000FF,#FFFF00,#808000,13,5,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
5711ace2ee7ed,24,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,168,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711cbde51bb0,24,Male,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF80,169,4,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
571210e10d88b,23,Male,19,no,twoColorsObj,#0000FF,#FFFF00,#00FF80,2254,3,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
571214121717c,22,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,103,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57121e2a63601,21,Male,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,387,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57123bec83e8e,21,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,213,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
571247f66fb51,27,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#FFFFFF,25,5,NA       ,0.15,0.19,0.15,0.19,0.26,0.03,0,0.06
571260c120253,22,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#46ff9c,147,3,NA       ,0.07,0.25,0.07,0.25,0.3,0.08,0.08,0.14
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,155,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712a47f6f8a6,44,Male,12,no,twoColorsObj,#0000FF,#FFFF00,#FF6F00,460,2,NA       ,0.23,0.12,0.23,0.12,0.13,0.12,0.14,0.12
5713b10383207,40,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,178,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57190633f233f,30,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,87,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
572106a31c230,24,Male,16,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,290,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
572767049ccfa,24,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#998077,148,2,NA       ,0.15,0.17,0.15,0.17,0.23,0,0.03,0.05
57277ba3c5a5c,20,Male,8,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,118,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
572c85675a5ef,23,Male,32,yes,twoColorsObj,#0000FF,#FFFF00,#00acff,802,2,Cyan     ,0.2,0.25,0.2,0.25,0.35,0.14,0.11,0.14
5734918f46823,26,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,130,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5734aa4c927a8,22,Male,15,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,180,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5735d3455a84c,29,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,149,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5736048bb110b,19,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,110,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
573634984323e,19,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,126,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57366c199283c,19,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,94,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5738cf3d97a58,23,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00caff,90,3,Blue     ,0.17,0.25,0.17,0.25,0.33,0.12,0.09,0.12
573c70dabcfe0,49,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#E576FF,188,3,NA       ,0.22,0.18,0.22,0.18,0.28,0.1,0.09,0.08
573e4022949b1,24,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#00B146,194,2,NA       ,0.06,0.28,0.06,0.28,0.31,0.12,0.12,0.17
573e47c26cb8e,24,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#768F00,145,2,NA       ,0.12,0.23,0.12,0.23,0.25,0.11,0.12,0.15
573e4d0eb795b,24,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#00FF00,39,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
573edae85268b,27,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#00A89E,711,3,NA       ,0.12,0.24,0.12,0.24,0.31,0.08,0.06,0.11
5740ad339507d,40,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#00FF9C,47,3,NA       ,0.06,0.26,0.06,0.26,0.3,0.09,0.09,0.14
5740b0f8e9734,62,Male,33,yes,twoColorsObj,#0000FF,#CBFF00,#00A89E,60,4,NA       ,0.12,0.24,0.12,0.24,0.31,0.08,0.06,0.11
5740b686127bb,32,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#008788,87,5,Cyan     ,0.13,0.24,0.13,0.24,0.32,0.09,0.06,0.11
574297edae49c,24,Male,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,164,2,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57459c393bbd0,29,Male,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,152,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745f6f039dc9,15,Male,33,no,twoColorsObj,#0000FF,#FFFF00,#FFFFFF,0,4,NA       ,0.15,0.19,0.15,0.19,0.26,0.03,0,0.06
574859b8f3379,30,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#00B146,82,4,NA       ,0.06,0.28,0.06,0.28,0.31,0.12,0.12,0.17
5756ab1701ba0,21,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#00FF00,38,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5756ae6897296,21,Male,32,yes,twoColorsObj,#0000FF,#CBFF00,#00FFFF,119,4,NA       ,0.13,0.24,0.13,0.24,0.32,0.09,0.06,0.11
5757fd2703090,22,Male,32,yes,twoColorsObj,#0000FF,#FFFF00,#00B746,45,5,NA       ,0.06,0.28,0.06,0.28,0.31,0.12,0.13,0.17
5757ffca0b4b1,24,Male,32,yes,twoColorsObj,#0000FF,#FFFF00,#749300,186,3,NA       ,0.12,0.23,0.12,0.23,0.25,0.11,0.13,0.15
57581518c2c07,25,Male,32,yes,twoColorsObj,#0000FF,#FFFF00,#00FF77,62,5,NA       ,0.06,0.27,0.06,0.27,0.31,0.11,0.11,0.16
57582b17cd76a,26,Male,32,yes,twoColorsObj,#0000FF,#FFFF00,#00FF77,39,4,NA       ,0.06,0.27,0.06,0.27,0.31,0.11,0.11,0.16
