id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cc5a7829c,twoColorsObj,#0000FF,#FFFF00,#00FF00,134,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5710cd99df604,twoColorsObj,#0000FF,#FFFF00,#80FF00,202,5,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5710ce6c1308c,twoColorsObj,#0000FF,#FFFF00,#91c01d,967,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5710cf445718e,twoColorsObj,#0000FF,#FFFF00,#7f00ff,107,2,NA       ,0.29,0.27,0.29,0.27,0.37,0.21,0.19,0.18
5710d140b7c5a,twoColorsObj,#0000FF,#FFFF00,#6effa3,168,3,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
5710d243c9715,twoColorsObj,#0000FF,#FFFF00,#80FF00,169,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5710d28fec2d1,twoColorsObj,#0000FF,#FFFF00,#80FF00,225,1,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5710d71ff24c3,twoColorsObj,#0000FF,#FFFF00,#B1FF00,129,5,NA       ,0.11,0.25,0.11,0.25,0.26,0.12,0.13,0.16
5710d8d6aecd6,twoColorsObj,#0000FF,#FFFF00,#91c01d,225,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5710d9dcc23f0,twoColorsObj,#0000FF,#FFFF00,#c9ab00,23,3,NA       ,0.16,0.19,0.16,0.19,0.21,0.09,0.12,0.13
5710e540a9514,twoColorsObj,#0000FF,#FFFF00,#00FF00,195,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5710e60f69205,twoColorsObj,#0000FF,#FFFF00,#91c01d,368,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5710ea84d4c6f,twoColorsObj,#0000FF,#FFFF00,#00FF00,501,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5710ee3fd83e6,twoColorsObj,#0000FF,#FFFF00,#FF8000,350,3,NA       ,0.22,0.14,0.22,0.14,0.14,0.11,0.14,0.12
57110028bc74b,twoColorsObj,#0000FF,#FFFF00,#80FF00,539,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
571103343658b,twoColorsObj,#0000FF,#FFFF00,#B1FF00,139,5,NA       ,0.11,0.25,0.11,0.25,0.26,0.12,0.13,0.16
5711106ab212a,twoColorsObj,#0000FF,#FFFF00,#00FF00,150,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5711148c11035,twoColorsObj,#0000FF,#FFFF00,#00FF00,17,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57111f6c42412,twoColorsObj,#0000FF,#FFFF00,#00FF00,180,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
57112a657ac25,twoColorsObj,#0000FF,#FFFF00,#ca0088,225,2,NA       ,0.24,0.1,0.24,0.1,0.2,0.09,0.09,0.04
57112b9e10661,twoColorsObj,#0000FF,#FFFF00,#46ff9c,86,2,NA       ,0.07,0.25,0.07,0.25,0.3,0.08,0.08,0.14
