id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7
57112e639a100,18,Male,5,no,objTwoColors,#7f00ff,195,9,582,5,Sky-Blue ,Red      ,0.83,0.03,0.16,0.02,0.04,0.07,0.5,0.47,0.22,0.49,0.47,0.17,0.44
57112ebc85ba1,18,Female,32,no,objTwoColors,#7f00ff,7,229,100,5,Red      ,Blue     ,0.32,0.11,0.16,0.09,0.17,0.18,0.77,0.74,0.87,0.78,0.74,0.83,0.61
5711348e42f02,19,Female,32,no,objTwoColors,#7f00ff,348,247,139,4,Red      ,Blue     ,0.35,0.11,0.19,0.1,0.22,0.21,0.75,0.72,0.84,0.76,0.72,0.81,0.61
57113d4d93c81,18,Female,32,no,objTwoColors,#7f00ff,300,251,309,4,Pink     ,Blue     ,0.68,0.01,0.29,0.13,0.28,0.34,0.42,0.39,0.52,0.43,0.39,0.56,0.46
5711703bd85fc,18,Female,32,no,objTwoColors,#7f00ff,323,237,193,5,Magenta  ,Blue     ,0.54,0.02,0.27,0.12,0.27,0.29,0.56,0.54,0.66,0.57,0.54,0.65,0.49
5712a254e00f7,18,Female,18,no,objTwoColors,#7f00ff,0,289,136,3,Red      ,Navy-Blue,0.24,0.28,0.17,0.14,0.18,0.16,0.64,0.61,0.73,0.65,0.61,0.7,0.49
5734d89183dab,19,Female,29,no,objTwoColors,#7f00ff,233,318,115,4,Blue     ,Pink     ,0.78,0.01,0.12,0.12,0.27,0.3,0.07,0.1,0.22,0.06,0.1,0.32,0.38
5734e397122ce,19,Male,6,no,objTwoColors,#7f00ff,330,355,128,1,Magenta  ,Red      ,0.55,0.42,0.28,0.2,0.24,0.18,0.71,0.66,0.45,0.7,0.66,0.42,0.59
5736048bb110b,19,Male,32,no,objTwoColors,#7f00ff,268,266,205,5,Blue     ,Blue     ,0.8,0.03,0.17,0.18,0.3,0.39,0.23,0.2,0.45,0.24,0.2,0.55,0.49
573613f4689a3,18,Male,7,no,objTwoColors,#7f00ff,269,270,306,3,Blue     ,Blue     ,0.79,0.02,0.17,0.18,0.29,0.38,0.23,0.2,0.44,0.24,0.2,0.54,0.48
573634984323e,19,Male,32,no,objTwoColors,#7f00ff,3,239,190,4,Red      ,Blue     ,0.32,0.13,0.16,0.09,0.19,0.19,0.78,0.75,0.88,0.79,0.75,0.85,0.63
57366c199283c,19,Male,32,no,objTwoColors,#7f00ff,330,267,104,1,Magenta  ,Blue     ,0.45,0.11,0.25,0.11,0.2,0.25,0.58,0.55,0.68,0.59,0.55,0.65,0.48
57427cf6bad0c,19,Female,32,no,objTwoColors,#7f00ff,201,334,316,3,Navy-Blue,Magenta  ,0.77,0.03,0.18,0.07,0.17,0.17,0.35,0.31,0.07,0.34,0.31,0.08,0.36
574511e99b6d9,19,Female,32,no,objTwoColors,#7f00ff,213,2,108,2,Blue     ,Red      ,0.9,0.06,0.24,0.07,0.13,0.13,0.4,0.37,0.18,0.38,0.37,0.27,0.55
5745350dc1e22,19,Female,31,no,objTwoColors,#7f00ff,226,331,168,4,Blue     ,Magenta  ,0.82,0.02,0.31,0.11,0.24,0.25,0.19,0.19,0.1,0.18,0.19,0.2,0.46
5745c1c07cc0c,18,Other,31,no,objTwoColors,#7f00ff,220,353,362,4,Blue     ,Red      ,0.91,0.06,0.29,0.08,0.17,0.16,0.35,0.33,0.2,0.34,0.33,0.3,0.58
5745f6f039dc9,15,Male,33,no,objTwoColors,#7f00ff,237,0,638,1,Blue     ,Red      ,0.95,0.11,0.39,0.09,0.19,0.19,0.34,0.36,0.25,0.32,0.36,0.35,0.63
