id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7
5710d28fec2d1,30,Male,32,no,objTwoColors,#7f00ff,0,272,205,1,Red      ,Blue     ,0.28,0.22,0.16,0.11,0.17,0.18,0.72,0.69,0.81,0.73,0.69,0.78,0.57
5711106ab212a,33,Male,32,no,objTwoColors,#7f00ff,9,210,70,4,Red      ,Blue     ,0.25,0.07,0.17,0.06,0.1,0.12,0.73,0.7,0.82,0.74,0.7,0.78,0.57
5711148c11035,35,Male,22,no,objTwoColors,#7f00ff,307,209,133,2,Pink     ,NA       ,0.55,0.05,0.29,0.11,0.26,0.28,0.4,0.37,0.49,0.41,0.37,0.51,0.41
57112e1a2bbbb,32,Male,16,no,objTwoColors,#7f00ff,224,225,128,2,Blue     ,Blue     ,0.84,0.06,0.14,0.21,0.32,0.41,0.24,0.26,0.49,0.25,0.26,0.58,0.52
571153ca15566,32,Male,32,no,objTwoColors,#7f00ff,236,300,267,4,Blue     ,Pink     ,0.78,0.02,0.15,0.13,0.29,0.34,0.05,0.1,0.33,0.06,0.1,0.43,0.37
571252e6d2e70,31,Female,32,no,objTwoColors,#7f00ff,228,319,402,5,Blue     ,Pink     ,0.78,0,0.31,0.12,0.27,0.29,0.09,0.11,0.2,0.08,0.11,0.3,0.38
57153eb9b4bed,35,Female,31,no,objTwoColors,#7f00ff,0,265,97,5,Red      ,Blue     ,0.29,0.19,0.16,0.1,0.17,0.18,0.74,0.71,0.84,0.75,0.71,0.81,0.59
57190633f233f,30,Male,32,no,objTwoColors,#7f00ff,241,300,197,2,Blue     ,Pink     ,0.78,0.02,0.15,0.13,0.29,0.34,0.05,0.1,0.34,0.06,0.1,0.43,0.37
573a059da0efd,31,Female,32,yes,objTwoColors,#B100FF,0,0,0,1,Red      ,Red      ,0.39,0.49,0.25,0.24,0.3,0.22,0.88,0.82,0.6,0.86,0.82,0.57,0.7
573c783748e8b,37,Female,32,yes,objTwoColors,#B100FF,351,212,383,3,Red      ,Blue     ,0.26,0.03,0.19,0.07,0.15,0.14,0.71,0.68,0.8,0.72,0.68,0.77,0.57
5740a8b59d448,31,Female,32,yes,objTwoColors,#B100FF,4,214,115,4,Red      ,Blue     ,0.25,0.07,0.17,0.07,0.13,0.13,0.74,0.71,0.83,0.75,0.71,0.79,0.59
5740b686127bb,32,Male,32,yes,objTwoColors,#B100FF,211,328,172,4,Blue     ,Magenta  ,0.77,0.02,0.22,0.1,0.22,0.22,0.23,0.21,0.07,0.22,0.21,0.15,0.37
5745b5cbe3caa,34,Female,32,no,objTwoColors,#7f00ff,323,219,215,3,Magenta  ,Blue     ,0.49,0.01,0.27,0.11,0.25,0.26,0.53,0.51,0.63,0.54,0.51,0.62,0.46
574859b8f3379,30,Male,32,yes,objTwoColors,#B100FF,303,256,755,3,Pink     ,Blue     ,0.66,0.02,0.29,0.13,0.26,0.33,0.42,0.39,0.52,0.43,0.39,0.56,0.45
