id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7
5710cd99df604,23,Female,32,no,objTwoColors,#7f00ff,234,354,264,4,Blue     ,Red      ,0.94,0.09,0.38,0.09,0.2,0.19,0.32,0.34,0.24,0.3,0.34,0.34,0.62
5710ce6c1308c,23,Female,32,no,objTwoColors,#7f00ff,348,219,113,4,Red      ,Blue     ,0.3,0.04,0.2,0.08,0.18,0.17,0.72,0.69,0.81,0.73,0.69,0.78,0.58
5710d71ff24c3,20,Female,32,no,objTwoColors,#7f00ff,350,116,266,4,Red      ,Green    ,0.26,0.45,0.26,0.08,0.14,0.08,0.96,0.92,0.84,0.96,0.92,0.81,0.8
5710d7b312b93,23,Female,1,no,objTwoColors,#7f00ff,0,0,0,5,Red      ,Red      ,0.39,0.49,0.25,0.24,0.3,0.22,0.88,0.82,0.6,0.86,0.82,0.57,0.7
5710e540a9514,52,Female,32,no,objTwoColors,#7f00ff,203,308,146,4,Navy-Blue,Pink     ,0.69,0.06,0.19,0.1,0.25,0.26,0.13,0.12,0.22,0.14,0.12,0.25,0.19
5710e60f69205,24,Female,31,no,objTwoColors,#7f00ff,204,8,218,4,Navy-Blue,Red      ,0.86,0.05,0.19,0.05,0.08,0.1,0.45,0.41,0.18,0.44,0.41,0.22,0.5
5710ee9e58646,25,Female,32,yes,objTwoColors,#7f00ff,326,202,267,4,Magenta  ,Navy-Blue,0.37,0.04,0.27,0.08,0.2,0.2,0.53,0.5,0.6,0.54,0.5,0.59,0.44
57110028bc74b,48,Female,32,no,objTwoColors,#7f00ff,0,208,73,4,Red      ,NA       ,0.21,0.04,0.17,0.06,0.12,0.11,0.73,0.7,0.81,0.74,0.7,0.78,0.58
571103343658b,20,Female,32,no,objTwoColors,#7f00ff,280,274,358,4,Blue     ,Blue     ,0.73,0.01,0.18,0.15,0.26,0.35,0.25,0.22,0.4,0.26,0.22,0.5,0.43
57112a657ac25,20,Female,24,no,objTwoColors,#7f00ff,264,279,317,3,Blue     ,Blue     ,0.78,0.01,0.16,0.17,0.29,0.37,0.17,0.16,0.41,0.18,0.16,0.51,0.45
57112b9e10661,64,Female,34,no,objTwoColors,#7f00ff,201,286,884,2,Navy-Blue,Purple   ,0.72,0.07,0.18,0.13,0.26,0.31,0.26,0.24,0.34,0.27,0.24,0.35,0.29
57112d8509632,45,Female,32,no,objTwoColors,#7f00ff,13,190,182,1,Red      ,Sky-Blue ,0.13,0.5,0.18,0.02,0.02,0.05,0.72,0.68,0.76,0.72,0.68,0.72,0.55
57112da850667,22,Female,47,no,objTwoColors,#7f00ff,0,300,240,3,Red      ,Pink     ,0.22,0.33,0.18,0.16,0.19,0.16,0.59,0.56,0.68,0.6,0.56,0.65,0.44
57112da850667,22,Female,47,no,objTwoColors,#7f00ff,343,221,33,4,Red      ,Blue     ,0.34,0.03,0.22,0.09,0.2,0.2,0.7,0.67,0.79,0.71,0.67,0.76,0.56
57112ebc85ba1,18,Female,32,no,objTwoColors,#7f00ff,7,229,100,5,Red      ,Blue     ,0.32,0.11,0.16,0.09,0.17,0.18,0.77,0.74,0.87,0.78,0.74,0.83,0.61
571130c5cd6e9,24,Female,32,no,objTwoColors,#7f00ff,228,316,127,5,Blue     ,Pink     ,0.78,0.01,0.11,0.12,0.27,0.3,0.07,0.09,0.23,0.06,0.09,0.33,0.36
571130d934bda,22,Female,32,no,objTwoColors,#7f00ff,318,185,169,3,Pink     ,Blue     ,0.32,0.07,0.28,0.07,0.18,0.18,0.49,0.45,0.51,0.49,0.45,0.51,0.42
5711348e42f02,19,Female,32,no,objTwoColors,#7f00ff,348,247,139,4,Red      ,Blue     ,0.35,0.11,0.19,0.1,0.22,0.21,0.75,0.72,0.84,0.76,0.72,0.81,0.61
57113d4d93c81,18,Female,32,no,objTwoColors,#7f00ff,300,251,309,4,Pink     ,Blue     ,0.68,0.01,0.29,0.13,0.28,0.34,0.42,0.39,0.52,0.43,0.39,0.56,0.46
57113d9cc42b5,21,Female,12,no,objTwoColors,#7f00ff,213,315,202,4,Blue     ,Pink     ,0.74,0.04,0.22,0.11,0.25,0.27,0.12,0.1,0.17,0.11,0.1,0.26,0.28
57113e6176346,23,Female,30,no,objTwoColors,#7f00ff,0,282,181,4,Red      ,Purple   ,0.26,0.25,0.17,0.13,0.18,0.17,0.68,0.65,0.77,0.69,0.65,0.74,0.53
571154184c9bd,47,Female,32,no,objTwoColors,#7f00ff,233,0,123,1,Blue     ,Red      ,0.94,0.1,0.38,0.09,0.19,0.19,0.33,0.35,0.25,0.31,0.35,0.35,0.63
5711641931da5,20,Female,32,no,objTwoColors,#7f00ff,300,245,159,4,Pink     ,Blue     ,0.68,0.01,0.29,0.13,0.29,0.34,0.42,0.39,0.52,0.43,0.39,0.56,0.46
571165992a5c1,67,Female,32,no,objTwoColors,#7f00ff,325,221,178,2,Magenta  ,Blue     ,0.48,0.01,0.26,0.11,0.25,0.26,0.56,0.53,0.66,0.57,0.53,0.64,0.47
5711703bd85fc,18,Female,32,no,objTwoColors,#7f00ff,323,237,193,5,Magenta  ,Blue     ,0.54,0.02,0.27,0.12,0.27,0.29,0.56,0.54,0.66,0.57,0.54,0.65,0.49
5711800f2c5f3,59,Female,31,no,objTwoColors,#7f00ff,210,107,198,3,Blue     ,Green    ,0.73,0.36,0.22,0.09,0.11,0.16,0.51,0.49,0.42,0.51,0.49,0.51,0.65
571183866d73f,48,Female,32,no,objTwoColors,#7f00ff,232,0,396,4,Blue     ,Red      ,0.94,0.1,0.37,0.09,0.19,0.18,0.33,0.35,0.25,0.31,0.35,0.35,0.62
5712197fbccd5,24,Female,32,no,objTwoColors,#7f00ff,0,300,139,4,Red      ,Pink     ,0.22,0.33,0.18,0.16,0.19,0.16,0.59,0.56,0.68,0.6,0.56,0.65,0.44
57123e4050550,20,Female,40,no,objTwoColors,#7f00ff,228,305,381,3,Blue     ,Pink     ,0.77,0.03,0.12,0.13,0.28,0.32,0.02,0.06,0.3,0.03,0.06,0.4,0.33
571252e6d2e70,31,Female,32,no,objTwoColors,#7f00ff,228,319,402,5,Blue     ,Pink     ,0.78,0,0.31,0.12,0.27,0.29,0.09,0.11,0.2,0.08,0.11,0.3,0.38
57127bcfaafb0,22,Female,32,no,objTwoColors,#7f00ff,250,8,991,3,Blue     ,Red      ,0.93,0.17,0.39,0.09,0.18,0.19,0.32,0.35,0.25,0.31,0.35,0.35,0.63
571289ef76e18,55,Female,31,no,objTwoColors,#7f00ff,207,349,504,3,Navy-Blue,Red      ,0.86,0.02,0.2,0.06,0.14,0.13,0.41,0.38,0.15,0.4,0.38,0.22,0.5
5712a254e00f7,18,Female,18,no,objTwoColors,#7f00ff,0,289,136,3,Red      ,Navy-Blue,0.24,0.28,0.17,0.14,0.18,0.16,0.64,0.61,0.73,0.65,0.61,0.7,0.49
5712bd55a8a13,27,Female,32,no,objTwoColors,#7f00ff,266,0,220,3,Blue     ,Red      ,0.91,0.2,0.38,0.11,0.17,0.18,0.37,0.31,0.22,0.35,0.31,0.33,0.6
5712c2b021f58,22,Female,32,no,objTwoColors,#7f00ff,180,7,50,4,Blue     ,Red      ,0.8,0.49,0.15,0.05,0.02,0.03,0.59,0.56,0.31,0.58,0.56,0.21,0.36
5712c57f97f25,25,Female,31,no,objTwoColors,#7f00ff,312,229,139,3,Pink     ,Blue     ,0.61,0.02,0.28,0.12,0.28,0.31,0.47,0.45,0.58,0.48,0.45,0.59,0.45
5713a02a13044,24,Female,32,yes,objTwoColors,#7f00ff,7,319,143,2,Red      ,Pink     ,0.24,0.42,0.19,0.19,0.22,0.16,0.63,0.58,0.56,0.62,0.58,0.52,0.45
