id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7
5710ee9e58646,objTwoColors,#7f00ff,326,202,267,4,Magenta  ,Navy-Blue,0.37,0.04,0.27,0.08,0.2,0.2,0.53,0.5,0.6,0.54,0.5,0.59,0.44
571151812791a,objTwoColors,#7f00ff,11,244,141,3,Red      ,Blue     ,0.34,0.16,0.15,0.08,0.18,0.19,0.77,0.74,0.86,0.78,0.74,0.82,0.61
5713a02a13044,objTwoColors,#7f00ff,7,319,143,2,Red      ,Pink     ,0.24,0.42,0.19,0.19,0.22,0.16,0.63,0.58,0.56,0.62,0.58,0.52,0.45
572767049ccfa,objTwoColors,#7f00ff,256,319,380,1,Blue     ,Pink     ,0.77,0.06,0.14,0.12,0.24,0.29,0.09,0.1,0.2,0.08,0.1,0.3,0.38
572c85675a5ef,objTwoColors,#7f00ff,239,279,276,3,Blue     ,Blue     ,0.82,0.05,0.16,0.18,0.32,0.39,0.15,0.2,0.44,0.16,0.2,0.53,0.47
573a0b8280839,objTwoColors,#7f00ff,173,346,597,3,Green    ,Red      ,0.77,0.05,0.18,0.03,0.06,0.05,0.59,0.56,0.31,0.58,0.56,0.2,0.28
573c70dabcfe0,objTwoColors,#7f00ff,230,118,199,3,Blue     ,Green    ,0.79,0.26,0.36,0.11,0.1,0.17,0.44,0.47,0.5,0.44,0.47,0.6,0.74
573c783748e8b,objTwoColors,#7f00ff,351,212,383,3,Red      ,Blue     ,0.26,0.03,0.19,0.07,0.15,0.14,0.71,0.68,0.8,0.72,0.68,0.77,0.57
573e47c26cb8e,objTwoColors,#7f00ff,233,300,297,3,Blue     ,Pink     ,0.77,0.03,0.14,0.13,0.29,0.34,0.04,0.09,0.33,0.05,0.09,0.43,0.37
573edae85268b,objTwoColors,#7f00ff,8,128,135,4,Red      ,Green    ,0.24,0.46,0.24,0.09,0.15,0.1,0.97,0.93,0.86,0.97,0.93,0.82,0.8
5740a8b59d448,objTwoColors,#7f00ff,4,214,115,4,Red      ,Blue     ,0.25,0.07,0.17,0.07,0.13,0.13,0.74,0.71,0.83,0.75,0.71,0.79,0.59
5740ad339507d,objTwoColors,#7f00ff,7,233,77,2,Red      ,Blue     ,0.33,0.12,0.16,0.09,0.18,0.18,0.78,0.75,0.87,0.79,0.75,0.83,0.62
5740b686127bb,objTwoColors,#7f00ff,211,328,172,4,Blue     ,Magenta  ,0.77,0.02,0.22,0.1,0.22,0.22,0.23,0.21,0.07,0.22,0.21,0.15,0.37
5740bda9be3dc,objTwoColors,#7f00ff,318,210,380,5,Pink     ,Blue     ,0.48,0.04,0.28,0.1,0.24,0.25,0.48,0.45,0.57,0.49,0.45,0.57,0.42
574859b8f3379,objTwoColors,#7f00ff,303,256,755,3,Pink     ,Blue     ,0.66,0.02,0.29,0.13,0.26,0.33,0.42,0.39,0.52,0.43,0.39,0.56,0.45
5756ab1701ba0,objTwoColors,#7f00ff,180,300,261,4,Blue     ,Pink     ,0.64,0.07,0.22,0.07,0.19,0.22,0.31,0.3,0.39,0.32,0.3,0.29,0.1
5756ae6897296,objTwoColors,#7f00ff,349,300,345,4,Red      ,Pink     ,0.25,0.28,0.21,0.16,0.18,0.16,0.56,0.53,0.66,0.57,0.53,0.62,0.42
5756b2d9bd658,objTwoColors,#7f00ff,200,303,186,5,Navy-Blue,Pink     ,0.68,0.07,0.18,0.1,0.24,0.26,0.17,0.16,0.27,0.18,0.16,0.27,0.19
5757ffca0b4b1,objTwoColors,#7f00ff,202,352,120,4,Navy-Blue,Red      ,0.85,0.01,0.18,0.05,0.11,0.11,0.45,0.42,0.18,0.44,0.42,0.2,0.48
57581518c2c07,objTwoColors,#7f00ff,176,323,120,4,Blue     ,Magenta  ,0.66,0.07,0.21,0.05,0.15,0.14,0.4,0.37,0.26,0.39,0.37,0.16,0.13
57582b17cd76a,objTwoColors,#7f00ff,5,232,54,3,Red      ,Blue     ,0.32,0.11,0.16,0.09,0.18,0.18,0.78,0.75,0.87,0.79,0.75,0.83,0.63
