id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#7f00ff,211,15,256,5,Blue     ,Red      ,0.86,0.09,0.23,0.05,0.08,0.12,0.39,0.37,0.17,0.38,0.37,0.25,0.53
5710cc2b8a642,24,Male,16,no,objTwoColors,#7f00ff,229,333,318,4,Blue     ,Magenta  ,0.84,0.03,0.33,0.11,0.24,0.25,0.2,0.22,0.11,0.19,0.22,0.21,0.49
5710cc5a7829c,27,Male,32,no,objTwoColors,#7f00ff,4,229,117,5,Red      ,Blue     ,0.31,0.1,0.16,0.09,0.18,0.18,0.77,0.74,0.87,0.78,0.74,0.83,0.62
5710cd9d571f2,23,Male,8,no,objTwoColors,#7f00ff,0,0,0,1,Red      ,Red      ,0.39,0.49,0.25,0.24,0.3,0.22,0.88,0.82,0.6,0.86,0.82,0.57,0.7
5710cf445718e,25,Male,32,no,objTwoColors,#7f00ff,234,75,199,3,Blue     ,Yellow   ,0.77,0.38,0.38,0.07,0.08,0.14,0.37,0.4,0.42,0.36,0.4,0.52,0.68
5710d140b7c5a,26,Male,32,no,objTwoColors,#7f00ff,238,0,76,3,Blue     ,Red      ,0.95,0.12,0.39,0.09,0.19,0.19,0.34,0.36,0.26,0.32,0.36,0.35,0.63
5710d28fec2d1,30,Male,32,no,objTwoColors,#7f00ff,0,272,205,1,Red      ,Blue     ,0.28,0.22,0.16,0.11,0.17,0.18,0.72,0.69,0.81,0.73,0.69,0.78,0.57
5710d8ca226a2,21,Male,4,no,objTwoColors,#7f00ff,0,192,1,5,Red      ,Sky-Blue ,0.11,0.01,0.19,0.03,0.05,0.06,0.72,0.69,0.77,0.73,0.69,0.74,0.57
5710d9dcc23f0,21,Male,18,no,objTwoColors,#7f00ff,262,282,268,3,Blue     ,Purple   ,0.79,0.01,0.16,0.16,0.29,0.37,0.15,0.16,0.4,0.16,0.16,0.5,0.44
5710dc0f49c60,22,Male,11,no,objTwoColors,#7f00ff,0,214,274,4,Red      ,Blue     ,0.25,0.06,0.17,0.08,0.14,0.13,0.74,0.71,0.83,0.75,0.71,0.8,0.59
5710e5bc55564,29,Male,3,no,objTwoColors,#7f00ff,300,157,745,1,Pink     ,Cyan     ,0.46,0.06,0.31,0.04,0.15,0.16,0.49,0.45,0.44,0.49,0.45,0.48,0.52
5711106ab212a,33,Male,32,no,objTwoColors,#7f00ff,9,210,70,4,Red      ,Blue     ,0.25,0.07,0.17,0.06,0.1,0.12,0.73,0.7,0.82,0.74,0.7,0.78,0.57
5711148c11035,35,Male,22,no,objTwoColors,#7f00ff,307,209,133,2,Pink     ,NA       ,0.55,0.05,0.29,0.11,0.26,0.28,0.4,0.37,0.49,0.41,0.37,0.51,0.41
57111f6c42412,22,Male,34,no,objTwoColors,#7f00ff,274,0,199,5,Blue     ,Red      ,0.88,0.22,0.37,0.11,0.17,0.17,0.4,0.34,0.21,0.38,0.34,0.31,0.58
5711231e370f2,24,Male,32,yes,objTwoColors,#7f00ff,0,290,276,4,Red      ,Navy-Blue,0.24,0.28,0.17,0.14,0.18,0.16,0.64,0.61,0.73,0.65,0.61,0.7,0.49
57112de7f0c00,24,Male,3,no,objTwoColors,#7f00ff,8,239,394,5,Red      ,Blue     ,0.33,0.14,0.15,0.09,0.19,0.19,0.78,0.75,0.88,0.79,0.75,0.84,0.62
57112e1a2bbbb,32,Male,16,no,objTwoColors,#7f00ff,224,225,128,2,Blue     ,Blue     ,0.84,0.06,0.14,0.21,0.32,0.41,0.24,0.26,0.49,0.25,0.26,0.58,0.52
57112e639a100,18,Male,5,no,objTwoColors,#7f00ff,195,9,582,5,Sky-Blue ,Red      ,0.83,0.03,0.16,0.02,0.04,0.07,0.5,0.47,0.22,0.49,0.47,0.17,0.44
571138253c724,21,Male,8,no,objTwoColors,#7f00ff,13,225,144,4,Red      ,Blue     ,0.33,0.12,0.15,0.08,0.14,0.16,0.76,0.73,0.85,0.77,0.73,0.81,0.6
57113a5534205,22,Male,31,no,objTwoColors,#7f00ff,238,6,198,5,Blue     ,Red      ,0.95,0.13,0.39,0.09,0.19,0.19,0.33,0.36,0.26,0.32,0.36,0.35,0.63
57113b7f16c4b,22,Male,31,no,objTwoColors,#7f00ff,224,300,605,2,Blue     ,Pink     ,0.76,0.04,0.13,0.13,0.28,0.33,0.06,0.08,0.31,0.07,0.08,0.4,0.34
57113de4aed1a,21,Male,31,no,objTwoColors,#7f00ff,323,2,296,2,Magenta  ,Red      ,0.61,0.42,0.29,0.19,0.23,0.17,0.66,0.61,0.39,0.64,0.61,0.38,0.56
57114d8a4c057,22,Male,9,no,objTwoColors,#7f00ff,273,265,129,5,Blue     ,Blue     ,0.78,0.02,0.18,0.18,0.3,0.38,0.25,0.22,0.45,0.26,0.22,0.55,0.48
571151812791a,20,Male,32,yes,objTwoColors,#7f00ff,11,244,141,3,Red      ,Blue     ,0.34,0.16,0.15,0.08,0.18,0.19,0.77,0.74,0.86,0.78,0.74,0.82,0.61
571153ca15566,32,Male,32,no,objTwoColors,#7f00ff,236,300,267,4,Blue     ,Pink     ,0.78,0.02,0.15,0.13,0.29,0.34,0.05,0.1,0.33,0.06,0.1,0.43,0.37
57116b9b879bf,20,Male,32,no,objTwoColors,#7f00ff,236,344,207,3,Blue     ,Red      ,0.91,0.07,0.37,0.1,0.23,0.22,0.28,0.31,0.2,0.27,0.31,0.3,0.58
5711760a3dfe0,21,Male,8,no,objTwoColors,#7f00ff,21,221,79,5,Red      ,Blue     ,0.35,0.13,0.14,0.06,0.1,0.14,0.74,0.71,0.82,0.75,0.71,0.77,0.56
57119224388ef,24,Male,31,no,objTwoColors,#7f00ff,359,50,532,5,Red      ,Green    ,0.23,0.46,0.25,0.15,0.22,0.11,0.87,0.82,0.69,0.86,0.82,0.66,0.7
5711ace2ee7ed,24,Male,32,no,objTwoColors,#7f00ff,4,208,106,4,Red      ,NA       ,0.21,0.05,0.17,0.06,0.11,0.11,0.73,0.7,0.81,0.74,0.7,0.77,0.58
5711cbde51bb0,24,Male,31,no,objTwoColors,#7f00ff,234,223,125,4,Blue     ,Blue     ,0.85,0.06,0.15,0.21,0.33,0.41,0.21,0.26,0.5,0.22,0.26,0.6,0.54
571210e10d88b,23,Male,19,no,objTwoColors,#7f00ff,270,0,121,5,Blue     ,Red      ,0.89,0.21,0.37,0.11,0.17,0.18,0.38,0.32,0.21,0.36,0.32,0.32,0.59
571214121717c,22,Male,32,no,objTwoColors,#7f00ff,255,58,289,5,Blue     ,Green    ,0.76,0.38,0.39,0.02,0.05,0.12,0.35,0.36,0.36,0.34,0.36,0.46,0.64
57121e2a63601,21,Male,31,no,objTwoColors,#7f00ff,56,108,289,4,Green    ,Green    ,0.5,0.48,0.2,0.12,0.2,0.16,0.94,0.9,0.8,0.93,0.9,0.72,0.64
57122801e1da9,23,Male,17,no,objTwoColors,#7f00ff,256,12,227,4,Blue     ,Red      ,0.91,0.2,0.39,0.09,0.16,0.18,0.33,0.34,0.24,0.32,0.34,0.34,0.62
57122e814fb61,26,Male,4,no,objTwoColors,#7f00ff,308,239,347,2,Pink     ,Blue     ,0.64,0,0.29,0.13,0.29,0.33,0.46,0.43,0.57,0.47,0.43,0.59,0.46
57123bec83e8e,21,Male,32,no,objTwoColors,#7f00ff,66,325,2,3,Yellow   ,Magenta  ,0.55,0.47,0.24,0.06,0.13,0.02,0.65,0.59,0.47,0.63,0.59,0.37,0.32
571243bcc8142,24,Male,12,no,objTwoColors,#7f00ff,307,180,255,3,Pink     ,Blue     ,0.38,0.07,0.29,0.07,0.19,0.2,0.42,0.39,0.44,0.43,0.39,0.46,0.43
571247f66fb51,27,Male,32,no,objTwoColors,#7f00ff,300,238,513,3,Pink     ,Blue     ,0.68,0.02,0.29,0.13,0.29,0.34,0.42,0.39,0.53,0.43,0.39,0.57,0.46
571260c120253,22,Male,32,no,objTwoColors,#7f00ff,232,280,323,3,Blue     ,Blue     ,0.81,0.06,0.15,0.18,0.32,0.38,0.13,0.19,0.43,0.15,0.19,0.53,0.46
5712649f2fada,26,Male,12,no,objTwoColors,#7f00ff,352,253,253,5,Red      ,Blue     ,0.33,0.13,0.18,0.1,0.19,0.2,0.76,0.73,0.86,0.77,0.73,0.82,0.61
5713b10383207,40,Male,32,no,objTwoColors,#7f00ff,1,182,772,3,Red      ,Blue     ,0.06,0.01,0.2,0.05,0.02,0.04,0.75,0.71,0.76,0.75,0.71,0.73,0.59
5714c6c26c2f6,21,Male,11,no,objTwoColors,#7f00ff,223,327,189,2,Blue     ,Magenta  ,0.8,0,0.29,0.11,0.25,0.26,0.17,0.16,0.12,0.16,0.16,0.22,0.42
57190633f233f,30,Male,32,no,objTwoColors,#7f00ff,241,300,197,2,Blue     ,Pink     ,0.78,0.02,0.15,0.13,0.29,0.34,0.05,0.1,0.34,0.06,0.1,0.43,0.37
5727633cd6511,25,Male,11,no,objTwoColors,#7f00ff,181,206,484,1,Blue     ,Navy-Blue,0.62,0.16,0.21,0.12,0.14,0.26,0.44,0.42,0.5,0.45,0.42,0.4,0.23
572767049ccfa,24,Male,32,yes,objTwoColors,#B100FF,256,319,380,1,Blue     ,Pink     ,0.77,0.06,0.14,0.12,0.24,0.29,0.09,0.1,0.2,0.08,0.1,0.3,0.38
572c85675a5ef,23,Male,32,yes,objTwoColors,#7f00ff,239,279,276,3,Blue     ,Blue     ,0.82,0.05,0.16,0.18,0.32,0.39,0.15,0.2,0.44,0.16,0.2,0.53,0.47
5734918f46823,26,Male,32,no,objTwoColors,#7f00ff,7,217,51,5,Red      ,Blue     ,0.27,0.08,0.16,0.08,0.13,0.14,0.75,0.72,0.84,0.76,0.72,0.8,0.59
5734e397122ce,19,Male,6,no,objTwoColors,#7f00ff,330,355,128,1,Magenta  ,Red      ,0.55,0.42,0.28,0.2,0.24,0.18,0.71,0.66,0.45,0.7,0.66,0.42,0.59
5735d3455a84c,29,Male,32,no,objTwoColors,#7f00ff,252,293,474,4,Blue     ,DK-Purple,0.78,0.01,0.16,0.15,0.29,0.35,0.07,0.12,0.37,0.08,0.12,0.47,0.4
5736048bb110b,19,Male,32,no,objTwoColors,#7f00ff,268,266,205,5,Blue     ,Blue     ,0.8,0.03,0.17,0.18,0.3,0.39,0.23,0.2,0.45,0.24,0.2,0.55,0.49
573613f4689a3,18,Male,7,no,objTwoColors,#7f00ff,269,270,306,3,Blue     ,Blue     ,0.79,0.02,0.17,0.18,0.29,0.38,0.23,0.2,0.44,0.24,0.2,0.54,0.48
573634984323e,19,Male,32,no,objTwoColors,#7f00ff,3,239,190,4,Red      ,Blue     ,0.32,0.13,0.16,0.09,0.19,0.19,0.78,0.75,0.88,0.79,0.75,0.85,0.63
57363b3954a26,55,Male,16,no,objTwoColors,#7f00ff,210,304,195,3,Blue     ,Pink     ,0.72,0.06,0.21,0.11,0.26,0.29,0.11,0.1,0.23,0.12,0.1,0.32,0.26
57366c199283c,19,Male,32,no,objTwoColors,#7f00ff,330,267,104,1,Magenta  ,Blue     ,0.45,0.11,0.25,0.11,0.2,0.25,0.58,0.55,0.68,0.59,0.55,0.65,0.48
5738cf3d97a58,23,Male,32,no,objTwoColors,#7f00ff,232,289,288,4,Blue     ,Navy-Blue,0.79,0.05,0.14,0.16,0.31,0.36,0.09,0.14,0.38,0.1,0.14,0.48,0.41
573a0b8280839,29,Male,21,yes,objTwoColors,#B100FF,173,346,597,3,Green    ,Red      ,0.77,0.05,0.18,0.03,0.06,0.05,0.59,0.56,0.31,0.58,0.56,0.2,0.28
573c70dabcfe0,49,Male,32,yes,objTwoColors,#B100FF,230,118,199,3,Blue     ,Green    ,0.79,0.26,0.36,0.11,0.1,0.17,0.44,0.47,0.5,0.44,0.47,0.6,0.74
573e4022949b1,24,Male,32,yes,objTwoColors,#B100FF,280,0,76,5,Blue     ,Red      ,0.85,0.25,0.36,0.12,0.17,0.17,0.42,0.36,0.2,0.4,0.36,0.3,0.57
573e47c26cb8e,24,Male,32,yes,objTwoColors,#B100FF,233,300,297,3,Blue     ,Pink     ,0.77,0.03,0.14,0.13,0.29,0.34,0.04,0.09,0.33,0.05,0.09,0.43,0.37
