id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7
5710cc2b8a642,objTwoColors,#7f00ff,229,333,318,4,Blue     ,Magenta  ,0.84,0.03,0.33,0.11,0.24,0.25,0.2,0.22,0.11,0.19,0.22,0.21,0.49
5710cc5a7829c,objTwoColors,#7f00ff,4,229,117,5,Red      ,Blue     ,0.31,0.1,0.16,0.09,0.18,0.18,0.77,0.74,0.87,0.78,0.74,0.83,0.62
5710cd99df604,objTwoColors,#7f00ff,234,354,264,4,Blue     ,Red      ,0.94,0.09,0.38,0.09,0.2,0.19,0.32,0.34,0.24,0.3,0.34,0.34,0.62
5710ce6c1308c,objTwoColors,#7f00ff,348,219,113,4,Red      ,Blue     ,0.3,0.04,0.2,0.08,0.18,0.17,0.72,0.69,0.81,0.73,0.69,0.78,0.58
5710cf445718e,objTwoColors,#7f00ff,234,75,199,3,Blue     ,Yellow   ,0.77,0.38,0.38,0.07,0.08,0.14,0.37,0.4,0.42,0.36,0.4,0.52,0.68
5710d71ff24c3,objTwoColors,#7f00ff,350,116,266,4,Red      ,Green    ,0.26,0.45,0.26,0.08,0.14,0.08,0.96,0.92,0.84,0.96,0.92,0.81,0.8
5710d9dcc23f0,objTwoColors,#7f00ff,262,282,268,3,Blue     ,Purple   ,0.79,0.01,0.16,0.16,0.29,0.37,0.15,0.16,0.4,0.16,0.16,0.5,0.44
5710e540a9514,objTwoColors,#7f00ff,203,308,146,4,Navy-Blue,Pink     ,0.69,0.06,0.19,0.1,0.25,0.26,0.13,0.12,0.22,0.14,0.12,0.25,0.19
5710e5bc55564,objTwoColors,#7f00ff,300,157,745,1,Pink     ,Cyan     ,0.46,0.06,0.31,0.04,0.15,0.16,0.49,0.45,0.44,0.49,0.45,0.48,0.52
5710e60f69205,objTwoColors,#7f00ff,204,8,218,4,Navy-Blue,Red      ,0.86,0.05,0.19,0.05,0.08,0.1,0.45,0.41,0.18,0.44,0.41,0.22,0.5
571103343658b,objTwoColors,#7f00ff,280,274,358,4,Blue     ,Blue     ,0.73,0.01,0.18,0.15,0.26,0.35,0.25,0.22,0.4,0.26,0.22,0.5,0.43
5711106ab212a,objTwoColors,#7f00ff,9,210,70,4,Red      ,Blue     ,0.25,0.07,0.17,0.06,0.1,0.12,0.73,0.7,0.82,0.74,0.7,0.78,0.57
5711148c11035,objTwoColors,#7f00ff,307,209,133,2,Pink     ,NA       ,0.55,0.05,0.29,0.11,0.26,0.28,0.4,0.37,0.49,0.41,0.37,0.51,0.41
57112a657ac25,objTwoColors,#7f00ff,264,279,317,3,Blue     ,Blue     ,0.78,0.01,0.16,0.17,0.29,0.37,0.17,0.16,0.41,0.18,0.16,0.51,0.45
57112b9e10661,objTwoColors,#7f00ff,201,286,884,2,Navy-Blue,Purple   ,0.72,0.07,0.18,0.13,0.26,0.31,0.26,0.24,0.34,0.27,0.24,0.35,0.29
57112d8509632,objTwoColors,#7f00ff,13,190,182,1,Red      ,Sky-Blue ,0.13,0.5,0.18,0.02,0.02,0.05,0.72,0.68,0.76,0.72,0.68,0.72,0.55
57112da850667,objTwoColors,#7f00ff,343,221,33,4,Red      ,Blue     ,0.34,0.03,0.22,0.09,0.2,0.2,0.7,0.67,0.79,0.71,0.67,0.76,0.56
57112de7f0c00,objTwoColors,#7f00ff,8,239,394,5,Red      ,Blue     ,0.33,0.14,0.15,0.09,0.19,0.19,0.78,0.75,0.88,0.79,0.75,0.84,0.62
57112e1a2bbbb,objTwoColors,#7f00ff,224,225,128,2,Blue     ,Blue     ,0.84,0.06,0.14,0.21,0.32,0.41,0.24,0.26,0.49,0.25,0.26,0.58,0.52
57112e639a100,objTwoColors,#7f00ff,195,9,582,5,Sky-Blue ,Red      ,0.83,0.03,0.16,0.02,0.04,0.07,0.5,0.47,0.22,0.49,0.47,0.17,0.44
57112ebc85ba1,objTwoColors,#7f00ff,7,229,100,5,Red      ,Blue     ,0.32,0.11,0.16,0.09,0.17,0.18,0.77,0.74,0.87,0.78,0.74,0.83,0.61
571130c5cd6e9,objTwoColors,#7f00ff,228,316,127,5,Blue     ,Pink     ,0.78,0.01,0.11,0.12,0.27,0.3,0.07,0.09,0.23,0.06,0.09,0.33,0.36
571130d934bda,objTwoColors,#7f00ff,318,185,169,3,Pink     ,Blue     ,0.32,0.07,0.28,0.07,0.18,0.18,0.49,0.45,0.51,0.49,0.45,0.51,0.42
5711348e42f02,objTwoColors,#7f00ff,348,247,139,4,Red      ,Blue     ,0.35,0.11,0.19,0.1,0.22,0.21,0.75,0.72,0.84,0.76,0.72,0.81,0.61
571138253c724,objTwoColors,#7f00ff,13,225,144,4,Red      ,Blue     ,0.33,0.12,0.15,0.08,0.14,0.16,0.76,0.73,0.85,0.77,0.73,0.81,0.6
57113d4d93c81,objTwoColors,#7f00ff,300,251,309,4,Pink     ,Blue     ,0.68,0.01,0.29,0.13,0.28,0.34,0.42,0.39,0.52,0.43,0.39,0.56,0.46
57113d9cc42b5,objTwoColors,#7f00ff,213,315,202,4,Blue     ,Pink     ,0.74,0.04,0.22,0.11,0.25,0.27,0.12,0.1,0.17,0.11,0.1,0.26,0.28
57113de4aed1a,objTwoColors,#7f00ff,323,2,296,2,Magenta  ,Red      ,0.61,0.42,0.29,0.19,0.23,0.17,0.66,0.61,0.39,0.64,0.61,0.38,0.56
57114d8a4c057,objTwoColors,#7f00ff,273,265,129,5,Blue     ,Blue     ,0.78,0.02,0.18,0.18,0.3,0.38,0.25,0.22,0.45,0.26,0.22,0.55,0.48
571153ca15566,objTwoColors,#7f00ff,236,300,267,4,Blue     ,Pink     ,0.78,0.02,0.15,0.13,0.29,0.34,0.05,0.1,0.33,0.06,0.1,0.43,0.37
5711641931da5,objTwoColors,#7f00ff,300,245,159,4,Pink     ,Blue     ,0.68,0.01,0.29,0.13,0.29,0.34,0.42,0.39,0.52,0.43,0.39,0.56,0.46
571165992a5c1,objTwoColors,#7f00ff,325,221,178,2,Magenta  ,Blue     ,0.48,0.01,0.26,0.11,0.25,0.26,0.56,0.53,0.66,0.57,0.53,0.64,0.47
57116b9b879bf,objTwoColors,#7f00ff,236,344,207,3,Blue     ,Red      ,0.91,0.07,0.37,0.1,0.23,0.22,0.28,0.31,0.2,0.27,0.31,0.3,0.58
5711703bd85fc,objTwoColors,#7f00ff,323,237,193,5,Magenta  ,Blue     ,0.54,0.02,0.27,0.12,0.27,0.29,0.56,0.54,0.66,0.57,0.54,0.65,0.49
5711760a3dfe0,objTwoColors,#7f00ff,21,221,79,5,Red      ,Blue     ,0.35,0.13,0.14,0.06,0.1,0.14,0.74,0.71,0.82,0.75,0.71,0.77,0.56
5711800f2c5f3,objTwoColors,#7f00ff,210,107,198,3,Blue     ,Green    ,0.73,0.36,0.22,0.09,0.11,0.16,0.51,0.49,0.42,0.51,0.49,0.51,0.65
57119224388ef,objTwoColors,#7f00ff,359,50,532,5,Red      ,Green    ,0.23,0.46,0.25,0.15,0.22,0.11,0.87,0.82,0.69,0.86,0.82,0.66,0.7
5711ace2ee7ed,objTwoColors,#7f00ff,4,208,106,4,Red      ,NA       ,0.21,0.05,0.17,0.06,0.11,0.11,0.73,0.7,0.81,0.74,0.7,0.77,0.58
5711cbde51bb0,objTwoColors,#7f00ff,234,223,125,4,Blue     ,Blue     ,0.85,0.06,0.15,0.21,0.33,0.41,0.21,0.26,0.5,0.22,0.26,0.6,0.54
571214121717c,objTwoColors,#7f00ff,255,58,289,5,Blue     ,Green    ,0.76,0.38,0.39,0.02,0.05,0.12,0.35,0.36,0.36,0.34,0.36,0.46,0.64
57121e2a63601,objTwoColors,#7f00ff,56,108,289,4,Green    ,Green    ,0.5,0.48,0.2,0.12,0.2,0.16,0.94,0.9,0.8,0.93,0.9,0.72,0.64
57122801e1da9,objTwoColors,#7f00ff,256,12,227,4,Blue     ,Red      ,0.91,0.2,0.39,0.09,0.16,0.18,0.33,0.34,0.24,0.32,0.34,0.34,0.62
57122e814fb61,objTwoColors,#7f00ff,308,239,347,2,Pink     ,Blue     ,0.64,0,0.29,0.13,0.29,0.33,0.46,0.43,0.57,0.47,0.43,0.59,0.46
57123bec83e8e,objTwoColors,#7f00ff,66,325,2,3,Yellow   ,Magenta  ,0.55,0.47,0.24,0.06,0.13,0.02,0.65,0.59,0.47,0.63,0.59,0.37,0.32
57123e4050550,objTwoColors,#7f00ff,228,305,381,3,Blue     ,Pink     ,0.77,0.03,0.12,0.13,0.28,0.32,0.02,0.06,0.3,0.03,0.06,0.4,0.33
571243bcc8142,objTwoColors,#7f00ff,307,180,255,3,Pink     ,Blue     ,0.38,0.07,0.29,0.07,0.19,0.2,0.42,0.39,0.44,0.43,0.39,0.46,0.43
571247f66fb51,objTwoColors,#7f00ff,300,238,513,3,Pink     ,Blue     ,0.68,0.02,0.29,0.13,0.29,0.34,0.42,0.39,0.53,0.43,0.39,0.57,0.46
571252e6d2e70,objTwoColors,#7f00ff,228,319,402,5,Blue     ,Pink     ,0.78,0,0.31,0.12,0.27,0.29,0.09,0.11,0.2,0.08,0.11,0.3,0.38
571260c120253,objTwoColors,#7f00ff,232,280,323,3,Blue     ,Blue     ,0.81,0.06,0.15,0.18,0.32,0.38,0.13,0.19,0.43,0.15,0.19,0.53,0.46
5712649f2fada,objTwoColors,#7f00ff,352,253,253,5,Red      ,Blue     ,0.33,0.13,0.18,0.1,0.19,0.2,0.76,0.73,0.86,0.77,0.73,0.82,0.61
57127bcfaafb0,objTwoColors,#7f00ff,250,8,991,3,Blue     ,Red      ,0.93,0.17,0.39,0.09,0.18,0.19,0.32,0.35,0.25,0.31,0.35,0.35,0.63
5712c2b021f58,objTwoColors,#7f00ff,180,7,50,4,Blue     ,Red      ,0.8,0.49,0.15,0.05,0.02,0.03,0.59,0.56,0.31,0.58,0.56,0.21,0.36
5712c57f97f25,objTwoColors,#7f00ff,312,229,139,3,Pink     ,Blue     ,0.61,0.02,0.28,0.12,0.28,0.31,0.47,0.45,0.58,0.48,0.45,0.59,0.45
5713acb331c3c,objTwoColors,#7f00ff,34,202,2,1,Yellow   ,Navy-Blue,0.33,0.51,0.14,0.01,0.03,0.08,0.68,0.65,0.74,0.69,0.65,0.67,0.46
5713b10383207,objTwoColors,#7f00ff,1,182,772,3,Red      ,Blue     ,0.06,0.01,0.2,0.05,0.02,0.04,0.75,0.71,0.76,0.75,0.71,0.73,0.59
5713fc80c942a,objTwoColors,#7f00ff,229,303,142,5,Blue     ,Pink     ,0.77,0.03,0.13,0.13,0.28,0.33,0.03,0.07,0.31,0.04,0.07,0.41,0.34
5714c6c26c2f6,objTwoColors,#7f00ff,223,327,189,2,Blue     ,Magenta  ,0.8,0,0.29,0.11,0.25,0.26,0.17,0.16,0.12,0.16,0.16,0.22,0.42
5716e9900f6ea,objTwoColors,#7f00ff,338,235,253,4,Red      ,Blue     ,0.42,0.06,0.23,0.1,0.24,0.24,0.69,0.66,0.78,0.7,0.66,0.75,0.56
57190633f233f,objTwoColors,#7f00ff,241,300,197,2,Blue     ,Pink     ,0.78,0.02,0.15,0.13,0.29,0.34,0.05,0.1,0.34,0.06,0.1,0.43,0.37
5727633cd6511,objTwoColors,#7f00ff,181,206,484,1,Blue     ,Navy-Blue,0.62,0.16,0.21,0.12,0.14,0.26,0.44,0.42,0.5,0.45,0.42,0.4,0.23
