id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
5710cd99df604,23,Female,32,no,objTwoColors,#FF0080,316,355,494,1,Pink     ,Red      ,0.59,0.04,0.11,0.03,0,0.02,0.56,0.51,0.34,0.32
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF0080,350,300,532,3,Red      ,Pink     ,0.06,0.04,0.14,0.06,0.06,0.05,0.89,0.86,0.66,0.66
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF0080,16,276,142,3,Red      ,Blue     ,0.19,0.03,0.17,0.13,0.09,0.08,0.99,0.96,0.76,0.76
5710e540a9514,52,Female,32,no,objTwoColors,#FF0080,3,16,10,4,Red      ,Red      ,0.31,0.15,0.08,0.04,0.11,0.13,0.79,0.74,0.56,0.54
5710e60f69205,24,Female,31,no,objTwoColors,#FF0080,332,0,418,4,Magenta  ,Red      ,0.47,0.12,0.04,0.01,0.07,0.08,0.69,0.65,0.46,0.45
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF0080,353,254,371,2,Red      ,Blue     ,0.23,0.19,0.16,0.14,0.2,0.13,1.05,1.02,0.82,0.82
57110028bc74b,48,Female,32,no,objTwoColors,#FF0080,0,311,203,3,Red      ,Pink     ,0.02,0.04,0.15,0.04,0.01,0.01,0.87,0.84,0.65,0.64
571103343658b,20,Female,32,no,objTwoColors,#FF0080,330,332,176,5,Magenta  ,Magenta  ,0.34,0.01,0.04,0.07,0.03,0.02,0.65,0.61,0.43,0.42
57112a657ac25,20,Female,24,no,objTwoColors,#FF0080,327,0,66,3,Magenta  ,Red      ,0.51,0.1,0.06,0.02,0.05,0.06,0.65,0.61,0.42,0.41
57112b9e10661,64,Female,34,no,objTwoColors,#FF0080,10,155,37,2,Red      ,Cyan     ,0.33,0.34,0.11,0.17,0.24,0.2,0.7,0.68,0.48,0.48
57112d8509632,45,Female,32,no,objTwoColors,#FF0080,335,333,194,5,Red      ,Magenta  ,0.31,0.03,0.06,0.06,0.01,0.01,0.69,0.65,0.47,0.46
57112da850667,22,Female,47,no,objTwoColors,#FF0080,0,302,959,1,Red      ,Pink     ,0.03,0.01,0.16,0.05,0.03,0.02,0.91,0.87,0.69,0.67
57112da850667,22,Female,47,no,objTwoColors,#FF0080,260,350,373,4,Blue     ,Red      ,0.83,0.18,0.28,0.14,0.19,0.13,0.29,0.29,0.48,0.49
57112e8f42ab6,21,Female,6,no,objTwoColors,#FF0080,187,354,558,2,Cyan     ,Red      ,0.75,0.34,0.26,0.19,0.22,0.15,0.51,0.48,0.46,0.46
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF0080,7,0,5,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
57112f57403ee,25,Female,14,no,objTwoColors,#FF0080,0,300,479,2,Red      ,Pink     ,0.04,0,0.16,0.05,0.03,0.03,0.91,0.88,0.69,0.68
5711300507308,21,Female,13,no,objTwoColors,#FF0080,34,59,112,3,Yellow   ,Green    ,0.49,0.22,0.15,0.19,0.21,0.21,0.51,0.48,0.3,0.3
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF0080,29,306,101,5,Orange   ,Pink     ,0.13,0.12,0.17,0.1,0.04,0.05,0.86,0.83,0.64,0.64
571130d934bda,22,Female,32,no,objTwoColors,#FF0080,324,176,167,2,Magenta  ,Blue     ,0.43,0.39,0.04,0.22,0.27,0.2,0.58,0.56,0.36,0.37
5711348e42f02,19,Female,32,no,objTwoColors,#FF0080,9,184,192,4,Red      ,Blue     ,0.21,0.37,0.14,0.19,0.23,0.16,0.83,0.8,0.6,0.6
571137a34931a,27,Female,25,no,objTwoColors,#FF0080,28,332,402,4,Orange   ,Magenta  ,0.29,0.16,0.15,0.06,0.06,0.07,0.78,0.74,0.56,0.55
57113ce1334e0,19,Female,12,no,objTwoColors,#FF0080,8,0,36,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
57113d4d93c81,18,Female,32,no,objTwoColors,#FF0080,291,0,123,3,Navy-Blue,Red      ,0.74,0.04,0.22,0.08,0.05,0.05,0.42,0.38,0.36,0.37
57113e6176346,23,Female,30,no,objTwoColors,#FF0080,4,163,136,3,Red      ,Green    ,0.27,0.34,0.12,0.17,0.23,0.19,0.74,0.71,0.51,0.51
