id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#FF0080,195,7,303,5,Sky-Blue ,Red      ,0.77,0.3,0.23,0.19,0.21,0.14,0.45,0.43,0.44,0.45
5710cbe10cade,21,Male,15,no,objTwoColors,#FF0080,300,338,235,4,Pink     ,Red      ,0.59,0.09,0.14,0.09,0.1,0.1,0.45,0.41,0.3,0.31
5710cc2b8a642,24,Male,16,no,objTwoColors,#FF0080,305,5,99,5,Pink     ,Red      ,0.66,0.04,0.17,0.06,0.03,0.01,0.48,0.44,0.28,0.29
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF0080,335,0,130,5,Red      ,Red      ,0.45,0.12,0.04,0.01,0.08,0.09,0.71,0.67,0.49,0.48
5710cd9d571f2,23,Male,8,no,objTwoColors,#FF0080,344,0,327,1,Red      ,Red      ,0.38,0.14,0.05,0.02,0.1,0.11,0.78,0.74,0.55,0.54
5710cf445718e,25,Male,32,no,objTwoColors,#FF0080,51,286,517,1,Green    ,Purple   ,0.35,0.13,0.21,0.19,0.11,0.13,0.92,0.89,0.73,0.74
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF0080,340,0,70,3,Red      ,Red      ,0.41,0.14,0.04,0.01,0.09,0.1,0.75,0.71,0.52,0.51
5710d28fec2d1,30,Male,32,no,objTwoColors,#FF0080,0,293,141,1,Red      ,DK-Purple,0.07,0.03,0.17,0.07,0.04,0.04,0.94,0.91,0.72,0.71
5710d9dcc23f0,21,Male,18,no,objTwoColors,#FF0080,323,322,119,3,Magenta  ,Magenta  ,0.32,0.06,0.04,0.09,0.1,0.09,0.61,0.59,0.39,0.39
5711106ab212a,33,Male,32,no,objTwoColors,#FF0080,8,0,509,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5711148c11035,35,Male,22,no,objTwoColors,#FF0080,319,57,128,3,Pink     ,Green    ,0.58,0.16,0.09,0.16,0.09,0.12,0.31,0.27,0.09,0.08
57111f6c42412,22,Male,34,no,objTwoColors,#FF0080,330,0,135,5,Magenta  ,Red      ,0.49,0.11,0.05,0.02,0.06,0.07,0.67,0.63,0.45,0.44
5711231e370f2,24,Male,32,yes,objTwoColors,#FF0080,0,302,163,4,Red      ,Pink     ,0.03,0.01,0.16,0.05,0.03,0.02,0.91,0.87,0.69,0.67
57112e1a2bbbb,32,Male,16,no,objTwoColors,#FF0080,16,227,374,2,Red      ,Blue     ,0.26,0.2,0.18,0.16,0.21,0.12,1.04,1.01,0.81,0.81
57112edad4a17,23,Male,10,no,objTwoColors,#FF0080,301,0,98,3,Pink     ,Red      ,0.69,0,0.19,0.05,0.03,0.03,0.47,0.43,0.31,0.32
57112efa50be6,19,Male,7,no,objTwoColors,#FF0080,3,0,548,5,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
571138253c724,21,Male,8,no,objTwoColors,#FF0080,8,204,144,3,Red      ,Navy-Blue,0.18,0.27,0.16,0.17,0.21,0.12,0.94,0.91,0.71,0.71
57113a5534205,22,Male,31,no,objTwoColors,#FF0080,4,223,370,5,Red      ,Blue     ,0.21,0.24,0.18,0.15,0.21,0.11,1.04,1.01,0.81,0.81
57113b7f16c4b,22,Male,31,no,objTwoColors,#FF0080,226,350,234,5,Blue     ,Red      ,0.84,0.26,0.24,0.15,0.25,0.14,0.29,0.3,0.49,0.5
57113de4aed1a,21,Male,31,no,objTwoColors,#FF0080,4,55,73,5,Red      ,Green    ,0.33,0.16,0.09,0.14,0.14,0.16,0.57,0.53,0.34,0.33
571151812791a,20,Male,32,yes,objTwoColors,#FF0080,12,0,34,4,Red      ,Red      ,0.36,0.16,0.09,0.04,0.12,0.13,0.82,0.78,0.6,0.59
57115317eb242,22,Male,2,no,objTwoColors,#FF0080,337,0,157,4,Red      ,Red      ,0.43,0.13,0.03,0.01,0.08,0.09,0.73,0.69,0.5,0.49
571153ca15566,32,Male,32,no,objTwoColors,#FF0080,182,310,333,2,Blue     ,Pink     ,0.44,0.4,0.28,0.25,0.3,0.24,0.59,0.57,0.53,0.53
57116b9b879bf,20,Male,32,no,objTwoColors,#FF0080,322,341,4,3,Magenta  ,Red      ,0.47,0.01,0.05,0.05,0.03,0.01,0.59,0.55,0.36,0.35
57119224388ef,24,Male,31,no,objTwoColors,#FF0080,26,258,132,5,Orange   ,Blue     ,0.31,0.06,0.18,0.17,0.16,0.12,1.02,0.99,0.8,0.8
5711ace2ee7ed,24,Male,32,no,objTwoColors,#FF0080,0,5,69,5,Red      ,Red      ,0.32,0.16,0.08,0.04,0.12,0.13,0.82,0.78,0.6,0.58
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF0080,350,204,165,2,Red      ,Navy-Blue,0.19,0.31,0.14,0.17,0.23,0.14,0.92,0.89,0.69,0.69
571210e10d88b,23,Male,19,no,objTwoColors,#FF0080,334,0,125,5,Magenta  ,Red      ,0.46,0.12,0.04,0.01,0.07,0.08,0.7,0.66,0.48,0.47
571214121717c,22,Male,32,no,objTwoColors,#FF0080,303,17,115,1,Pink     ,Red      ,0.66,0.08,0.18,0.08,0.03,0.03,0.43,0.39,0.25,0.26
57121e2a63601,21,Male,31,no,objTwoColors,#FF0080,119,12,333,1,Green    ,Red      ,0.75,0.28,0.34,0.18,0.28,0.24,0.8,0.78,0.68,0.68
57123bec83e8e,21,Male,32,no,objTwoColors,#FF0080,330,340,2,5,Magenta  ,Red      ,0.4,0.04,0.03,0.05,0,0.01,0.65,0.61,0.43,0.42
571243bcc8142,24,Male,12,no,objTwoColors,#FF0080,7,231,106,4,Red      ,Blue     ,0.24,0.21,0.18,0.15,0.22,0.12,1.06,1.03,0.83,0.83
