id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
5710cbe10cade,objTwoColors,#FF0080,300,338,235,4,Pink     ,Red      ,0.59,0.09,0.14,0.09,0.1,0.1,0.45,0.41,0.3,0.31
5710cc2b8a642,objTwoColors,#FF0080,305,5,99,5,Pink     ,Red      ,0.66,0.04,0.17,0.06,0.03,0.01,0.48,0.44,0.28,0.29
5710cd99df604,objTwoColors,#FF0080,316,355,494,1,Pink     ,Red      ,0.59,0.04,0.11,0.03,0,0.02,0.56,0.51,0.34,0.32
5710ce6c1308c,objTwoColors,#FF0080,350,300,532,3,Red      ,Pink     ,0.06,0.04,0.14,0.06,0.06,0.05,0.89,0.86,0.66,0.66
5710cf445718e,objTwoColors,#FF0080,51,286,517,1,Green    ,Purple   ,0.35,0.13,0.21,0.19,0.11,0.13,0.92,0.89,0.73,0.74
5710d71ff24c3,objTwoColors,#FF0080,16,276,142,3,Red      ,Blue     ,0.19,0.03,0.17,0.13,0.09,0.08,0.99,0.96,0.76,0.76
5710d9dcc23f0,objTwoColors,#FF0080,323,322,119,3,Magenta  ,Magenta  ,0.32,0.06,0.04,0.09,0.1,0.09,0.61,0.59,0.39,0.39
5710e540a9514,objTwoColors,#FF0080,3,16,10,4,Red      ,Red      ,0.31,0.15,0.08,0.04,0.11,0.13,0.79,0.74,0.56,0.54
571103343658b,objTwoColors,#FF0080,330,332,176,5,Magenta  ,Magenta  ,0.34,0.01,0.04,0.07,0.03,0.02,0.65,0.61,0.43,0.42
5711148c11035,objTwoColors,#FF0080,319,57,128,3,Pink     ,Green    ,0.58,0.16,0.09,0.16,0.09,0.12,0.31,0.27,0.09,0.08
57112b9e10661,objTwoColors,#FF0080,10,155,37,2,Red      ,Cyan     ,0.33,0.34,0.11,0.17,0.24,0.2,0.7,0.68,0.48,0.48
57112d8509632,objTwoColors,#FF0080,335,333,194,5,Red      ,Magenta  ,0.31,0.03,0.06,0.06,0.01,0.01,0.69,0.65,0.47,0.46
57112da850667,objTwoColors,#FF0080,260,350,373,4,Blue     ,Red      ,0.83,0.18,0.28,0.14,0.19,0.13,0.29,0.29,0.48,0.49
57112e1a2bbbb,objTwoColors,#FF0080,16,227,374,2,Red      ,Blue     ,0.26,0.2,0.18,0.16,0.21,0.12,1.04,1.01,0.81,0.81
57112e8f42ab6,objTwoColors,#FF0080,187,354,558,2,Cyan     ,Red      ,0.75,0.34,0.26,0.19,0.22,0.15,0.51,0.48,0.46,0.46
571130c5cd6e9,objTwoColors,#FF0080,29,306,101,5,Orange   ,Pink     ,0.13,0.12,0.17,0.1,0.04,0.05,0.86,0.83,0.64,0.64
571130d934bda,objTwoColors,#FF0080,324,176,167,2,Magenta  ,Blue     ,0.43,0.39,0.04,0.22,0.27,0.2,0.58,0.56,0.36,0.37
5711348e42f02,objTwoColors,#FF0080,9,184,192,4,Red      ,Blue     ,0.21,0.37,0.14,0.19,0.23,0.16,0.83,0.8,0.6,0.6
571137a34931a,objTwoColors,#FF0080,28,332,402,4,Orange   ,Magenta  ,0.29,0.16,0.15,0.06,0.06,0.07,0.78,0.74,0.56,0.55
571138253c724,objTwoColors,#FF0080,8,204,144,3,Red      ,Navy-Blue,0.18,0.27,0.16,0.17,0.21,0.12,0.94,0.91,0.71,0.71
5711389736065,objTwoColors,#FF0080,34,59,112,3,Yellow   ,Green    ,0.49,0.22,0.15,0.19,0.21,0.21,0.51,0.48,0.3,0.3
57113de4aed1a,objTwoColors,#FF0080,4,55,73,5,Red      ,Green    ,0.33,0.16,0.09,0.14,0.14,0.16,0.57,0.53,0.34,0.33
57113e6176346,objTwoColors,#FF0080,4,163,136,3,Red      ,Green    ,0.27,0.34,0.12,0.17,0.23,0.19,0.74,0.71,0.51,0.51
571153ca15566,objTwoColors,#FF0080,182,310,333,2,Blue     ,Pink     ,0.44,0.4,0.28,0.25,0.3,0.24,0.59,0.57,0.53,0.53
571153e3025f9,objTwoColors,#FF0080,8,176,673,1,Red      ,Blue     ,0.23,0.36,0.13,0.18,0.23,0.17,0.79,0.77,0.56,0.57
571154184c9bd,objTwoColors,#FF0080,14,188,95,1,Red      ,Cyan     ,0.21,0.38,0.15,0.2,0.23,0.16,0.84,0.81,0.61,0.61
5711641931da5,objTwoColors,#FF0080,8,300,204,3,Red      ,Pink     ,0.05,0.03,0.16,0.06,0.03,0.03,0.91,0.88,0.68,0.68
571165992a5c1,objTwoColors,#FF0080,300,353,283,3,Pink     ,Red      ,0.67,0.03,0.19,0.06,0.05,0.04,0.46,0.42,0.31,0.32
57116b9b879bf,objTwoColors,#FF0080,322,341,4,3,Magenta  ,Red      ,0.47,0.01,0.05,0.05,0.03,0.01,0.59,0.55,0.36,0.35
5711703bd85fc,objTwoColors,#FF0080,55,8,320,3,Green    ,Red      ,0.58,0.16,0.23,0.14,0.14,0.16,0.78,0.74,0.6,0.58
5711800f2c5f3,objTwoColors,#FF0080,7,296,165,3,Red      ,Pink     ,0.07,0.01,0.16,0.07,0.04,0.04,0.93,0.9,0.7,0.7
57119224388ef,objTwoColors,#FF0080,26,258,132,5,Orange   ,Blue     ,0.31,0.06,0.18,0.17,0.16,0.12,1.02,0.99,0.8,0.8
5711cbde51bb0,objTwoColors,#FF0080,350,204,165,2,Red      ,Navy-Blue,0.19,0.31,0.14,0.17,0.23,0.14,0.92,0.89,0.69,0.69
571214121717c,objTwoColors,#FF0080,303,17,115,1,Pink     ,Red      ,0.66,0.08,0.18,0.08,0.03,0.03,0.43,0.39,0.25,0.26
57121e2a63601,objTwoColors,#FF0080,119,12,333,1,Green    ,Red      ,0.75,0.28,0.34,0.18,0.28,0.24,0.8,0.78,0.68,0.68
57123bec83e8e,objTwoColors,#FF0080,330,340,2,5,Magenta  ,Red      ,0.4,0.04,0.03,0.05,0,0.01,0.65,0.61,0.43,0.42
571243bcc8142,objTwoColors,#FF0080,7,231,106,4,Red      ,Blue     ,0.24,0.21,0.18,0.15,0.22,0.12,1.06,1.03,0.83,0.83
571245dfd5f63,objTwoColors,#FF0080,22,264,562,4,Red      ,Blue     ,0.27,0.06,0.18,0.15,0.14,0.11,1.02,0.99,0.8,0.79
571247f66fb51,objTwoColors,#FF0080,8,300,155,4,Red      ,Pink     ,0.05,0.03,0.16,0.06,0.03,0.03,0.91,0.88,0.68,0.68
571260c120253,objTwoColors,#FF0080,5,225,135,3,Red      ,Blue     ,0.23,0.23,0.18,0.15,0.22,0.11,1.04,1.01,0.81,0.81
57127bcfaafb0,objTwoColors,#FF0080,5,190,156,3,Red      ,Sky-Blue ,0.19,0.31,0.15,0.19,0.22,0.15,0.86,0.83,0.63,0.63
5712c57f97f25,objTwoColors,#FF0080,7,299,266,3,Red      ,Pink     ,0.05,0.02,0.16,0.06,0.03,0.03,0.92,0.88,0.69,0.68
5713923c1bbc7,objTwoColors,#FF0080,175,214,240,2,Blue     ,Blue     ,0.6,0.3,0.29,0.32,0.32,0.32,0.75,0.73,0.67,0.68
5713b961c216a,objTwoColors,#FF0080,331,334,248,5,Magenta  ,Magenta  ,0.35,0.02,0.04,0.06,0.02,0.01,0.66,0.62,0.43,0.42
5713fc80c942a,objTwoColors,#FF0080,12,254,1094,2,Red      ,Blue     ,0.25,0.13,0.18,0.15,0.18,0.11,1.05,1.02,0.83,0.83
5714c6c26c2f6,objTwoColors,#FF0080,337,300,236,3,Red      ,Pink     ,0.14,0.09,0.1,0.1,0.11,0.11,0.81,0.78,0.58,0.58
571534076a966,objTwoColors,#FF0080,359,202,210,3,Red      ,Navy-Blue,0.17,0.3,0.16,0.17,0.21,0.12,0.93,0.9,0.7,0.7
5716e9900f6ea,objTwoColors,#FF0080,236,16,220,3,Blue     ,Red      ,0.87,0.17,0.3,0.16,0.22,0.12,0.25,0.28,0.47,0.47
57190633f233f,objTwoColors,#FF0080,4,178,110,3,Red      ,Blue     ,0.21,0.36,0.13,0.18,0.23,0.17,0.8,0.77,0.57,0.57
572934019041e,objTwoColors,#FF0080,341,323,147,4,Red      ,Magenta  ,0.18,0.02,0.09,0.05,0.03,0.01,0.76,0.72,0.53,0.52
5734779e28d4b,objTwoColors,#FF0080,14,8,195,4,Red      ,Red      ,0.35,0.15,0.09,0.04,0.11,0.13,0.81,0.76,0.58,0.56
5734918f46823,objTwoColors,#FF0080,12,142,225,3,Red      ,Green    ,0.41,0.32,0.1,0.18,0.26,0.23,0.68,0.65,0.46,0.46
5734d89183dab,objTwoColors,#FF0080,1,226,81,4,Red      ,Blue     ,0.22,0.24,0.18,0.14,0.22,0.11,1.05,1.02,0.83,0.82
5735d3455a84c,objTwoColors,#FF0080,300,349,335,4,Pink     ,Red      ,0.66,0.04,0.18,0.06,0.06,0.06,0.46,0.42,0.31,0.32
5736048bb110b,objTwoColors,#FF0080,331,323,375,5,Magenta  ,Magenta  ,0.26,0.02,0.06,0.08,0.07,0.05,0.68,0.64,0.45,0.44
573607add000c,objTwoColors,#FF0080,8,308,309,3,Red      ,Pink     ,0.01,0.06,0.16,0.06,0.02,0.01,0.88,0.85,0.65,0.65
573613f4689a3,objTwoColors,#FF0080,329,335,216,3,Magenta  ,Red      ,0.38,0.02,0.04,0.06,0.02,0.01,0.64,0.6,0.42,0.41
573634984323e,objTwoColors,#FF0080,336,331,81,4,Red      ,Magenta  ,0.28,0.03,0.06,0.06,0.01,0,0.7,0.66,0.47,0.46
57363b3954a26,objTwoColors,#FF0080,356,300,386,2,Red      ,Pink     ,0.05,0.02,0.16,0.06,0.04,0.04,0.91,0.88,0.68,0.68
573664e1a4a96,objTwoColors,#FF0080,300,4,74,2,Pink     ,Red      ,0.68,0.02,0.2,0.06,0.03,0.03,0.46,0.42,0.31,0.32
57366c199283c,objTwoColors,#FF0080,288,55,153,2,Navy-Blue,Green    ,0.75,0.14,0.22,0.2,0.12,0.13,0.15,0.11,0.12,0.13
5738cf3d97a58,objTwoColors,#FF0080,7,256,379,3,Red      ,Blue     ,0.23,0.14,0.18,0.14,0.17,0.11,1.06,1.02,0.83,0.82
574297edae49c,objTwoColors,#FF0080,307,7,178,4,Pink     ,Red      ,0.65,0.06,0.16,0.06,0.03,0.01,0.49,0.45,0.27,0.28
574511e99b6d9,objTwoColors,#FF0080,352,190,620,1,Red      ,Sky-Blue ,0.2,0.34,0.13,0.19,0.22,0.15,0.85,0.82,0.62,0.62
57459c393bbd0,objTwoColors,#FF0080,9,180,186,4,Red      ,Blue     ,0.22,0.37,0.14,0.18,0.23,0.17,0.81,0.78,0.58,0.58
5745b5cbe3caa,objTwoColors,#FF0080,213,300,536,2,Blue     ,Pink     ,0.55,0.38,0.16,0.25,0.35,0.3,0.43,0.43,0.55,0.57
5745c1c07cc0c,objTwoColors,#FF0080,1,210,100,5,Red      ,Blue     ,0.18,0.28,0.17,0.15,0.21,0.11,0.98,0.95,0.76,0.75
