id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
57110028bc74b,48,Female,32,no,objTwoColors,#FF8000,0,45,48,5,Red      ,Yellow   ,0.07,0.05,0.09,0.02,0.03,0.04,0.72,0.72
57112d8509632,45,Female,32,no,objTwoColors,#FF8000,357,55,176,5,Red      ,Green    ,0.02,0.03,0.09,0.02,0.01,0.01,0.74,0.73
571154184c9bd,47,Female,32,no,objTwoColors,#FF8000,17,0,8,5,Red      ,Red      ,0.33,0.11,0.08,0.1,0.09,0.14,0.7,0.68
57117fe7495aa,48,Female,5,no,objTwoColors,#FF8000,0,40,54,5,Red      ,Yellow   ,0.09,0.06,0.09,0.04,0.04,0.06,0.72,0.72
571183866d73f,48,Female,32,no,objTwoColors,#FF8000,55,3,69,5,Green    ,Red      ,0.54,0.01,0.22,0.02,0.02,0.01,0.47,0.46
5713b10383207,40,Male,32,no,objTwoColors,#FF8000,8,58,79,4,Red      ,Green    ,0.02,0.02,0.08,0.03,0.04,0.01,0.74,0.73
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF7200,56,92,116,2,Green    ,Green    ,0.39,0.21,0.22,0.14,0.23,0.17,0.55,0.55
5740ad339507d,40,Male,32,yes,objTwoColors,#FF7200,5,0,24,3,Red      ,Red      ,0.29,0.12,0.09,0.12,0.11,0.16,0.74,0.72
5740e3f36a945,49,Female,32,yes,objTwoColors,#FF7200,29,0,30,3,Orange   ,Red      ,0.4,0.09,0.1,0.07,0.07,0.1,0.63,0.61
5776cc574bf84,45,Female,21,no,objTwoColors,#FF8000,10,57,65,5,Red      ,Green    ,0.03,0.02,0.08,0.03,0.04,0.01,0.72,0.73
