id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5710cd99df604,23,Female,32,no,objTwoColors,#FF8000,25,0,147,3,Orange   ,Red      ,0.37,0.1,0.09,0.09,0.08,0.11,0.65,0.63
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF8000,5,53,120,4,Red      ,Green    ,0.04,0.01,0.08,0.02,0.02,0.02,0.74,0.73
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF8000,57,2,105,5,Green    ,Red      ,0.55,0,0.23,0.03,0.02,0.01,0.47,0.46
5710e540a9514,52,Female,32,no,objTwoColors,#FF8000,10,56,44,4,Red      ,Green    ,0.03,0.02,0.08,0.03,0.04,0.01,0.72,0.72
5710e60f69205,24,Female,31,no,objTwoColors,#FF8000,11,53,297,4,Red      ,Green    ,0.05,0.01,0.08,0.02,0.03,0.01,0.72,0.71
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF8000,4,55,311,5,Red      ,Green    ,0.02,0,0.08,0.02,0.02,0.01,0.74,0.73
57110028bc74b,48,Female,32,no,objTwoColors,#FF8000,0,45,48,5,Red      ,Yellow   ,0.07,0.05,0.09,0.02,0.03,0.04,0.72,0.72
571103343658b,20,Female,32,no,objTwoColors,#FF8000,32,32,77,5,Orange   ,Orange   ,0.28,0.01,0.11,0.02,0.03,0.03,0.58,0.57
57112b9e10661,64,Female,34,no,objTwoColors,#FF8000,51,19,163,2,Green    ,Red      ,0.46,0.03,0.2,0.03,0.05,0.01,0.48,0.47
57112d8509632,45,Female,32,no,objTwoColors,#FF8000,357,55,176,5,Red      ,Green    ,0.02,0.03,0.09,0.02,0.01,0.01,0.74,0.73
57112da850667,22,Female,47,no,objTwoColors,#FF8000,8,55,281,5,Red      ,Green    ,0.03,0.01,0.08,0.03,0.03,0.01,0.73,0.72
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF8000,334,58,80,5,Magenta  ,Green    ,0.14,0.08,0.14,0.08,0.06,0.06,0.72,0.72
57112f57403ee,25,Female,14,no,objTwoColors,#FF8000,46,8,152,4,Green    ,Red      ,0.49,0.02,0.18,0.02,0.01,0.03,0.51,0.51
5711300507308,21,Female,13,no,objTwoColors,#FF8000,4,59,275,3,Red      ,Green    ,0,0.01,0.08,0.03,0.03,0.01,0.75,0.74
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF8000,25,0,294,5,Orange   ,Red      ,0.37,0.1,0.09,0.09,0.08,0.11,0.65,0.63
571130d934bda,22,Female,32,no,objTwoColors,#FF8000,9,56,140,4,Red      ,Green    ,0.03,0.02,0.08,0.03,0.03,0.01,0.73,0.72
5711348e42f02,19,Female,32,no,objTwoColors,#FF8000,356,65,225,4,Red      ,Yellow   ,0.03,0,0.09,0.04,0.04,0.02,0.76,0.75
5711389736065,19,Female,8,no,objTwoColors,#FF8000,353,60,462,5,Red      ,Green    ,0.01,0.02,0.1,0.03,0.03,0.01,0.75,0.74
57113d4d93c81,18,Female,32,no,objTwoColors,#FF8000,1,58,68,4,Red      ,Green    ,0.01,0,0.09,0.03,0.02,0.01,0.75,0.75
57113e6176346,23,Female,30,no,objTwoColors,#FF8000,4,58,257,5,Red      ,Green    ,0.01,0.01,0.08,0.03,0.03,0.01,0.75,0.74
571154184c9bd,47,Female,32,no,objTwoColors,#FF8000,17,0,8,5,Red      ,Red      ,0.33,0.11,0.08,0.1,0.09,0.14,0.7,0.68
571163013744e,53,Female,13,no,objTwoColors,#FF8000,342,55,238,5,Red      ,Green    ,0.09,0.07,0.12,0.05,0.03,0.04,0.72,0.72
5711641931da5,20,Female,32,no,objTwoColors,#FF8000,53,5,118,5,Green    ,Red      ,0.52,0.01,0.21,0.02,0.02,0.02,0.48,0.47
571165992a5c1,67,Female,32,no,objTwoColors,#FF8000,21,69,155,2,Red      ,Yellow   ,0.11,0.09,0.08,0.06,0.1,0.05,0.7,0.7
5711703bd85fc,18,Female,32,no,objTwoColors,#FF8000,7,57,67,5,Red      ,Green    ,0.02,0.01,0.08,0.03,0.03,0.01,0.73,0.74
57117fe7495aa,48,Female,5,no,objTwoColors,#FF8000,0,40,54,5,Red      ,Yellow   ,0.09,0.06,0.09,0.04,0.04,0.06,0.72,0.72
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF8000,6,53,324,4,Red      ,Green    ,0.04,0,0.08,0.02,0.02,0.01,0.73,0.73
571183866d73f,48,Female,32,no,objTwoColors,#FF8000,55,3,69,5,Green    ,Red      ,0.54,0.01,0.22,0.02,0.02,0.01,0.47,0.46
5712197fbccd5,24,Female,32,no,objTwoColors,#FF8000,0,48,27,4,Red      ,Green    ,0.05,0.04,0.09,0.02,0.02,0.03,0.73,0.73
57123e4050550,20,Female,40,no,objTwoColors,#FF8000,0,48,402,3,Red      ,Green    ,0.05,0.04,0.09,0.02,0.02,0.03,0.73,0.73
57123e4050550,20,Female,40,no,objTwoColors,#FF8000,4,58,281,4,Red      ,Green    ,0.01,0.01,0.08,0.03,0.03,0.01,0.75,0.74
571252e6d2e70,31,Female,32,no,objTwoColors,#FF8000,56,7,86,5,Green    ,Red      ,0.54,0.01,0.22,0.03,0.03,0.01,0.47,0.46
57127bcfaafb0,22,Female,32,no,objTwoColors,#FF8000,9,52,81,5,Red      ,Green    ,0.05,0,0.08,0.02,0.02,0.01,0.72,0.72
571289ef76e18,55,Female,31,no,objTwoColors,#FF8000,52,352,159,5,Green    ,Red      ,0.52,0.05,0.21,0.02,0.02,0.02,0.47,0.47
5712bd55a8a13,27,Female,32,no,objTwoColors,#FF8000,7,59,172,3,Red      ,Green    ,0.01,0.02,0.08,0.03,0.04,0.01,0.74,0.74
5712c2b021f58,22,Female,32,no,objTwoColors,#FF8000,57,9,48,5,Green    ,Red      ,0.53,0.02,0.23,0.03,0.04,0.01,0.46,0.46
5712c57f97f25,25,Female,31,no,objTwoColors,#FF8000,5,53,69,5,Red      ,Green    ,0.04,0.01,0.08,0.02,0.02,0.02,0.74,0.73
5713923c1bbc7,24,Female,27,no,objTwoColors,#FF8000,56,12,196,2,Green    ,Red      ,0.52,0.03,0.22,0.03,0.04,0.01,0.47,0.46
5713a02a13044,24,Female,32,yes,objTwoColors,#FF8000,56,354,183,4,Green    ,Red      ,0.55,0.03,0.22,0.03,0.02,0.01,0.47,0.45
5713fc80c942a,23,Female,32,no,objTwoColors,#FF8000,58,1,50,5,Green    ,Red      ,0.55,0,0.23,0.03,0.02,0.01,0.47,0.45
57149713464b1,51,Female,32,no,objTwoColors,#FF8000,0,0,0,1,Red      ,Red      ,0.28,0.12,0.09,0.12,0.11,0.16,0.74,0.73
57153d9a56ce0,62,Female,9,no,objTwoColors,#FF8000,0,29,14,5,Red      ,Orange   ,0.16,0.09,0.09,0.07,0.07,0.1,0.71,0.71
57153eb9b4bed,35,Female,31,no,objTwoColors,#FF8000,0,349,109,5,Red      ,Red      ,0.27,0.12,0.08,0.13,0.11,0.16,0.71,0.71
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF8000,52,354,508,3,Green    ,Red      ,0.53,0.04,0.21,0.02,0.01,0.02,0.48,0.47
572934019041e,20,Female,6,no,objTwoColors,#FF8000,18,48,264,5,Red      ,Green    ,0.1,0.02,0.07,0.02,0.03,0.01,0.68,0.67
572baa7f9493c,20,Female,10,no,objTwoColors,#FF8000,0,44,31,3,Red      ,Yellow   ,0.07,0.05,0.09,0.03,0.03,0.05,0.72,0.72
5734d89183dab,19,Female,29,no,objTwoColors,#FF8000,48,18,59,4,Green    ,Red      ,0.46,0.02,0.19,0.02,0.03,0.01,0.49,0.49
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF7200,168,52,531,1,Green    ,Green    ,0.43,0.31,0.26,0.15,0.25,0.17,0.52,0.54
573a059da0efd,31,Female,32,yes,objTwoColors,#FF7200,136,221,574,3,Green    ,Blue     ,0.9,0.32,0.37,0.27,0.32,0.29,0.24,0.26
573c783748e8b,37,Female,32,yes,objTwoColors,#FF7200,353,57,132,4,Red      ,Green    ,0.02,0.03,0.1,0.03,0.02,0.01,0.74,0.74
573ec4275ba17,24,Female,32,yes,objTwoColors,#FF7200,7,56,82,3,Red      ,Green    ,0.02,0.01,0.08,0.03,0.03,0.01,0.73,0.73
5740a8b59d448,31,Female,32,yes,objTwoColors,#FF7200,3,57,60,5,Red      ,Green    ,0.01,0,0.08,0.03,0.02,0.01,0.74,0.74
5740bda9be3dc,83,Female,32,yes,objTwoColors,#FF7200,1,57,42,5,Red      ,Green    ,0.01,0.01,0.09,0.03,0.02,0.01,0.74,0.75
5740e3f36a945,49,Female,32,yes,objTwoColors,#FF7200,29,0,30,3,Orange   ,Red      ,0.4,0.09,0.1,0.07,0.07,0.1,0.63,0.61
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF8000,45,23,27,2,Yellow   ,Orange   ,0.41,0.03,0.17,0.02,0.04,0.01,0.5,0.49
574511e99b6d9,19,Female,32,no,objTwoColors,#FF8000,355,58,367,4,Red      ,Green    ,0.02,0.02,0.09,0.03,0.02,0.01,0.75,0.74
57451c3b38192,23,Female,32,no,objTwoColors,#FF8000,0,30,50,5,Red      ,Brown    ,0.16,0.09,0.09,0.07,0.07,0.1,0.71,0.71
5745350dc1e22,19,Female,31,no,objTwoColors,#FF8000,10,53,52,5,Red      ,Green    ,0.05,0.01,0.08,0.02,0.03,0.01,0.72,0.72
5745500f6e643,24,Female,32,no,objTwoColors,#FF8000,4,55,114,5,Red      ,Green    ,0.02,0,0.08,0.02,0.02,0.01,0.74,0.73
5745b5cbe3caa,34,Female,32,no,objTwoColors,#FF8000,16,65,174,3,Red      ,Yellow   ,0.06,0.06,0.07,0.05,0.07,0.03,0.72,0.71
5756b2d9bd658,23,Female,32,yes,objTwoColors,#FF7200,2,59,132,5,Red      ,Green    ,0,0,0.08,0.03,0.03,0.01,0.75,0.74
5776cc574bf84,45,Female,21,no,objTwoColors,#FF8000,10,57,65,5,Red      ,Green    ,0.03,0.02,0.08,0.03,0.04,0.01,0.72,0.73
