id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#FF8000,8,55,108,5,Red      ,Green    ,0.03,0.01,0.08,0.03,0.03,0.01,0.73,0.72
5710cbe10cade,21,Male,15,no,objTwoColors,#FF8000,35,23,91,5,Yellow   ,Orange   ,0.35,0.01,0.13,0.02,0.01,0.04,0.56,0.55
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF8000,59,1,193,4,Green    ,Red      ,0.56,0,0.23,0.03,0.03,0.01,0.46,0.45
5710cf445718e,25,Male,32,no,objTwoColors,#FF8000,47,176,329,3,Green    ,Blue     ,0.46,0.31,0.18,0.15,0.25,0.17,0.41,0.41
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF8000,5,54,229,3,Red      ,Green    ,0.03,0,0.08,0.02,0.02,0.01,0.74,0.73
5710d28fec2d1,30,Male,32,no,objTwoColors,#FF8000,0,1,31,1,Red      ,Red      ,0.28,0.12,0.09,0.12,0.11,0.16,0.74,0.73
5710d8ca226a2,21,Male,4,no,objTwoColors,#FF8000,0,40,86,4,Red      ,Yellow   ,0.09,0.06,0.09,0.04,0.04,0.06,0.72,0.72
5711106ab212a,33,Male,32,no,objTwoColors,#FF8000,4,58,75,4,Red      ,Green    ,0.01,0.01,0.08,0.03,0.03,0.01,0.75,0.74
5711148c11035,35,Male,22,no,objTwoColors,#FF8000,302,56,109,2,Pink     ,Green    ,0.36,0.12,0.27,0.12,0.14,0.15,0.76,0.76
5711149df2d2a,20,Male,7,no,objTwoColors,#FF8000,101,54,216,5,Green    ,Green    ,0.44,0.22,0.34,0.14,0.26,0.18,0.33,0.33
57111f6c42412,22,Male,34,no,objTwoColors,#FF8000,34,0,68,5,Yellow   ,Red      ,0.43,0.08,0.12,0.06,0.06,0.08,0.59,0.58
5711231e370f2,24,Male,32,yes,objTwoColors,#FF8000,0,38,306,4,Red      ,Yellow   ,0.11,0.07,0.09,0.04,0.05,0.07,0.71,0.72
57112e1a2bbbb,32,Male,16,no,objTwoColors,#FF8000,21,106,364,1,Red      ,Green    ,0.21,0.17,0.07,0.09,0.21,0.11,0.76,0.77
57112edad4a17,23,Male,10,no,objTwoColors,#FF8000,7,59,44,5,Red      ,Green    ,0.01,0.02,0.08,0.03,0.04,0.01,0.74,0.74
57113a4121a89,19,Male,4,no,objTwoColors,#FF8000,355,54,241,4,Red      ,Green    ,0.03,0.03,0.09,0.02,0.01,0.02,0.74,0.73
57113a5534205,22,Male,31,no,objTwoColors,#FF8000,4,54,123,5,Red      ,Green    ,0.02,0.01,0.08,0.02,0.02,0.01,0.74,0.73
57113b7f16c4b,22,Male,31,no,objTwoColors,#FF8000,4,67,473,4,Red      ,Yellow   ,0.03,0.03,0.08,0.04,0.05,0.02,0.76,0.76
57113de4aed1a,21,Male,31,no,objTwoColors,#FF8000,3,49,100,4,Red      ,Green    ,0.05,0.03,0.08,0.01,0.01,0.03,0.73,0.72
57113e3362c9f,24,Male,6,no,objTwoColors,#FF8000,342,55,592,3,Red      ,Green    ,0.09,0.07,0.12,0.05,0.03,0.04,0.72,0.72
571151812791a,20,Male,32,yes,objTwoColors,#FF8000,2,57,247,3,Red      ,Green    ,0.01,0,0.08,0.03,0.02,0.01,0.74,0.74
571153ca15566,32,Male,32,no,objTwoColors,#FF8000,59,8,63,3,Green    ,Red      ,0.55,0.02,0.23,0.03,0.04,0.01,0.45,0.45
57116b9b879bf,20,Male,32,no,objTwoColors,#FF8000,8,57,158,4,Red      ,Green    ,0.02,0.02,0.08,0.03,0.03,0.01,0.73,0.73
57119224388ef,24,Male,31,no,objTwoColors,#FF8000,59,357,0,5,Green    ,Red      ,0.56,0.01,0.23,0.03,0.02,0.01,0.45,0.45
5711ace2ee7ed,24,Male,32,no,objTwoColors,#FF8000,59,7,66,5,Green    ,Red      ,0.55,0.02,0.23,0.03,0.04,0.01,0.45,0.45
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF8000,351,59,125,4,Red      ,Green    ,0.02,0.03,0.1,0.04,0.03,0.02,0.74,0.74
571210e10d88b,23,Male,19,no,objTwoColors,#FF8000,27,0,105,5,Orange   ,Red      ,0.38,0.09,0.09,0.08,0.08,0.11,0.64,0.62
571214121717c,22,Male,32,no,objTwoColors,#FF8000,60,2,85,5,Green    ,Red      ,0.56,0.01,0.24,0.03,0.03,0.01,0.46,0.44
57121e2a63601,21,Male,31,no,objTwoColors,#FF8000,0,0,0,1,Red      ,Red      ,0.28,0.12,0.09,0.12,0.11,0.16,0.74,0.73
57122801e1da9,23,Male,17,no,objTwoColors,#FF8000,57,15,106,5,Green    ,Red      ,0.51,0.04,0.23,0.03,0.05,0.01,0.45,0.45
57123bec83e8e,21,Male,32,no,objTwoColors,#FF8000,59,6,289,5,Green    ,Red      ,0.55,0.02,0.23,0.03,0.04,0.01,0.45,0.45
571247f66fb51,27,Male,32,no,objTwoColors,#FF8000,7,53,228,4,Red      ,Green    ,0.04,0,0.08,0.02,0.02,0.01,0.73,0.73
571260c120253,22,Male,32,no,objTwoColors,#FF8000,9,59,60,2,Red      ,Green    ,0.02,0.03,0.08,0.03,0.04,0.01,0.74,0.73
5712d16eb8094,22,Male,5,no,objTwoColors,#FF8000,8,0,176,5,Red      ,Red      ,0.29,0.12,0.08,0.12,0.11,0.15,0.73,0.71
5713b10383207,40,Male,32,no,objTwoColors,#FF8000,8,58,79,4,Red      ,Green    ,0.02,0.02,0.08,0.03,0.04,0.01,0.74,0.73
57190633f233f,30,Male,32,no,objTwoColors,#FF8000,57,353,169,4,Green    ,Red      ,0.54,0.03,0.23,0.03,0.02,0.01,0.45,0.45
572106a31c230,24,Male,16,no,objTwoColors,#FF8000,5,53,117,3,Red      ,Green    ,0.04,0.01,0.08,0.02,0.02,0.02,0.74,0.73
572767049ccfa,24,Male,32,yes,objTwoColors,#FF7200,9,58,71,4,Red      ,Green    ,0.03,0.02,0.08,0.03,0.04,0.01,0.74,0.73
57277ba3c5a5c,20,Male,8,no,objTwoColors,#FF8000,5,58,157,5,Red      ,Green    ,0.02,0.01,0.08,0.03,0.03,0.01,0.75,0.74
5727d86840dc8,37,Male,7,no,objTwoColors,#FF8000,7,59,59,5,Red      ,Green    ,0.01,0.02,0.08,0.03,0.04,0.01,0.74,0.74
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF8000,8,173,80,3,Red      ,Green    ,0.24,0.27,0.04,0.12,0.23,0.12,0.63,0.63
5734918f46823,26,Male,32,no,objTwoColors,#FF8000,58,14,44,4,Green    ,Red      ,0.52,0.04,0.23,0.03,0.05,0.01,0.45,0.44
5735d3455a84c,29,Male,32,no,objTwoColors,#FF8000,48,353,95,4,Green    ,Red      ,0.5,0.06,0.19,0.02,0.02,0.03,0.49,0.49
5736048bb110b,19,Male,32,no,objTwoColors,#FF8000,28,26,60,5,Orange   ,Orange   ,0.29,0.02,0.1,0.03,0.01,0.06,0.6,0.6
