id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#0000FF,232,231,235,5,Blue     ,Blue     ,0.54,0,0.25,0.11,0.15,0.26
5710cbe10cade,21,Male,15,no,objTwoColors,#0000FF,189,311,732,4,Cyan     ,Pink     ,0.12,0,0.11,0.03,0.02,0.05
5710cc2b8a642,24,Male,16,no,objTwoColors,#0000FF,225,228,82,2,Blue     ,Blue     ,0.52,0.02,0.19,0.1,0.13,0.25
5710cc5a7829c,27,Male,32,no,objTwoColors,#0000FF,236,0,106,5,Blue     ,Red      ,0.65,0.18,0.12,0.13,0.1,0.13
5710cd0a515bb,25,Male,7,no,objTwoColors,#0000FF,234,0,831,5,Blue     ,Red      ,0.65,0.17,0.11,0.13,0.1,0.13
5710ceb320fdf,23,Male,15,no,objTwoColors,#0000FF,231,228,124,5,Blue     ,Blue     ,0.53,0.01,0.24,0.11,0.14,0.25
5710cf445718e,25,Male,32,no,objTwoColors,#0000FF,146,299,318,3,DK-Green ,Pink     ,0.2,0.03,0.03,0.07,0.07,0.04
5710d140b7c5a,26,Male,32,no,objTwoColors,#0000FF,232,0,63,5,Blue     ,Red      ,0.64,0.17,0.11,0.13,0.1,0.13
5710d28fec2d1,30,Male,32,no,objTwoColors,#0000FF,0,54,74,1,Red      ,Green    ,0.72,0.52,0.33,0.25,0.37,0.26
5710d9dcc23f0,21,Male,18,no,objTwoColors,#0000FF,233,232,71,5,Blue     ,Blue     ,0.55,0,0.25,0.11,0.15,0.26
5710dc97aac05,20,Male,6,no,objTwoColors,#0000FF,179,307,485,2,Blue     ,Pink     ,0.04,0.01,0.08,0.04,0,0.03
5710e9f31cdc4,21,Male,3,no,objTwoColors,#0000FF,55,118,583,4,Green    ,Green    ,0.65,0.53,0.11,0.23,0.38,0.28
