id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
57112cb820ea5,18,Male,2,no,objTwoColors,#FF0000,3,8,354,5,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.2,0.32,0.32,0.15,0.32,0.32
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF0000,352,8,816,1,Red      ,Red      ,0.58,0,0.02,0.14,0.14,0.2,0.34,0.33,0.15,0.33,0.33
5711348e42f02,19,Female,32,no,objTwoColors,#FF0000,7,0,315,4,Red      ,Red      ,0.6,0,0,0.14,0.15,0.21,0.34,0.33,0.15,0.33,0.33
57113664403aa,19,Male,2,no,objTwoColors,#FF0000,1,0,232,4,Red      ,Red      ,0.61,0,0,0.15,0.15,0.21,0.33,0.32,0.15,0.32,0.32
57113d4d93c81,18,Female,32,no,objTwoColors,#FF0000,39,344,147,4,Yellow   ,Red      ,0.57,0.02,0.15,0.06,0.08,0.12,0.45,0.44,0.26,0.45,0.44
5711703bd85fc,18,Female,32,no,objTwoColors,#FF0000,337,52,8,1,Red      ,Green    ,0.25,0.04,0.06,0.01,0.05,0.08,0.42,0.43,0.33,0.43,0.43
5712787a337a9,18,Female,7,no,objTwoColors,#FF0000,3,12,52,4,Red      ,Red      ,0.57,0.01,0,0.13,0.14,0.2,0.32,0.32,0.15,0.32,0.32
5712a254e00f7,18,Female,18,no,objTwoColors,#FF0000,0,335,881,3,Red      ,Red      ,0.59,0.04,0.03,0.12,0.12,0.17,0.21,0.21,0.03,0.21,0.21
5734d89183dab,19,Female,29,no,objTwoColors,#FF0000,2,7,185,4,Red      ,Red      ,0.6,0.01,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
5736048bb110b,19,Male,32,no,objTwoColors,#FF0000,5,3,164,5,Red      ,Red      ,0.6,0,0,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
573634984323e,19,Male,32,no,objTwoColors,#FF0000,4,5,57,5,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
57366c199283c,19,Male,32,no,objTwoColors,#FF0000,123,53,123,3,Green    ,Green    ,0.46,0.38,0.36,0.13,0.25,0.2,0.76,0.76,0.66,0.76,0.76
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF0000,213,58,249,3,Blue     ,Green    ,0.2,0.42,0.21,0.12,0.18,0.09,0.85,0.84,0.76,0.84,0.84
5744dce84ffa5,16,Male,13,no,objTwoColors,#FF0000,5,10,50,4,Red      ,Red      ,0.58,0.01,0,0.14,0.14,0.2,0.33,0.32,0.15,0.32,0.32
574511e99b6d9,19,Female,32,no,objTwoColors,#FF0000,353,357,488,5,Red      ,Red      ,0.59,0.01,0.01,0.14,0.15,0.2,0.33,0.33,0.15,0.33,0.33
5745350dc1e22,19,Female,31,no,objTwoColors,#FF0000,4,13,298,5,Red      ,Red      ,0.57,0.01,0,0.13,0.14,0.2,0.32,0.31,0.14,0.31,0.31
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF0000,5,357,358,5,Red      ,Red      ,0.6,0,0,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF0000,0,0,0,3,Red      ,Red      ,0.61,0,0.01,0.15,0.15,0.21,0.33,0.32,0.15,0.32,0.32
