id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
571151812791a,objTwoColors,#FF0000,349,9,430,1,Red      ,Red      ,0.56,0,0.02,0.14,0.14,0.19,0.35,0.34,0.16,0.35,0.34
5713a02a13044,objTwoColors,#FF0000,30,16,982,1,Brown    ,Red      ,0.54,0.08,0.1,0.08,0.1,0.15,0.43,0.43,0.24,0.43,0.43
572767049ccfa,objTwoColors,#FF0000,317,59,134,3,Pink     ,Green    ,0.06,0.01,0.15,0.04,0.02,0.02,0.6,0.6,0.51,0.6,0.6
572c85675a5ef,objTwoColors,#FF0000,3,4,6,5,Red      ,Red      ,0.59,0,0,0.14,0.15,0.21,0.32,0.32,0.15,0.32,0.32
5739ff85289b2,objTwoColors,#FF0000,150,35,54,2,Teal     ,Yellow   ,0.46,0.4,0.33,0.08,0.21,0.14,0.71,0.7,0.57,0.7,0.7
573c70dabcfe0,objTwoColors,#FF0000,56,245,508,4,Green    ,Blue     ,0.85,0.16,0.22,0.12,0.18,0.1,0.5,0.51,0.67,0.51,0.51
573c783748e8b,objTwoColors,#FF0000,3,354,474,3,Red      ,Red      ,0.6,0,0,0.14,0.15,0.2,0.32,0.31,0.14,0.31,0.31
573e47c26cb8e,objTwoColors,#FF0000,67,295,329,2,Yellow   ,Pink     ,0.73,0,0.26,0.08,0.07,0.05,0.37,0.38,0.55,0.38,0.38
5740ad339507d,objTwoColors,#FF0000,275,54,584,2,Blue     ,Green    ,0.18,0.05,0.3,0.09,0.1,0.07,0.81,0.81,0.71,0.81,0.81
5740b686127bb,objTwoColors,#FF0000,23,11,24,3,Orange   ,Red      ,0.56,0.05,0.07,0.11,0.12,0.17,0.4,0.4,0.21,0.4,0.4
5756ab1701ba0,objTwoColors,#FF0000,308,59,388,5,Pink     ,Green    ,0,0,0.2,0.05,0.04,0.01,0.66,0.66,0.57,0.66,0.66
5756ae6897296,objTwoColors,#FF0000,250,297,589,5,Blue     ,Pink     ,0.6,0.49,0.39,0.21,0.36,0.32,0.6,0.62,0.78,0.62,0.62
57581518c2c07,objTwoColors,#FF0000,41,317,143,2,Yellow   ,Pink     ,0.61,0,0.17,0.03,0.04,0.05,0.25,0.25,0.3,0.25,0.25
